,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,DAGMM,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,,
36_speech,0.028082295409245436,0.0497500184869772,0.0281729427488366,0.0280506551994821,0.0278815665531377,0.0286733211686461,0.0314194000194832,0.0307554400722999,0.0287981164763872,0.025772380595844,0.0311938480440361,0.0276624788497869,0.0277092917113783,0.0328458158327793,0.0278370082061139,0.0264542634602552
8_celeba,0.09797596752222265,0.133436078518938,0.134393170934293,0.1496003948586409,0.151683774436497,0.1565162853743369,0.0352866962721502,0.1645832852593501,0.0625092889135502,0.0448194700093647,0.0346099631098804,0.230129699502583,0.1962031749950897,0.0928638553844464,0.0450488969706019,0.0633768778269685
41_Waveform,0.19009090647272237,0.1081273341227033,0.0695312797850374,0.2506593587891503,0.0988387421619707,0.0734766798258428,0.2923647201160609,0.0881888842029062,0.2872294152368406,0.0741926866223701,0.3286160320390475,0.0782342670033626,0.0840761220751343,0.1276910543269302,0.0550483062312734,0.091702075455858
37_Stamps,0.4074641352287595,0.4761645083881162,0.4515447945726638,0.5772723915024568,0.5121001381857373,0.4232762332414967,0.5532388540447419,0.4827519867488778,0.5640026733155745,0.4431206593319275,0.5186057585391053,0.3271106097115009,0.4742645600989091,0.2691156368381578,0.3283160354931305,0.4300549203043446
31_satimage-2,0.9529128728968221,0.9384790634170947,0.9077286894975944,0.965377579622114,0.8527119710673836,0.796596721114712,0.9323756817387564,0.9057568899723016,0.9687464677219692,0.9305670349753336,0.9242127008109104,0.9830975390040242,0.919214111289047,0.6946681476000377,0.0646793987956706,0.959738408739964
9_census,0.13804587288526854,0.1448582854084868,0.1221575235179395,0.1278251107979638,0.1167984934086629,0.1167984934086629,0.0990135371592868,0.154425700930327,0.1640764618964847,0.0880931885962925,0.1040598009282166,0.2507110940060236,0.2005787782902102,0.1772743895172586,0.150358973174723,0.1819978814935051
43_WDBC,0.8318556975845979,0.7157734751437901,0.9480056710775048,0.7860199194670809,0.8393115973678633,0.6159154641662034,1.0,0.7223715415019762,0.9056419265114916,0.8387143263102342,0.9895652173913044,0.4837789763127094,0.8100306386148591,0.8717956794065798,0.3646241812090997,0.6714054862578871
46_WPBC,0.420766893672309,0.4230870588019583,0.4243409711354182,0.4334056591620561,0.4148064979803291,0.3727677258548383,0.4150781734847801,0.4609999080446944,0.4487062559349359,0.395431438154542,0.4309912774635642,0.467900889117697,0.4143757542426816,0.6929316108993036,0.3744858561340594,0.3849099027847071
19_landsat,0.35397466650810283,0.5125911446870615,0.3261839385602021,0.3779623764327868,0.3382256472806171,0.3109210286186628,0.6124212035589764,0.5997029971888418,0.5514289081809651,0.3076582201403689,0.6141216541458211,0.4296510681986842,0.3272128030043703,0.4969964074772389,0.5535768641321114,0.324700132729406
27_PageBlocks,0.680163453717389,0.4469750637167113,0.6191026602689008,0.6103416481326313,0.4151417299540282,0.585416733094317,0.7098495401569946,0.2817804784767656,0.690298403695462,0.4745292396038776,0.7257193982369688,0.631527574716744,0.5935259442472628,0.5682373589658519,0.3736028834072952,0.6294655759871985
45_wine,0.8977712457932068,0.7515630433783284,0.816109117723985,0.949397146001194,0.5430961011982934,0.3394792762131032,0.8353922674280488,0.7993760997224097,0.963771997332102,0.6581175190214509,0.8635198391329875,0.8362687776251245,0.76093340614712,0.880754577632761,0.8237626081122168,0.856551255932045
42_WBC,0.6656862500751429,0.9700325988767134,0.9706331045003812,0.9706331045003812,0.9437361743116216,0.9410095950175368,0.0886543272974013,0.9435818049544702,0.9375696767001116,0.9054538132756508,0.264345947230915,0.9791610873991192,0.9229489713701932,0.6639831667458145,0.1733985702995407,0.9614741809423156
17_InternetAds,0.7400652810627263,0.2707446440420121,0.658598220632205,0.6808172242308701,0.6174147411587243,0.6186543520792999,0.7427052184074207,0.41669187955269,0.7052754455343574,0.5098140256456308,0.7766161482043733,0.3461060192793076,0.46972743194354,0.466318731424542,0.3650380091484997,0.6530105255930201
6_cardio,0.7696006156257741,0.7530326561836188,0.8799864531812538,0.8452470460837302,0.748809572727359,0.7855478323833374,0.7751747111333386,0.6485104755719903,0.8282487458363961,0.7318146302757228,0.7846242125925006,0.6715776835182391,0.8614645186681633,0.3666255582222655,0.5521635684823296,0.8730912279220806
23_mammography,0.04278442742305438,0.3975162182560234,0.4432178697013841,0.3147317237954362,0.546287905300756,0.5519788753748127,0.2997601957101432,0.2727717428963827,0.4699971025611859,0.3189841373435427,0.3633310124698442,0.0666520907434862,0.4165024950913474,0.1851841164027172,,0.3790200938330195
47_yeast,0.4752620196678187,,,,,,,,,,,,,,,0.5131098610291879
4_breastw,0.9716163159996998,,,,,,,,,,,,,,,0.9917325406938582
26_optdigits,0.2913923566399036,,,,,,,,,,,,,,,0.1133971210595987
22_magic.gamma,0.7777291292168269,,,,,,,,,,,,,,,0.7820794781817905
12_fault,0.687544609989827,,,,,,,,,,,,,,,0.5678245472172382
38_thyroid,0.43260277596503055,,,,,,,,,,,,,,,0.7194199735635178
2_annthyroid,0.6383656940195351,,,,,,,,,,,,,,,0.3400655573287912
32_shuttle,0.9719226680170978,,,,,,,,,,,,,,,0.9738849498603058
25_musk,1.0,,,,,,,,,,,,,,,1.0
30_satellite,0.8489396536513449,,,,,,,,,,,,,,,0.8068561025757277
35_SpamBase,0.7878477946466046,,,,,,,,,,,,,,,0.7735263761911737
29_Pima,0.712279158984206,,,,,,,,,,,,,,,0.7398442347217744
24_mnist,0.640118186802019,,,,,,,,,,,,,,,0.7483306916150068
40_vowels,0.37029453924096367,,,,,,,,,,,,,,,0.085935349880267
10_cover,0.25911636025090773,,,,,,,,,,,,,,,0.2536741534395661
34_smtp,0.000714865199050852,,,,,,,,,,,,,,,0.6452477397807066
3_backdoor,0.5110966425927259,,,,,,,,,,,,,,,0.1857167906396559
16_http,0.04808092527572084,,,,,,,,,,,,,,,0.5843489250189203
18_Ionosphere,0.9823147838821826,,,,,,,,,,,,,,,0.8788309665292096
44_Wilt,0.17974077677800074,,,,,,,,,,,,,,,0.077672324624214
13_fraud,0.5660852095497357,,,,,,,,,,,,,,,0.4592709317203653
21_Lymphography,0.9774774774774775,,,,,,,,,,,,,,,1.0
1_ALOI,0.05825862969109342,,,,,,,,,,,,,,,0.0813176186530454
11_donors,0.9298513424897682,,,,,,,,,,,,,,,0.4185347197036823
20_letter,0.08627646728254618,,,,,,,,,,,,,,,0.082346529900923
15_Hepatitis,0.7316778184798279,,,,,,,,,,,,,,,0.4798754183731147
5_campaign,0.39688016668601467,,,,,,,,,,,,,,,0.4170043678992376
33_skin,0.8879147735918389,,,,,,,,,,,,,,,0.6894130389288312
28_pendigits,0.040008726344325216,,,,,,,,,,,,,,,0.5428357590169312
7_Cardiotocography,0.5563188801079183,,,,,,,,,,,,,,,0.7209629102359488
14_glass,0.32667829731474574,,,,,,,,,,,,,,,0.2439581077519404
39_vertebral,0.1943700953018508,,,,,,,,,,,,,,,0.1614056398494101
