,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,
36_speech,0.03278688524590164,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0491803278688524,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0,0.0327868852459016
8_celeba,0.12170753860127158,0.1771117166212534,0.2089009990917348,0.251589464123524,0.2270663033605812,0.2261580381471389,0.0154405086285195,0.2343324250681198,0.0526793823796548,0.1389645776566757,0.0163487738419618,0.1553133514986376,0.2706630336058129,0.0354223433242506,0.1153496821071752
41_Waveform,0.23,0.08,0.08,0.29,0.09,0.07,0.33,0.08,0.27,0.08,0.3,0.09,0.09,0.14,0.1
37_Stamps,0.62,0.7,0.54,0.54,0.68,0.51,0.67,0.7100000000000001,0.79,0.8000000000000002,0.67,0.37,0.59,0.44,0.56
31_satimage-2,0.8732394366197183,0.8873239436619719,0.8591549295774648,0.9295774647887324,0.8028169014084506,0.7887323943661971,0.8450704225352113,0.8450704225352113,0.9014084507042254,0.8873239436619719,0.8591549295774648,0.9577464788732394,0.8732394366197183,0.7183098591549296,0.9295774647887324
9_census,0.1590909090909091,0.1211038961038961,0.1025974025974026,0.1006493506493506,0.0,0.0,0.0217532467532467,0.1256493506493506,0.1418831168831169,0.0519480519480519,0.036038961038961,0.2659090909090909,0.2097402597402597,0.1642857142857142,0.2155844155844155
43_WDBC,0.7777777777777778,0.8148148148148148,0.8148148148148148,0.7777777777777778,0.8148148148148148,0.5555555555555556,0.8888888888888888,0.7037037037037037,0.8148148148148148,0.4444444444444444,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.8148148148148148,0.7407407407407407
46_WPBC,0.3333333333333333,0.3777777777777777,0.32,0.4177777777777778,0.3244444444444444,0.3822222222222222,0.3644444444444444,0.4000000000000001,0.48,0.4444444444444444,0.4711111111111111,0.4133333333333333,0.3288888888888889,0.76,0.32
19_landsat,0.2663165791447862,0.40960240060015,0.3240810202550637,0.3923480870217554,0.3383345836459114,0.3075768942235559,0.5393848462115529,0.5123780945236309,0.5168792198049512,0.4276069017254313,0.5393848462115529,0.3735933983495874,0.3398349587396849,0.4418604651162791,0.2633158289572393
27_PageBlocks,0.7078431372549021,0.388235294117647,0.5098039215686274,0.503921568627451,0.3666666666666666,0.492156862745098,0.6666666666666666,0.196078431372549,0.6058823529411764,0.4411764705882353,0.6882352941176471,0.5764705882352941,0.4686274509803921,0.5313725490196078,0.515686274509804
45_wine,0.7954545454545455,0.7386363636363636,0.7272727272727273,0.8181818181818182,0.5454545454545454,0.4659090909090909,0.9090909090909092,0.8181818181818182,0.8863636363636365,0.7272727272727273,0.9204545454545456,0.8522727272727273,0.7272727272727273,0.6136363636363636,0.7272727272727273
42_WBC,0.6875,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.7916666666666666,0.7916666666666666,0.0,0.8333333333333334,0.8958333333333334,0.6875,0.125,0.7291666666666665,0.8958333333333334,0.7291666666666665,0.8958333333333334
17_InternetAds,0.7255434782608695,0.3260869565217391,0.5244565217391305,0.5380434782608695,0.5,0.5,0.6304347826086957,0.2798913043478261,0.5978260869565217,0.5380434782608695,0.6521739130434783,0.3369565217391304,0.4565217391304347,0.5896739130434783,0.5788043478260869
6_cardio,0.6818181818181818,0.6420454545454546,0.7954545454545455,0.8295454545454547,0.7045454545454546,0.7386363636363636,0.7329545454545454,0.5852272727272727,0.7386363636363636,0.7102272727272727,0.7215909090909091,0.5909090909090909,0.7613636363636364,0.375,0.7840909090909092
23_mammography,0.08076923076923077,0.4000000000000001,0.3846153846153846,0.2769230769230769,0.5269230769230769,0.5307692307692308,0.3769230769230769,0.2692307692307692,0.4576923076923077,0.4269230769230769,0.3884615384615384,0.0153846153846153,0.4461538461538462,0.1961538461538461,0.35
47_yeast,0.4556213017751479,,,,,,,,,,,,,,0.4674556213017751
4_breastw,0.9423076923076923,,,,,,,,,,,,,,0.9615384615384616
26_optdigits,0.35333333333333333,,,,,,,,,,,,,,0.0933333333333333
22_magic.gamma,0.659988038277512,,,,,,,,,,,,,,0.6892942583732058
12_fault,0.6077265973254086,,,,,,,,,,,,,,0.5349182763744428
38_thyroid,0.44086021505376344,,,,,,,,,,,,,,0.6344086021505376
2_annthyroid,0.5861423220973783,,,,,,,,,,,,,,0.3127340823970037
32_shuttle,0.9829108516092281,,,,,,,,,,,,,,0.9544289376246085
25_musk,1.0,,,,,,,,,,,,,,1.0
30_satellite,0.7205304518664049,,,,,,,,,,,,,,0.668467583497053
35_SpamBase,0.7540202501488982,,,,,,,,,,,,,,0.7444907683144729
29_Pima,0.6266233766233766,,,,,,,,,,,,,,0.5974025974025974
24_mnist,0.5885714285714285,,,,,,,,,,,,,,0.6671428571428571
40_vowels,0.26,,,,,,,,,,,,,,0.08
10_cover,0.14396887159533073,,,,,,,,,,,,,,0.4319066147859922
34_smtp,0.0,,,,,,,,,,,,,,0.7647058823529412
3_backdoor,0.6635145784081954,,,,,,,,,,,,,,0.1158392434988179
16_http,0.021052631578947368,,,,,,,,,,,,,,0.1842105263157894
18_Ionosphere,0.9398280802292264,,,,,,,,,,,,,,0.7936962750716331
44_Wilt,0.16731517509727625,,,,,,,,,,,,,,0.0544747081712062
13_fraud,0.6296296296296297,,,,,,,,,,,,,,0.4691358024691358
21_Lymphography,1.0,,,,,,,,,,,,,,0.8139534883720931
1_ALOI,0.04111405835543767,,,,,,,,,,,,,,0.1041114058355437
11_donors,0.8872909698996656,,,,,,,,,,,,,,0.5695652173913044
20_letter,0.03,,,,,,,,,,,,,,0.0
15_Hepatitis,0.7988165680473372,,,,,,,,,,,,,,0.6035502958579881
5_campaign,0.4390086206896552,,,,,,,,,,,,,,0.4327586206896552
33_skin,0.8802557643867469,,,,,,,,,,,,,,0.8127300910676225
28_pendigits,0.019230769230769232,,,,,,,,,,,,,,0.5769230769230769
7_Cardiotocography,0.45064377682403434,,,,,,,,,,,,,,0.628755364806867
14_glass,0.4117647058823529,,,,,,,,,,,,,,0.1176470588235294
39_vertebral,0.20300751879699244,,,,,,,,,,,,,,0.1654135338345864
