,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,DAGMM,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,,
36_speech,0.37650665051133436,0.3566681435533894,0.3654209579268127,0.3590462325825324,0.3703308527664499,0.3596068467262847,0.3755210546779634,0.3649598075827583,0.365981572070565,0.3791740887759623,0.3743184469179784,0.3919687502825676,0.3637843263136003,0.6316312967366832,0.4248098885101227,0.3706292441655439
8_celeba,0.7233211349971408,0.7290059029378111,0.7269137923980197,0.7535468569156245,0.7611430952081384,0.7681072575269612,0.3372010498210468,0.781208977641678,0.6451017561256456,0.8196940842314656,0.4258173401259313,0.8188440579661773,0.8116284046887693,0.4523783827857806,0.7331114964963634,0.6223532607713116
41_Waveform,0.6062597247157391,0.6656732495511669,0.5524296828246559,0.7456493117893478,0.7235667265110712,0.5943985637342908,0.788593656493118,0.6841532016756434,0.7624715739078396,0.7072950329144225,0.7664631956912028,0.5837701974865349,0.6467564332734889,0.5442130460801915,0.5384739676840216,0.646391382405745
37_Stamps,0.8955157404595607,0.94904342544792,0.9040388703310052,0.9236967304383036,0.938232614637109,0.8691770422107501,0.9276849883591456,0.9392246178763032,0.9735398319667982,0.9457637412693592,0.9194047980564836,0.851037554408341,0.9376050207510882,0.6888551472821136,0.8969126429800587,0.8669096062354489
31_satimage-2,0.9977000874753054,0.9907561208142084,0.979974052268952,0.9935474676390512,0.9791926717317162,0.970877603373205,0.995056170940507,0.9829963732148648,0.996761447962022,0.9903138299440748,0.9943829059493036,0.9992137051197624,0.9817333870634836,0.92493341065233,0.939013003351582,0.9892425031697512
9_census,0.6070521918208134,0.6117324112337192,0.5538913068663451,0.5911018392969571,0.5,0.5,0.4982839165716989,0.6547911896295201,0.6727090043729138,0.5263167393104109,0.5082820078735311,0.7457199793049414,0.7064595473598964,0.6270205037490283,0.5989805501843078,0.7253994334249596
43_WDBC,0.9972913785154449,0.9956777316735824,0.9981558321807285,0.9934301521438452,0.9961964038727524,0.9701475334255416,1.0,0.995850622406639,0.9979253112033196,0.9960235131396956,1.0,0.9783310281235592,0.9945827570308898,0.9940640848317196,0.8506800368833565,0.9810972798524666
46_WPBC,0.610646463750111,0.6130202324962286,0.5841467743366758,0.6176124767060076,0.5731320436595971,0.5322233561096814,0.5937749578489662,0.6387656402520188,0.6653762534386369,0.5625388233206141,0.6062871594640163,0.6636902120862543,0.5818173750998314,0.7970427722069394,0.5321678942230899,0.5653784719141006
19_landsat,0.5039350292296711,0.570941245699508,0.4438122466720169,0.580153466434033,0.4929358564650963,0.4201203182018554,0.6654442912962659,0.7278213124429677,0.6834067395719962,0.4340095215885509,0.6652078542959926,0.6121789169362117,0.4390355722995821,0.589236881937066,0.4475153970774151,0.3462462538409985
27_PageBlocks,0.9079274807014163,0.831164903486999,0.8707408567687625,0.8595328176334032,0.80848414744841,0.8795439027720879,0.918027809239222,0.7035552770883036,0.8972761083130507,0.8314259665357336,0.9167136580154388,0.87094970720775,0.8612261127310409,0.7914596235872473,0.8364407868841924,0.8782723249070215
45_wine,0.9848983253588517,0.9393939393939394,0.9400169457735248,0.9686503189792663,0.8431519138755981,0.7042962519936206,0.9935705741626796,0.9676285885167464,0.9963616427432216,0.838865629984051,0.991377591706539,0.975453548644338,0.9412878787878788,0.9977571770334928,0.711747408293461,0.9330641945773523
42_WBC,0.9525878944483596,0.9923263644193876,0.994127319708715,0.9957716701902748,0.9924046668232714,0.9924046668232714,0.5409913084331689,0.9928744812465742,0.991465037976666,0.9837130999921696,0.8341163573721714,0.9901338971106411,0.9882546394174302,0.9108918643802364,,0.9931876908621096
17_InternetAds,0.8402928932905263,,,,,,,,,,,,,,,0.7128951950808075
6_cardio,0.9296814884027701,,,,,,,,,,,,,,,0.9761322413982632
23_mammography,0.5202717169298382,,,,,,,,,,,,,,,0.8927549194991056
47_yeast,0.4411530999544213,,,,,,,,,,,,,,,0.44238735413818
4_breastw,0.9837514623683867,,,,,,,,,,,,,,,0.9894802324933614
26_optdigits,0.9350940913278063,,,,,,,,,,,,,,,0.8505606000789577
22_magic.gamma,0.6795522007163841,,,,,,,,,,,,,,,0.7368017543342329
12_fault,0.6541733656446722,,,,,,,,,,,,,,,0.5349159327086683
38_thyroid,0.8982032076806586,,,,,,,,,,,,,,,0.9638302724131276
2_annthyroid,0.8979246239230665,,,,,,,,,,,,,,,0.6680651211188533
32_shuttle,0.9978397018687237,,,,,,,,,,,,,,,0.986543754539059
25_musk,1.0,,,,,,,,,,,,,,,1.0
30_satellite,0.8356904058015296,,,,,,,,,,,,,,,0.6883241266122929
35_SpamBase,0.7716241584427138,,,,,,,,,,,,,,,0.7582664391100792
29_Pima,0.7047557430516165,,,,,,,,,,,,,,,0.7716959727736813
24_mnist,0.8319994204578383,,,,,,,,,,,,,,,0.8933669329800886
40_vowels,0.8681934566145093,,,,,,,,,,,,,,,0.4462019914651494
10_cover,0.8506091806038648,,,,,,,,,,,,,,,0.9511878990796928
34_smtp,0.2392823836828158,,,,,,,,,,,,,,,0.9090668464093024
3_backdoor,0.9273597781194562,,,,,,,,,,,,,,,0.2681824314185176
16_http,0.028035172445544557,,,,,,,,,,,,,,,0.9951962319189648
18_Ionosphere,0.9823329186536733,,,,,,,,,,,,,,,0.9034487525053564
44_Wilt,0.6344271831079618,,,,,,,,,,,,,,,0.4204637531835481
13_fraud,0.9491887301317967,,,,,,,,,,,,,,,0.9449401044175816
21_Lymphography,0.9990834563877998,,,,,,,,,,,,,,,1.0
1_ALOI,0.5230752412955803,,,,,,,,,,,,,,,0.5494701366998269
11_donors,0.9947693678617486,,,,,,,,,,,,,,,0.9429380934239237
20_letter,0.3607266666666667,,,,,,,,,,,,,,,0.3156
15_Hepatitis,0.9171527524608094,,,,,,,,,,,,,,,0.7946135617936565
5_campaign,0.7187521169609734,,,,,,,,,,,,,,,0.6826876228898793
33_skin,0.9622918870022352,,,,,,,,,,,,,,,0.9112132741768652
28_pendigits,0.5041780283067147,,,,,,,,,,,,,,,0.9631806481672434
7_Cardiotocography,0.60846155048127,,,,,,,,,,,,,,,0.809214706862786
14_glass,0.666032733978792,,,,,,,,,,,,,,,0.4653642231443062
39_vertebral,0.5553217568947906,,,,,,,,,,,,,,,0.4644943820224719
