,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,ICL_noscaling,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9903161492452291,0.972657362574765,0.9649672457989176,0.9643976075192252,0.191683281116491,0.9606949587012248,0.9179720877242952,0.0039874679578467,0.9507262888066078,0.9823412133295356,0.0065508402164625,0.9840501281686128,0.8461976644830532,0.9578467673027627,0.1825690686414127,0.0102534890344631,0.9774992879521504,,,0.981201936770151,0.9854742238678438,0.9789233836513812,0.975505553973227,0.9504414696667616,0.9854742238678438,0.9897465109655368,0.975505553973227,0.98575904300769,0.98575904300769,0.9837653090287668,0.988322415266306,0.9840501281686128,0.9851894047279978,0.97977784107092,0.97977784107092,0.9760751922529194,0.9834804898889206,0.9800626602107662,0.0099686698946169,0.9794930219310738,0.97977784107092,0.9868983195670749,0.97977784107092,0.991455425804614,,0.9800626602107662,0.9800626602107662
38_thyroid,0.021505376344086,0.8064516129032258,0.7526881720430108,0.7311827956989246,0.075268817204301,0.3010752688172043,0.5913978494623656,0.2580645161290322,0.7741935483870968,0.7526881720430108,0.7096774193548389,0.5268817204301075,0.7311827956989246,0.7419354838709677,0.4086021505376344,0.5376344086021505,0.7311827956989246,,,0.3763440860215054,0.7311827956989246,0.7526881720430108,0.7311827956989246,0.6666666666666666,0.7311827956989246,0.7526881720430108,0.3440860215053763,0.7311827956989246,0.4731182795698925,0.5053763440860215,0.3225806451612903,0.6021505376344086,0.5483870967741935,0.7204301075268817,0.6774193548387096,0.7634408602150536,0.4301075268817204,0.7634408602150536,0.5268817204301075,0.6881720430107527,0.053763440860215,0.4623655913978494,0.6344086021505376,0.6236559139784946,,0.7849462365591398,0.41935483870967744
26_optdigits,0.3533333333333333,0.12,0.0066666666666666,0.0133333333333333,0.0733333333333333,0.0,0.0,0.4466666666666666,0.4066666666666667,0.2133333333333333,0.0,0.5333333333333333,0.0,0.0066666666666666,0.0066666666666666,0.0,0.0133333333333333,,,0.36,0.3466666666666667,0.04,0.0466666666666666,0.0733333333333333,0.3733333333333333,0.34,0.3466666666666667,0.3466666666666667,0.3266666666666666,0.2733333333333333,0.3533333333333333,0.2866666666666667,0.3266666666666666,0.08,0.0866666666666666,0.2266666666666666,0.3466666666666667,0.14,0.0,0.0866666666666666,0.1733333333333333,0.5533333333333333,0.1666666666666666,0.3933333333333333,,0.1333333333333333,0.07333333333333333
36_speech,0.0163934426229508,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0491803278688524,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0,0.0327868852459016,0.0163934426229508,0.0,0.0163934426229508,0.0,0.0163934426229508,0.0163934426229508,0.0491803278688524,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0655737704918032,0.0327868852459016,0.01639344262295082
40_vowels,0.34,0.16,0.28,0.18,0.54,0.06,0.22,0.34,0.08,0.26,0.1,0.34,0.0,0.12,0.56,0.0,0.24,,,0.36,0.36,0.08,0.22,0.1,0.32,0.32,0.22,0.36,0.38,0.38,0.34,0.36,0.34,0.46,0.44,0.38,0.38,0.4199999999999999,0.0,0.48,0.48,0.26,0.48,0.36,,0.44,0.41999999999999993
16_http,0.0408163265306122,0.3469387755102041,1.0,0.9285714285714286,,0.0408163265306122,0.0408163265306122,0.0,0.0408163265306122,1.0,0.0204081632653061,0.9285714285714286,0.9285714285714286,0.9285714285714286,,,0.0408163265306122,,,0.0408163265306122,0.0408163265306122,1.0,0.9897959183673468,0.3316326530612244,0.0408163265306122,0.0408163265306122,0.2602040816326531,0.0408163265306122,0.0408163265306122,0.6887755102040817,0.0408163265306122,0.0408163265306122,0.0408163265306122,1.0,0.9897959183673468,0.1887755102040816,0.9948979591836736,0.3673469387755101,,0.2602040816326531,0.3724489795918367,1.0,0.3061224489795918,0.9642857142857144,,0.9285714285714286,
8_celeba,0.117813383600377,0.1950989632422243,0.2714420358152686,0.1621112158341187,0.0169651272384542,0.2148916116870876,0.2214891611687087,0.0207351555136663,0.2167766258246936,0.1621112158341187,0.2770970782280867,0.0188501413760603,0.295004712535344,0.2733270499528746,0.0725730442978322,0.0,0.1489161168708765,0.2686145146088595,0.2723845428840716,0.1055607917059378,0.1112158341187559,0.0480678605089538,0.2111215834118756,0.0311027332704995,0.1159283694627709,0.1017907634307257,0.1046182846371347,0.1102733270499528,0.0669180018850141,0.0933081998114985,0.1611687087653157,0.0904806786050895,0.0810556079170593,0.1913289349670122,0.1602262016965127,0.0914231856738925,0.1432610744580584,0.1253534401508011,0.0,0.1479736098020735,0.1677662582469368,0.1093308199811498,0.2186616399622997,0.11875589066918,0.1376060320452403,0.1442035815268614,0.176248821866164
41_Waveform,0.34,0.11,0.13,0.28,0.12,0.09,0.07,0.3,0.08,0.27,0.06,0.28,0.09,0.09,0.13,0.06,0.13,0.13,,0.24,0.12,0.06,0.13,0.03,0.14,0.24,0.08,0.12,0.11,0.1,0.15,0.11,0.1,0.12,0.12,0.15,0.09,0.15,0.07,0.15,0.14,0.31,0.15,0.17,0.05,0.15,0.14
37_Stamps,0.1392405063291139,0.4810126582278481,0.5316455696202531,0.4810126582278481,0.1392405063291139,0.5949367088607594,0.4050632911392405,0.5822784810126582,0.5063291139240507,0.620253164556962,0.4430379746835443,0.5443037974683544,0.189873417721519,0.5063291139240507,0.1012658227848101,0.1012658227848101,0.2278481012658227,0.6075949367088608,,0.4683544303797468,0.3924050632911392,0.5316455696202531,0.4683544303797468,0.1265822784810126,0.4556962025316455,0.3544303797468354,0.2278481012658227,0.3924050632911392,0.4683544303797468,0.3544303797468354,0.569620253164557,0.3544303797468354,0.3924050632911392,0.4683544303797468,0.5063291139240507,0.5063291139240507,0.4177215189873418,0.4683544303797468,0.1012658227848101,0.4683544303797468,0.5569620253164557,0.6962025316455697,0.5189873417721519,0.7468354430379747,0.0,0.4683544303797468,0.43037974683544306
31_satimage-2,0.704225352112676,0.9014084507042254,0.9154929577464788,0.9295774647887324,0.1690140845070422,0.8028169014084506,0.7887323943661971,0.8309859154929577,0.8309859154929577,0.9014084507042254,0.9014084507042254,0.8169014084507042,0.9577464788732394,0.8732394366197183,0.2816901408450704,0.0,0.6619718309859155,0.8309859154929577,,0.8591549295774648,0.9295774647887324,0.9295774647887324,0.943661971830986,0.6901408450704225,0.9154929577464788,0.8028169014084506,0.9154929577464788,0.9295774647887324,0.9295774647887324,0.9295774647887324,0.7746478873239436,0.9295774647887324,0.9295774647887324,0.676056338028169,0.7464788732394367,0.5070422535211268,0.943661971830986,0.6901408450704225,0.0,0.6056338028169014,0.7605633802816902,0.8732394366197183,0.7183098591549296,0.9014084507042254,0.9014084507042254,0.6901408450704225,0.704225352112676
