,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,ICL_noscaling,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9904677710961752,0.9903394772959432,0.9766843145387318,0.9685367487121466,0.1695313396996804,0.9805278710650962,0.9520492430925522,0.2936043231192509,0.9748719451240656,0.9785923096165582,0.0838189866930001,0.9974660268045326,0.9089539235813048,0.962713299734448,0.206467690442733,0.0702195538722866,0.9768730857430352,0.8953712080462537,,,0.970203048966602,0.9963455711552652,0.9852938179515418,0.9852966321710636,0.9557663787914998,0.9963305890276338,0.9966814769769032,0.9807118634812836,0.9963338964740835,0.997849233870665,0.9965191681433726,0.9963824824715636,0.9961717600513456,0.9966932041119688,0.9491369507425348,0.9650179649657415,0.9363564165745432,0.9966523680878254,0.9372923482168444,0.0701420160178772,0.9376300816729314,0.9424826626531428,0.9970957441930282,0.9390694837793534,0.9995927225019114,,0.9404637964262076,0.9398047762834687
38_thyroid,0.0302111490367602,0.8002558272370838,0.7892005072030098,0.8146055317982713,0.0737234960861273,0.3018648994809832,0.6403435593045241,0.2755763225822348,0.7694955412011536,0.8094229556780009,0.6580665600304832,0.6057457162590333,0.8014125255977664,0.813421052388476,0.3221177638561298,0.5523427951376939,0.7534835472512679,0.4180763075477154,,,0.4150108345025929,0.7901443029175853,0.7879783050052183,0.7860113341332355,0.7150444432300815,0.7900868827764033,0.797360721991189,0.2787190704675814,0.790049657053826,0.5724795938137216,0.5364832244377223,0.3415854399431934,0.6409686712963699,0.6401733136937013,0.803130778746887,0.6324474632241892,0.7808127676105153,0.4897859280416354,0.8346054238519311,0.5493792228339127,0.750824932734117,0.0352040291773273,0.4084796774602144,0.6920070834957168,0.5227871078866129,,0.8396628490961704,0.4208092153247892
26_optdigits,0.2747144634850504,0.1397819641272939,0.0692143858176951,0.1263699803196626,0.0609134198643046,0.0559075661572866,0.0559075661572866,0.3996864931696265,0.4238072305633713,0.2911098729719137,0.0422450504856091,0.436265670730745,0.0713008561694174,0.0602197027858401,0.0473224534194382,0.0336641652428491,0.0462259772533149,0.0792341453906503,,,0.3058513598785423,0.293436180514616,0.0954245491147148,0.1361072197989871,0.0755331681684973,0.3160571619390568,0.2613592181496018,0.2746138119542264,0.2933420414500778,0.262019782069351,0.2424514883811543,0.267707371457127,0.2437533762760627,0.2577238222079284,0.1674051834518242,0.1670349080787129,0.2115236808753661,0.2977531267481624,0.180769372344129,0.0331058839356637,0.1793463803468429,0.1876429940349969,0.4686342085738096,0.2063301514412647,0.3644815751331711,,0.1841413716523162,0.16171373994767663
36_speech,0.0252465040163503,0.0497500184869772,0.0278050022611379,0.0270965402606807,0.0222865936570541,0.0278815665531377,0.0286733211686461,0.0302943299080743,0.0320978842973562,0.0280310472646631,0.0262889962596522,0.0315237721469434,0.0293171037150339,0.0277092917113783,0.0346754988139074,0.0271715022566451,0.0328458158327793,0.034835095617278,0.0272891157779326,0.0277124995178254,0.0265433923281855,0.0284260071043897,0.032517347632034,0.02786137513287,0.0325506937033084,0.0276380211871918,0.0252553824215318,0.0268834865068758,0.0283261579309465,0.0302712356267434,0.0277118241864286,0.0269533755691537,0.0280748753942012,0.0275966846384832,0.0282705263700308,0.0256632771182627,0.0310514950142453,0.0334650507489713,0.0255965962668432,0.0272905005568274,0.026313314506772,0.0263688293614903,0.0300584141884382,0.0289477646654647,0.0300584141884382,0.0360828863002843,0.0271604466072207,0.02942603694152754
40_vowels,0.3417317336916585,0.1189981469951505,0.2742668687180272,0.1998043254480197,0.5322255570600649,0.0706370493752883,0.1771506028678248,0.359849861257085,0.0787721123919029,0.302052045545569,0.1197196469707898,0.3309002392061522,0.0434738588522694,0.1050648365911076,0.5203329349435981,0.0427889215205911,0.1377458119093597,0.0995687549768511,,,0.3771984498510484,0.3557906875805613,0.0753130597035026,0.1884767961102405,0.2000080770740705,0.3385067689454397,0.3329364076651963,0.1874307030447658,0.3559072547890463,0.3596665721960941,0.3592966933622432,0.3356506925016231,0.3677120330433733,0.3480793866716017,0.5010774564507429,0.4209537232776196,0.3555586962462837,0.3891713712045022,0.4394622098659072,0.0428581025260972,0.4632519541826668,0.5104411783715681,0.2461314848087761,0.4643240140117192,0.4242861729259713,,0.4540234711435239,0.3972849647789628
16_http,0.0480454629974201,0.5822391402140407,1.0,0.9053288169282756,,0.4543470255879664,0.2575496121483557,0.0920342825413432,0.1921605526256689,1.0,0.0115759339395907,0.9173045824676332,0.9055065286325716,0.9054839603635576,,,0.0480543279459805,0.7300122296109456,,,0.0480483601885985,0.0520526631911813,1.0,0.9883988094072128,0.5581144957983193,0.2940977942978306,0.0518981759053723,0.5746005398434988,0.048045766677299,0.1105379303494542,0.7567487231610406,0.3041733967633944,0.0480465152136548,0.0772148371916328,0.9999999999999998,0.9993181004459196,0.5203213066173494,0.9999480704951615,0.6169984272292474,,0.5418252422427986,0.5910635813989753,1.0,0.5570630968510983,0.9651763080056962,,0.9283107555217508,
8_celeba,0.0743971838962505,0.133436078518938,0.1930882599570959,0.1304373441861668,0.0301962641651892,0.151683774436497,0.1565162853743369,0.0358121661447468,0.1555206637385758,0.1148096332443336,0.2129141411660488,0.034123675902618,0.2301913446595992,0.1962031749950897,0.0701826178886167,0.0634986151592812,0.0928638553844464,0.0714740539297194,0.1850020273588802,0.1955115741746229,0.0796498940940183,0.082265483365794,0.0420123783872681,0.1401625170031491,0.0418650919358852,0.0846267246825919,0.0662137608258094,0.0767288971251713,0.0812054871890651,0.0597984095424166,0.0747771290222576,0.090256916642465,0.0754116288850631,0.0731822474041685,0.1531332794676486,0.1345666192894819,0.0902865314601779,0.1069374068822847,0.1160531006675116,0.1182197804149942,0.1243588894886986,0.1417296046236934,0.0894340220642545,0.1569187853397685,0.0969663285394375,0.0878099441611532,0.1216592061825691,0.14560704692801713
41_Waveform,0.3155995534489739,0.1081273341227033,0.1091086629614938,0.2147481661590828,0.0989121189678052,0.0988387421619707,0.0734766798258428,0.2726701906808129,0.0899663220836625,0.2700393950703784,0.0747362119366316,0.3066274875638964,0.0782342670033626,0.0840761220751343,0.0870277079367644,0.0630641141437606,0.1276910543269302,0.0557374991490763,0.0983745840920422,,0.1856859806795175,0.0959640390084983,0.0653944541730362,0.0979365803280017,0.0577713156408808,0.0974310055281399,0.1653222507612252,0.0767955582716778,0.0967967379504356,0.0916635077880536,0.0840484559378012,0.1158291295311331,0.0891684864874544,0.0845120630419488,0.1002543286764647,0.1266826973361505,0.1176307216674559,0.092961127140063,0.1197220183782916,0.0654971217404998,0.1187276262363191,0.101071132963269,0.2110819883538627,0.1023555807118687,0.1341683833951688,0.0415671617135305,0.1082901855349341,0.10889155988592301
37_Stamps,0.2049003621993951,0.4761645083881162,0.539794523226223,0.4783134367620435,0.1527630963068048,0.5121001381857373,0.4232762332414967,0.5682120132508682,0.4653373876658848,0.5818313104831323,0.4557662087739466,0.5627163613499551,0.3271106097115009,0.4742645600989091,0.1624436745296279,0.1161041118785092,0.2691156368381578,0.3045508932791305,0.5464865096840309,,0.3982956316859133,0.3308641687908473,0.5240328951323764,0.4706302123560494,0.1709521374078336,0.3385800427958628,0.2628141667269287,0.2600308176033785,0.3282287904114851,0.5315881287331222,0.3863244199286854,0.5151136773635816,0.3105851825309713,0.4298731338369698,0.4502990729146135,0.4668280832861466,0.4725129309181067,0.4461552487905146,0.4669608118930045,0.1166477391752681,0.465432153093237,0.5390369898045423,0.7586639372813301,0.5072434412780555,0.7878716582366723,0.0838491866262182,0.4845537630976664,0.4899201683696742
31_satimage-2,0.7270005670262072,0.9384790634170947,0.9692488527508224,0.967537304968556,0.1055274683243291,0.8527119710673836,0.796596721114712,0.9095920600195216,0.8768416663431468,0.96687219172961,0.9316778804225134,0.8846217216219329,0.9830975390040242,0.919214111289047,0.2009083455680702,0.0497769596336629,0.6946681476000377,0.0483711779656763,0.8725842982519506,,0.9492406790967174,0.9760834603204632,0.9747832562675643,0.976448272394455,0.8891546663119922,0.9723199742266556,0.9099843774895128,0.9637840223091078,0.9759426399156622,0.9678329596734888,0.9728574610927202,0.8110596299673818,0.9731442957834552,0.971822959330826,0.7894221931473115,0.8025305750814025,0.4864154776981776,0.964956947719337,0.7468535430374637,0.0591928684881126,0.6222408195092601,0.8063708560674614,0.956501924344578,0.7497033965071862,0.9619184869767174,0.925695354320355,0.7393795580854937,0.7249492204208694
