,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,ICL_noscaling,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9992516890369798,0.9973655510394386,0.9961888117598652,0.9973165296080512,0.5278303962939748,0.994657576179748,0.9933072562977264,0.8334036332065802,0.9864057247834876,0.9991050683474092,0.1762171819604681,0.999776898130004,0.9898240980334658,0.9935601234110476,0.6223369494771732,0.0263428776339975,0.9978531787011864,0.9831176338286012,,,0.9984307143922062,0.9998353164811988,0.9975147646290892,0.9977611588641389,0.9751153693708624,0.9998368909651028,0.9998734977158674,0.9968374616405424,0.9998359287804948,0.9998838193325704,0.999822526923456,0.9995701596462948,0.9998290935210076,0.9998310616258872,0.9979960818593177,0.9985690565453776,0.9972100020264608,0.9998298620191034,0.9975008441920344,0.0202138866406327,0.9971879217640948,0.9975945384802178,0.9992685147717144,0.9974965206092508,0.9999462676128048,,0.9975320089766077,0.9974922345141792
38_thyroid,0.2480836359171359,0.9903757886181714,0.985598765107264,0.9851660848871816,0.4162617598390897,0.938068258228233,0.9754775561753408,0.9276897799762612,0.9864612020324276,0.9867798651674882,0.9688177890040752,0.9272278646061736,0.984978979927146,0.9854584363872372,0.915621510053968,0.8444134551854386,0.92563162541587,0.9476223052500484,,,0.7901150110801219,0.9768866904056084,0.9855841475322608,0.9841428546369873,0.9511656054307216,0.9769217725856152,0.9802311915662438,0.9078508071824916,0.9769743958556252,0.9538903214112392,0.9435878545492816,0.8974284762055115,0.9641226239131832,0.967280020113783,0.9852011670671884,0.9717296099446286,0.9893291702479724,0.9470142141299328,0.9888672548778848,0.8354411876487339,0.9744133967151384,0.209510778999807,0.946821262139896,0.9704374163143832,0.9480491384401294,,0.9891245241979336,0.9611172504926123
26_optdigits,0.8963126727200946,0.7835241479141992,0.6338228714304515,0.8165811290959337,0.5126016581129096,0.5,0.5,0.9611396236346887,0.8992420055270429,0.9371891038294512,0.3970785629688116,0.9665008553757072,0.6516646927227268,0.5817423345176996,0.4487116725884985,0.2255244111067245,0.4506382418739307,0.666921963416239,,,0.9241979207790498,0.9237636531122516,0.7215396762731938,0.8156310040794841,0.532083168838005,0.9294696670614554,0.8874509803921569,0.9004421634425581,0.9236873272799052,0.904558494538755,0.9013001710751416,0.8745045400710619,0.8942018686669299,0.90080800105277,0.844345308593236,0.8416686406106066,0.8753678115541519,0.9200026319252532,0.849327543097776,0.2088853796552177,0.8433004342676668,0.85999210422424,0.967306224503224,0.873175417818134,0.9475299381497564,,0.8576181076457428,0.8364916436373206
36_speech,0.3680160588825694,0.3684862513902326,0.36569222283508,0.3584404076207355,0.3095946398054126,0.3703308527664499,0.3596068467262847,0.3790294141582198,0.3665512283779263,0.36362156736864,0.3926921233712803,0.3752769162605228,0.3831435986002731,0.3637843263136003,0.436709375819446,0.4152161529210709,0.5028708869458284,0.4651921911875074,0.3618673876285117,0.3637752841499914,0.3862360185545197,0.4084978253596521,0.392710207698498,0.4001338240214118,0.5,0.3971499100304721,0.3679708480645249,0.3873210781875887,0.4074760608718454,0.3831074299458374,0.3815340934778873,0.3884061378206577,0.3931713580425524,0.3919868346097855,0.3975115965748284,0.3649417232555406,0.3908746484858897,0.3870769397701482,0.3708552982557666,0.4158491043736946,0.3805304133172986,0.390639552232058,0.4682213159964916,0.3908836906494986,0.4682213159964916,0.4531028184423968,0.3792464260848336,0.3907118895409294
40_vowels,0.8622190611664295,0.6265433854907538,0.7590896159317212,0.7557325746799431,0.92,0.5281934566145092,0.6147368421052631,0.8441251778093883,0.533058321479374,0.8221337126600284,0.6339402560455192,0.8630156472261735,0.2743669985775249,0.5229018492176387,0.901792318634424,0.2652062588904694,0.5491322901849218,0.5908108108108108,,,0.8591180654338548,0.8195448079658606,0.5081365576102418,0.6402560455192035,0.7624039829302988,0.8097297297297297,0.834452347083926,0.7896443812233286,0.8194594594594595,0.8438691322901849,0.8383499288762447,0.8441820768136558,0.8381792318634425,0.8378662873399716,0.876130867709815,0.8641536273115221,0.8544238975817923,0.8549644381223329,0.8765576102418208,0.266827880512091,0.895448079658606,0.8909815078236131,0.8494736842105263,0.8765576102418208,0.8882503556187767,,0.8969843527738264,0.8678805120910384
16_http,0.0408163265306122,0.9950038846154476,1.0,0.999436157082703,,0.9909516734169374,0.9796133496366984,0.9281182234358686,0.9677691653321838,1.0,0.1171731964812268,0.9994373863913888,0.999437796160951,0.99943759127617,,,0.0418964790960155,0.9985416301288806,,,0.041239413603366,0.3889749860268578,1.0,0.999924397515813,0.9950613547965168,0.97995980980136,0.3817748226107565,0.994432051191692,0.0415575996682505,0.907091922786302,0.9976438250185624,0.9805974112398153,0.0408163265306122,0.8155229725011842,1.0,0.9999942632261324,0.993711881186496,0.999999590230438,0.995221882022426,,0.994236181341061,0.9951845929922848,1.0,0.9946207500749878,0.9997252495086864,,0.999436771737046,
8_celeba,0.6230714937583414,0.7460754647371817,0.7979322275441403,0.7741935987095407,0.3689514775451706,0.7546736221164104,0.760485203363166,0.4528100319205947,0.7638720889756871,0.7260761842611527,0.8353132311637541,0.4282593964033585,0.8636403082721106,0.8041662402357266,0.6791734672531275,0.6238370857522737,0.6875193867991772,0.6200339316411398,0.7719220908072377,0.8036425246216442,0.6985527553396247,0.6974701567996036,0.5043079764432166,0.7189487369600243,0.503106413781981,0.7097793322440069,0.588051264465157,0.6765995705427965,0.6925472338790712,0.6231340284032473,0.6852825647285575,0.6411744549422957,0.7005245514636631,0.6668519466570813,0.8440037749586322,0.8315559139651167,0.7557429510628559,0.7623944841015053,0.8047079439490826,0.7629998202345625,0.808466416700136,0.834286407287006,0.720713034388585,0.8279684437124062,0.7399815242576067,0.6954678926101999,0.8127067548086099,0.8315198222113275
41_Waveform,0.7323578695391981,0.7275344105326152,0.7043746259724716,0.743967684021544,0.6666247755834829,0.7235667265110712,0.5943985637342908,0.7763135846798324,0.6928007181328546,0.7520586475164571,0.6087672052663076,0.7600478755236385,0.5836086175942549,0.6467564332734889,0.6127588270496708,0.5001406343506882,0.6103710353081987,0.470849790544584,0.6992040694195092,,0.6475044883303411,0.6233991621783364,0.5438898862956313,0.6695631358467983,0.5069210053859964,0.6300179533213646,0.6980191502094554,0.5834889287851586,0.623345302214243,0.643213644524237,0.60918013165769,0.6900000000000001,0.612064631956912,0.6038539796529024,0.6420766008378217,0.6994314781567924,0.6654997007779772,0.6171334530221424,0.6742070616397366,0.5039467384799521,0.6682226211849193,0.6537881508078994,0.6939916217833634,0.6679413524835427,0.7017534410532617,0.323770197486535,0.6517594254937163,0.6642190305206463
37_Stamps,0.5269227600977512,0.9121612345204426,0.9212224388368708,0.9102391608775638,0.4520168044152777,0.9256157500205936,0.863724978719899,0.9364617370054094,0.9111727395041048,0.9374776902166452,0.8834125044619567,0.9307229742716714,0.8237458469480217,0.9118317361816636,0.5029517559515637,0.3355665998517257,0.6728630659820424,0.7773140393750515,0.9216068535654466,,0.8424174194788435,0.7583129685054504,0.9255882918256954,0.9082621708448886,0.5444136302479474,0.7689667481259782,0.6727532332024493,0.7154781844641533,0.7583129685054504,0.9118042779867652,0.8370356132787831,0.8943408660314671,0.75990554380955,0.8653999286086933,0.8902221367967269,0.902743073670337,0.9081248798703974,0.8837694609956341,0.9062302644224168,0.3331777368955765,0.9037315686866744,0.924435047639968,0.9585930420934128,0.9222383920481068,0.9734753837282736,0.0751530794365578,0.9143304319174056,0.9140833081633213
31_satimage-2,0.952321044199601,0.98837757880149,0.9960783542848156,0.9940487306252028,0.5705404794433032,0.9791926717317162,0.970877603373205,0.9951692008295412,0.9795121040268128,0.997075965914117,0.9794285601957874,0.9938030134751284,0.9992137051197624,0.9817333870634836,0.7492014192622588,0.7687752474371701,0.8938895059119547,0.5450841826956154,0.9828931720118336,,0.9980440914854092,0.9992137051197624,0.9981374640024374,0.998304551664488,0.9843478175402732,0.999085932201724,0.9965599598989612,0.9986731273895992,0.9992038764337596,0.99860924093058,0.99897290231269,0.9197561503002664,0.9989729023126898,0.9988844441386632,0.9949185693364654,0.9954345753516212,0.97195384449053,0.9984126672105208,0.99443696372232,0.7959441927208751,0.9915817304384578,0.9960390395408038,0.9964027009229136,0.9944664497803288,0.9957638363327208,0.9749712510934412,0.9944517067513244,0.9942305613162576
