,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
32_shuttle,0.9891768726858444,0.9587012247223012,0.9649672457989176,0.9612645969809172,0.191683281116491,0.9606949587012248,0.9179720877242952,0.8453432070635146,0.9507262888066078,0.9823412133295356,0.9490173739675306,0.9840501281686128,0.8461976644830532,0.9578467673027627,0.1825690686414127,0.0492737111933921,0.9800626602107662,,,0.9809171176303048,0.9854742238678438,0.9786385645115352,0.9777841070919966,0.9487325548276844,0.9854742238678438,0.991455425804614,0.9757903731130732,0.9854742238678438,0.9849045855881516,0.9846197664483052,0.988322415266306,0.9846197664483052,0.9849045855881516,0.981201936770151,0.981201936770151,0.9766448305326118,0.9561378524636855,0.9843349473084592,0.9800626602107662,0.013101680432925,0.9794930219310738,0.9800626602107662,0.9894616918256908,0.9800626602107662,0.9908857875249216,0.9800626602107662
38_thyroid,0.043010752688172,0.8279569892473119,0.7526881720430108,0.7419354838709677,0.075268817204301,0.3010752688172043,0.5913978494623656,0.5806451612903226,0.7741935483870968,0.7526881720430108,0.6451612903225806,0.5268817204301075,0.7311827956989246,0.7419354838709677,0.4086021505376344,0.2903225806451613,0.7096774193548389,,,0.4408602150537634,0.7634408602150536,0.7311827956989246,0.7311827956989246,0.5376344086021505,0.7634408602150536,0.7849462365591398,0.3440860215053763,0.7741935483870968,0.4731182795698925,0.5806451612903226,0.1827956989247311,0.6129032258064516,0.4731182795698925,0.7419354838709677,0.7849462365591398,0.7741935483870968,0.032258064516129,0.3548387096774194,0.7741935483870968,0.2795698924731182,0.5913978494623656,0.086021505376344,0.5483870967741935,0.6774193548387096,0.6236559139784946,0.3333333333333333
26_optdigits,0.4000000000000001,0.2333333333333333,0.0066666666666666,0.02,0.0733333333333333,0.0,0.0,0.4666666666666667,0.4066666666666667,0.2133333333333333,0.0066666666666666,0.5333333333333333,0.0,0.0066666666666666,0.0066666666666666,0.0066666666666666,0.2266666666666666,,,0.36,0.26,0.0,0.02,0.2333333333333333,0.26,0.3066666666666666,0.24,0.26,0.2066666666666666,0.2733333333333333,0.36,0.3066666666666666,0.2533333333333333,0.0466666666666666,0.0133333333333333,0.08,0.4066666666666667,0.24,0.0133333333333333,0.0066666666666666,0.0666666666666666,0.22,0.4866666666666667,0.1,0.4066666666666667,0.15333333333333332
36_speech,0.0491803278688524,0.0,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0491803278688524,0.0,0.0491803278688524,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0,0.0327868852459016,0.0655737704918032,0.0327868852459016,0.0655737704918032,0.0327868852459016,0.0163934426229508,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0491803278688524,0.0491803278688524,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0,0.0327868852459016,0.0163934426229508,0.0,0.0163934426229508,0.0,0.03278688524590164
40_vowels,0.38,0.16,0.28,0.22,0.54,0.06,0.22,0.4199999999999999,0.08,0.26,0.1,0.34,0.0,0.12,0.56,0.0,0.14,,,0.36,0.34,0.12,0.2,0.1,0.34,0.38,0.26,0.34,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.38,0.4000000000000001,0.44,0.46,0.34,0.08,0.38,0.4000000000000001,0.0,0.4000000000000001,0.4199999999999999,0.3,0.46,0.46,0.44
16_http,0.0050761421319796,0.5025380710659898,1.0,0.9187817258883249,,0.0101522842639593,0.0050761421319796,0.0,0.0050761421319796,1.0,0.0050761421319796,0.9390862944162436,0.9390862944162436,0.934010152284264,,,0.8730964467005076,,,0.0050761421319796,0.0050761421319796,1.0,0.9898477157360406,0.3756345177664975,0.0050761421319796,0.0050761421319796,0.0050761421319796,0.0050761421319796,0.0050761421319796,0.0050761421319796,0.9949238578680204,0.0050761421319796,0.0050761421319796,0.3857868020304568,0.3197969543147208,,1.0,0.0964467005076142,0.3197969543147208,,0.5329949238578681,0.5177664974619289,0.0101522842639593,0.3908629441624365,0.9796954314720812,
8_celeba,0.0837887067395264,0.1830601092896175,0.2714025500910746,0.2959927140255009,0.0127504553734061,0.2331511839708561,0.2340619307832422,0.0200364298724954,0.2304189435336976,0.1721311475409836,0.0947176684881603,0.0209471766848816,0.2677595628415301,0.2686703096539162,0.081967213114754,0.0,0.0482695810564663,0.2704918032786885,0.2686703096539162,0.1366120218579235,0.1429872495446266,0.0318761384335154,0.1375227686703096,0.0091074681238615,0.1448087431693989,0.0792349726775956,0.1320582877959927,0.1493624772313297,0.1247723132969034,0.092896174863388,0.0792349726775956,0.1357012750455373,0.1129326047358834,0.1785063752276867,0.1320582877959927,0.1129326047358834,0.0837887067395264,0.192167577413479,0.2249544626593806,0.0,0.2477231329690346,0.1256830601092896,0.1129326047358834,0.2030965391621129,0.1102003642987249,0.1621129326047359
41_Waveform,0.37,0.08,0.13,0.27,0.12,0.09,0.07,0.3,0.08,0.27,0.05,0.28,0.09,0.09,0.13,0.07,0.2,0.1,,0.22,0.11,0.1,0.11,0.0,0.11,0.2,0.08,0.11,0.1,0.09,0.13,0.09,0.09,0.14,0.16,0.13,0.46,0.09,0.14,0.07,0.14,0.18,0.32,0.18,0.2099999999999999,0.15
37_Stamps,0.3222222222222222,0.6666666666666666,0.7111111111111111,0.6555555555555556,0.2,0.7111111111111111,0.5111111111111111,0.7666666666666667,0.5888888888888889,0.8000000000000002,0.5666666666666667,0.7777777777777778,0.3,0.6444444444444445,0.2777777777777778,0.3111111111111111,0.4666666666666667,0.7111111111111111,,0.6555555555555556,0.5222222222222223,0.6666666666666666,0.6222222222222222,0.2333333333333333,0.5111111111111111,0.4333333333333333,0.4333333333333333,0.5222222222222223,0.6777777777777778,0.5666666666666667,0.5,0.5333333333333333,0.6,0.7,0.6777777777777778,0.7222222222222222,0.0333333333333333,0.6222222222222222,0.6888888888888889,0.3,0.7111111111111111,0.6777777777777778,0.7333333333333333,0.6888888888888889,0.8555555555555555,0.7111111111111111
31_satimage-2,0.7323943661971831,0.9014084507042254,0.9154929577464788,0.9295774647887324,0.1690140845070422,0.8028169014084506,0.7887323943661971,0.8591549295774648,0.8309859154929577,0.9014084507042254,0.8873239436619719,0.8169014084507042,0.9577464788732394,0.8732394366197183,0.2816901408450704,0.0845070422535211,0.7746478873239436,0.8169014084507042,,0.8732394366197183,0.9014084507042254,0.9154929577464788,0.9295774647887324,0.6901408450704225,0.9014084507042254,0.8732394366197183,0.9014084507042254,0.9014084507042254,0.9295774647887324,0.9295774647887324,0.7887323943661971,0.943661971830986,0.943661971830986,0.7464788732394367,0.7464788732394367,0.676056338028169,0.0140845070422535,0.9295774647887324,0.7183098591549296,0.0985915492957746,0.5211267605633803,0.8028169014084506,0.8732394366197183,0.6619718309859155,0.8873239436619719,0.704225352112676
