,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
32_shuttle,0.9859783131182132,0.985667146993962,0.9766843145387318,0.9664176057852338,0.1695313396996804,0.9805278710650962,0.9520492430925522,0.6918135770503294,0.9748719451240656,0.9785923096165582,0.9576448591201538,0.9974660268045326,0.9089539235813048,0.962713299734448,0.206467690442733,0.0863525407114484,0.9794635396821376,0.7560095411492707,,,0.9631602977827054,0.9963012017499058,0.984178612938472,0.9855596898185118,0.9524314898239638,0.9962821080135874,0.9961825526402464,0.9819971062764346,0.9962841341671068,0.9977203421074368,0.9965582898733568,0.9966313969520796,0.9964642001877102,0.9967516893232784,0.9517881246727538,0.995085382379435,0.9372835356550328,0.9658686974860912,0.996437110933936,0.9395443023002964,0.070253315659541,0.9395680584649466,0.9430762199868724,0.9947324144942802,0.9387756624670116,0.9997186233439552,0.9401351047294059
38_thyroid,0.0411407872366759,0.8572419530215999,0.7892005072030098,0.8148872561833477,0.0737234960861273,0.3018648994809832,0.6403435593045241,0.6730549609143961,0.7694955412011536,0.8094229556780009,0.5632587342035731,0.6057457162590333,0.8014125255977664,0.813421052388476,0.3221177638561298,0.2020196008599644,0.7377594729993839,0.6208955425711226,,,0.5065087038421341,0.8047968936302251,0.7771037509637652,0.7893848231144271,0.6680733997257892,0.8058463968243564,0.8047152195135846,0.2779352246225788,0.8049224042522151,0.5552360042908814,0.6383857955738655,0.1549836955402823,0.661189911519754,0.5215123929883486,0.6830782523616966,0.8562949633658055,0.8418235968704119,0.0270997762440931,0.467447715082476,0.841282193805917,0.193215708292458,0.7015934266149773,0.0458842147236688,0.4624448427458656,0.596451383314083,0.5332761418208295,0.3409894227176734
26_optdigits,0.3342721940053473,0.2068900191334065,0.0692143858176951,0.1489698319657389,0.0609134198643046,0.0559075661572866,0.0559075661572866,0.4074386054136147,0.4238072305633713,0.2911098729719137,0.0437731957891372,0.436265670730745,0.0729648225389164,0.0602197027858401,0.0473224534194382,0.0374521176065948,0.1997951310739308,0.036660524355127,,,0.2875734991871943,0.2432908916543976,0.0540114681773135,0.1181143645661177,0.1685034930282787,0.2433038298798513,0.2538128157492615,0.2007803567261738,0.2427410410397016,0.2032712117011468,0.2544374438661433,0.2709437085487772,0.2669770780454996,0.2282385678018083,0.145804468885368,0.1211904582174795,0.1176489080717712,0.3436304364221892,0.2102924334574902,0.0943758067659622,0.038413545462237,0.1051459538134941,0.2303067919410276,0.436385856959173,0.1700622157020471,0.363335855814242,0.19460459661805762
36_speech,0.0326680083177418,0.0246027498359348,0.0278050022611379,0.0268143589050934,0.0222865936570541,0.0278815665531377,0.0286733211686461,0.0293856281710492,0.0320978842973562,0.0280310472646631,0.0465936543106755,0.0315237721469434,0.0293370835214742,0.0277092917113783,0.0346754988139074,0.0243270988169317,0.0348376416231842,0.0376493372151667,0.0271681522233196,0.0277151696673659,0.0310029445330871,0.029348379404563,0.0306120615469682,0.030157294041324,0.0325506937033084,0.0297867091182278,0.0302580575879277,0.0321127431399171,0.0304317016210477,0.0288882571170065,0.0280086087319285,0.0298058916016501,0.0291809718987261,0.0282053194505531,0.0245614460636851,0.0279596885762189,0.0310222725995578,0.0319866349537921,0.0291402370651872,0.026650207090152,0.0244020912390157,0.0263391898900741,0.0268743841369737,0.0294927894950378,0.0282182135502084,0.0294927894950378,0.03041585877728875
40_vowels,0.3743740262699944,0.1139721621741267,0.2742668687180272,0.2850321718510727,0.5322255570600649,0.0706370493752883,0.1771506028678248,0.354146896093086,0.0787721123919029,0.302052045545569,0.0965285306514331,0.3309002392061522,0.0438285681833289,0.1050648365911076,0.5203329349435981,0.0392398931796475,0.1724752208588109,0.0401460101610172,,,0.4089067436598378,0.3624202250499396,0.100392075769592,0.2144927264441314,0.1110345713918519,0.3624596060400892,0.3887659012576613,0.2321778626872633,0.3624596060400892,0.4037887957375759,0.4142650102563065,0.3771748928994186,0.3862492447133853,0.4076062586311186,0.4211928852650819,0.4606152884829238,0.3479955822329857,0.0781923619896419,0.3836956361187017,0.4641778805119558,0.0391833059681845,0.4575475027105045,0.4578055666914653,0.3124021211199111,0.4716274789363175,0.4628893749943905,0.4183143887628901
16_http,0.0127678323364887,0.6666552915582477,1.0,0.9172827936216044,,0.4962046812785701,0.2630190322575927,0.0937116207417509,0.3740891199508709,1.0,0.1151035307322533,0.9413878472290796,0.9373433327219864,0.9316476677840012,,,0.8801870193017566,0.1750675209667474,,,0.0127678323364887,0.0589348935631334,1.0,0.9901538147590746,0.6068708648300357,0.085727529168454,0.0127678323364887,0.2340317581357633,0.0644131283257818,0.2093772667069542,0.3316991091635529,0.9999485956995812,0.3383023436237712,0.0848089297150736,0.6128668400965701,0.5885768241828908,,1.0,0.5224072584511784,0.5885613981099351,,0.6746229755735345,0.668002785110832,0.4570193773782289,0.6146379562024591,0.9796840967718584,
8_celeba,0.0443147627026504,0.123267180570692,0.1940481431298226,0.2070605915896646,0.0324875332281122,0.1647742669097303,0.1679840033222716,0.0368415805526534,0.1678404909590667,0.119234911243212,0.0578538340514169,0.036158547437989,0.1802164547591169,0.2007936995255901,0.0635062201062421,0.0799550637274248,0.0378269541970748,0.0549166636141545,0.1912797283804292,0.2006066148617515,0.1071617339438494,0.0912305836075654,0.0408147107728011,0.0862038496877108,0.0436081480050739,0.0912823125893609,0.0433319157611969,0.0902953906308828,0.091962330180255,0.0953958208094505,0.0759419111011866,0.0462013027962348,0.1090883364345332,0.0844349074974818,0.1482952748483897,0.1393335056024717,0.1064405827385932,0.0781408472380258,0.1276817343434388,0.1718759719770276,0.0898413266534095,0.1877566195722068,0.1134689079513034,0.0922463907309777,0.1460343432683393,0.0972040192208911,0.13836705865617613
41_Waveform,0.3373925714673572,0.0941234464446624,0.1091086629614938,0.2281742068266508,0.0989121189678052,0.0988387421619707,0.0734766798258428,0.3059334443366625,0.0899663220836625,0.2700393950703784,0.0680357016632516,0.3066274875638964,0.0783479953461337,0.0840761220751343,0.0870277079367644,0.0548819246902929,0.1656025879969539,0.0610577225189597,0.0975954135274049,,0.1705961406211437,0.0896195390122586,0.0750083108703823,0.090667433312238,0.0564652738565782,0.0895885151716302,0.1704223475118773,0.0739394360881518,0.0895762090938145,0.090670358678173,0.0893693115825907,0.1092385425821712,0.0820870769401412,0.0869731914612849,0.1175661368412978,0.1131189418828405,0.1073908609398198,0.4927750887772629,0.0860438350209996,0.1206944908488157,0.0549415784298387,0.1110573773527356,0.1510374496285592,0.221162018843236,0.1470912489209968,0.1413467494507432,0.12669803796944903
37_Stamps,0.4245308933164448,0.6232146061711479,0.7384167673678226,0.6678015990754229,0.1887649250282526,0.570025546322263,0.4986988076194337,0.7494987798305431,0.5104589538502975,0.7498444415518807,0.5473961252518251,0.7418351393072398,0.4581128218097745,0.6594561760767861,0.2510872142954197,0.3256887213019879,0.5147465414476755,0.6220138925911836,0.6827227342406488,,0.6517694629346938,0.6052936507057136,0.6767873309896809,0.671317861180526,0.2827308607125121,0.6038294061908315,0.5111414856004342,0.4173233217101348,0.6052052838968144,0.7581838121518999,0.6287542060626874,0.6490564118346679,0.5962010341644451,0.66133168317454,0.7058965200220202,0.5921849532696496,0.6874738293400269,0.1011567244695499,0.6902017833779883,0.6824013834919052,0.3218127516396281,0.6663048754188997,0.6667583165624726,0.8580864948689095,0.6755976268472841,0.9160356547319852,0.7005065036072209
31_satimage-2,0.7736637235398475,0.9474705748863972,0.9692488527508224,0.9678071817469228,0.1055274683243291,0.8527119710673836,0.796596721114712,0.9185296192335444,0.8768416663431468,0.96687219172961,0.9427686805146211,0.8846217216219329,0.9830975390040242,0.919214111289047,0.2009083455680702,0.1840287632200254,0.8032533709398334,0.2857519960891395,0.8527932949898033,,0.9471453673114096,0.9568403140513028,0.9708142084660614,0.9752139224310904,0.8774415303533836,0.9568403140513028,0.9152168561686188,0.9557136960667724,0.956840314051303,0.9703004408821267,0.9679551393589688,0.7872568094955313,0.972073858882417,0.9700233434524964,0.7822281302782733,0.8431529863977663,0.6768815958481906,0.0178710733541033,0.9657918408414145,0.7758617056776903,0.12972125389906,0.5476533167396755,0.8811822780162137,0.9278320831792196,0.6792938061086271,0.9577711763258864,0.7551118553129329
