,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
32_shuttle,0.9988676586673346,0.9963105343607184,0.9961888117598652,0.9968996162670328,0.5278303962939748,0.994657576179748,0.9933072562977264,0.9762597692508866,0.9864057247834876,0.9991050683474092,0.978000517405401,0.999776898130004,0.9898240980334658,0.9935601234110476,0.6223369494771732,0.2196347502243108,0.9983355143475908,0.9616234106162924,,,0.9983305597216552,0.9998356288787988,0.9968126697670088,0.9976752245323388,0.97412618736236,0.9998351915221588,0.9998756657552113,0.9971054050620384,0.999835478927951,0.999868336907516,0.9998316364374712,0.9995614312573518,0.9998267505390076,0.9998364473605108,0.9980088026895884,0.9994413331240186,0.9972281335831632,0.9740684750297413,0.9998270816804636,0.9975589126579172,0.0257433491519398,0.9972979856865168,0.9976195302882156,0.9984846966974812,0.9974487487682632,0.999956101889252,0.9974957833509149
38_thyroid,0.336163295853871,0.990463494068188,0.985598765107264,0.985610459167266,0.4162617598390897,0.938068258228233,0.9754775561753408,0.9532939243511258,0.9864612020324276,0.9867798651674882,0.9387991369783718,0.9272278646061736,0.984978979927146,0.9854584363872372,0.915621510053968,0.6579224333000053,0.9128617118934436,0.9267717962660866,,,0.8827962836277312,0.9796289474761296,0.985195320037187,0.984958515322142,0.9005303256211009,0.9798511346161716,0.9837920328369204,0.9050559268419606,0.9798335935261684,0.9472364012699748,0.9623860560028532,0.5784349839499027,0.9688060949440732,0.9401673419986318,0.9826869441667104,0.9834353640068528,0.9899548024580914,0.0787244119349576,0.945605079899665,0.9902413069281458,0.6441848363123951,0.9707765440544476,0.2701327860513253,0.9504873499505924,0.9621170926228022,0.9571646582118613,0.9528904792810492
26_optdigits,0.930346098170812,0.8563653112251611,0.6338228714304515,0.8481484405842873,0.5126016581129096,0.5,0.5,0.9619370969864456,0.8992420055270429,0.9371891038294512,0.3978813001710751,0.9665008553757072,0.65916831161995,0.5817423345176996,0.4487116725884985,0.3172009474930912,0.853925516515331,0.3007527306224503,,,0.921265956046848,0.9011212001579156,0.519821029082774,0.7899249901302803,0.6106066587708909,0.9011343597841822,0.8911909461771287,0.8569245953414923,0.9008895907356232,0.8749730227661534,0.9093696539018292,0.8794157125937623,0.9126016581129096,0.8898670877747072,0.819934201868667,0.7871588366890381,0.7632635873141204,0.9462666140281616,0.8786879852612185,0.7100671140939597,0.3340123700486906,0.7311067245690221,0.894488748519542,0.9649453875509936,0.8464745361231741,0.9522595078299776,0.8622871430451375
36_speech,0.4213829085023464,0.3535214706174894,0.36569222283508,0.3569846192797012,0.3095946398054126,0.3703308527664499,0.3596068467262847,0.3721483276518405,0.3665512283779263,0.36362156736864,0.3990125957339072,0.3752769162605228,0.3895092817809445,0.3637843263136003,0.436709375819446,0.368748474134891,0.5113614785745932,0.5124374960440534,0.3636486938594667,0.363820494968036,0.4159304838461747,0.3946090620563688,0.3796081126291899,0.3905039197779245,0.5,0.3978371144647491,0.4109030408796216,0.4024938287233369,0.4023220276147677,0.4019965097248471,0.4025209552141636,0.3931261472245078,0.4105503964988742,0.4058303870950241,0.3522917363666778,0.3943920501297551,0.3905672149231868,0.4807537547584386,0.393117105060899,0.3881077464215637,0.3699691662220936,0.380883057698046,0.3953505194722992,0.4640619207363938,0.3896810828895137,0.4640619207363938,0.37033085276644995
40_vowels,0.8756756756756757,0.6100711237553342,0.7590896159317212,0.8289331436699857,0.92,0.5281934566145092,0.6147368421052631,0.8660312944523471,0.533058321479374,0.8221337126600284,0.5653200568990043,0.8630156472261735,0.2811095305832147,0.5229018492176387,0.901792318634424,0.1891891891891892,0.5279943100995732,0.2017923186344239,,,0.866628733997155,0.8202275960170697,0.5608819345661451,0.6586486486486486,0.6058605974395448,0.8202844950213372,0.8597155049786629,0.8063726884779516,0.8202844950213372,0.8678520625889046,0.8681650071123755,0.874054054054054,0.8475106685633002,0.8631294452347084,0.8821337126600284,0.8989473684210526,0.8499573257467995,0.5508961593172119,0.8597155049786627,0.8800853485064011,0.1880227596017069,0.8842958748221906,0.8732859174964438,0.8519203413940256,0.896443812233286,0.899203413940256,0.8766998577524893
16_http,0.0050761421319796,0.9960232367892592,1.0,0.9993331970236656,,0.9921624659030472,0.9783722220195018,0.9250230914421108,0.9866568056203072,1.0,0.9400123983359892,0.9995172762311342,0.999517887789963,0.999466109142458,,,0.9989782890500188,0.963802036776294,,,0.0050761421319796,0.8655220867528814,1.0,0.9999213127640276,0.9957888059048858,0.9127291281596952,0.0050761421319796,0.9810477918955,0.8786396159247473,0.9699861196531157,0.9841084399806992,0.999999592294114,0.984594221543709,0.911054272380556,0.9951531924288202,0.9946329597184548,,1.0,0.9928302881440964,0.9946296980713676,,0.9963090386152516,0.9961961040848664,0.990725710361254,0.9951882551350046,0.999838344616254,
8_celeba,0.4086023800323594,0.7139120812533211,0.7904892719158252,0.7994873431484357,0.3962292079791716,0.7516988551281962,0.7575738071436728,0.4550371513630584,0.7622843918385822,0.7327765824947541,0.5451432585255266,0.4403566435499153,0.8302776699452956,0.7979636459640965,0.5919718698390797,0.6775753655930872,0.4049126653738688,0.5510548437866775,0.7654210878915557,0.7971820001476504,0.7574286709547864,0.679837445233577,0.4836671409805969,0.6221692669752724,0.5029382582122723,0.679088391272713,0.4005059485164895,0.6690980563409261,0.6827059754988212,0.7243492970849323,0.65916031535209,0.4314948621453904,0.7613120557311046,0.6576268592349935,0.8290704676145346,0.8338974145458308,0.7764552189021736,0.6994897009363882,0.7735329772589303,0.8550284651679478,0.7156038220450417,0.8603908124788293,0.7865876170764636,0.7229016786034803,0.8068745386390044,0.7437385830729897,0.8222650646819828
41_Waveform,0.7313943746259726,0.7030999401555954,0.7043746259724716,0.7232196289646917,0.6666247755834829,0.7235667265110712,0.5943985637342908,0.7700059844404548,0.6928007181328546,0.7520586475164571,0.5656792339916218,0.7600478755236385,0.584230999401556,0.6467564332734889,0.6127588270496708,0.3979413524835428,0.6340813883901856,0.5104727707959306,0.6878575703171753,,0.6332256134051464,0.6070975463794136,0.572722920406942,0.6473369239976061,0.5,0.6070017953321364,0.7058527827648116,0.5789108318372232,0.6069838420107719,0.5982345900658288,0.5992698982645123,0.6545721125074805,0.5907420706163974,0.5841831238779174,0.6590724117295034,0.6373728306403352,0.6588150807899461,0.8383602633153802,0.5992100538599641,0.6600179533213645,0.3944494314781568,0.6576540993417116,0.7025613405146618,0.7219449431478157,0.6941292639138241,0.674063435068821,0.6837462597247157
37_Stamps,0.6898901098901099,0.945885225885226,0.9557753357753358,0.9445177045177046,0.5289133089133089,0.9352869352869352,0.8774603174603175,0.9663736263736264,0.9137728937728936,0.9675946275946276,0.9186568986568986,0.9636874236874238,0.8526251526251526,0.9436385836385836,0.6413919413919413,0.6686202686202687,0.7263003663003662,0.931990231990232,0.9474481074481076,,0.9337240537240538,0.8941880341880342,0.948986568986569,0.9447863247863248,0.5978632478632478,0.8936019536019537,0.8027350427350428,0.8123321123321123,0.8940415140415141,0.9516971916971916,0.9105494505494506,0.8863247863247863,0.8906959706959707,0.9268620268620268,0.9532844932844932,0.9378021978021978,0.9516971916971916,0.1699877899877899,0.937899877899878,0.9513064713064712,0.668009768009768,0.9483516483516484,0.946080586080586,0.9677899877899878,0.9452747252747252,0.985885225885226,0.9531379731379731
31_satimage-2,0.9578398513902676,0.9910804674523064,0.9960783542848156,0.9942059896012504,0.5705404794433032,0.9791926717317162,0.970877603373205,0.9946335374423791,0.9795121040268128,0.997075965914117,0.9833403772249688,0.9938030134751284,0.9992137051197624,0.9817333870634836,0.7492014192622588,0.9004378679614322,0.9538395761870596,0.9096399752317113,0.9828194568668116,,0.9976607727312936,0.9987173564766126,0.9965992746429728,0.9982160934904613,0.9842765595667516,0.9987173564766126,0.9966582467589908,0.9983340377224968,0.9987173564766124,0.9988156433366424,0.9988991871676676,0.9310222816311688,0.9989286732256764,0.998599412244577,0.9953362884915916,0.9965206451549492,0.9876404273512674,0.3593171028965137,0.997675515760298,0.9950512565975054,0.8766205046047393,0.9895226207208356,0.9969678503680842,0.9919994495935838,0.9931838062569416,0.9938767286201508,0.994771139046421
9_census,0.5321438186739799,0.6329702410301618,0.697105605967788,0.7036427785467332,0.5694901129617354,0.5,0.5,0.5648557795487145,0.6233474439288896,0.7237917915747543,0.6560849792676344,0.5812472352695615,0.7123576078929688,0.7017139616679887,0.6567637106859293,0.4734738263507052,0.5962544934651621,0.4640762047999116,,,0.6102611993938307,0.5775265999894053,0.6521936353245279,0.6888050263421932,0.5006436133991119,0.5698004730547165,0.5538371897502699,0.3019116271601685,0.594370599918773,0.6400794892543955,0.5644513139176248,0.5119384923033526,0.5959785722354733,0.6142165113323952,0.6132930291099798,0.5752162460654235,0.6883024014612718,0.636142974370015,0.6682097654467216,0.6586716222974123,0.4876127908145524,0.6668086102478286,0.7126921063182325,0.7038799454434073,0.7095590187035006,0.7038799454434073,0.6953477170627504
43_WDBC,0.9829410835571,0.9945506239140736,0.9944716474490602,0.987758647922919,0.4523771915969041,0.9951034591691676,0.9637498025588376,0.9973148001895435,0.9809666719317643,0.9884694361080396,0.9390301690096352,0.9973148001895434,0.9703838256199652,0.9934449534038856,0.7665455694203127,0.0022113410203759,0.9992892118148792,0.5338019270257464,,,0.996446059074396,0.9996051176749328,0.995182435634181,0.9954983414942348,0.9971568472595168,0.9996051176749328,0.9991312588848524,0.981598483651872,0.9996051176749328,0.999605117674933,0.9978676354446376,1.0,0.994076765123993,0.9992102353498656,0.9879955773179592,0.9864160480176908,0.996682988469436,0.99723582372453,0.997788658979624,0.992576212288738,0.0019744116253356,0.9927341652187648,0.9932870004738588,1.0,0.9954193650292212,1.0,0.9946296003790871
46_WPBC,0.6441098628361831,0.5616907719171087,0.5116572771499797,0.5876629438056645,0.278149331751941,0.4883427228500203,0.4801392503761297,0.5820402156843365,0.5678516126906731,0.6236506001603356,0.483554618434202,0.5693561317387628,0.6268682941828924,0.5047277040160775,0.2442482346610439,0.4466335013562635,0.8590474307866328,0.5537947923873532,,,0.5630305626022689,0.50105975246818,0.5289757190393042,0.506309096300201,0.5085823477086284,0.5010268067955941,0.5791080508241908,0.4478744550236659,0.5011146619224898,0.6036306131189668,0.5855324569784425,0.6538288362490254,0.5656113069548314,0.5893431731075456,0.7224436903546052,0.7171174732865506,0.7194456341492877,0.4968756520497699,0.6486234199804523,0.7195444711670453,0.4466664470288495,0.7461865383981816,0.759990775211676,0.9581480139250376,0.7392789290460031,0.9621124765262082,0.6922544723750534
19_landsat,0.5754261968079241,0.5691188575270043,0.4797506707135428,0.5698061128374998,0.5404149939876187,0.4929358564650963,0.4201203182018554,0.662420897266653,0.7320860007240148,0.6825492143321992,0.4431064645816491,0.6658409996462268,0.5006203530498461,0.4390355722995821,0.5284378719140781,0.5718750836278258,0.6240639932621337,0.4093499364649081,,,0.4867423245462483,0.4131492496801189,0.3942437000861348,0.3480061508909175,0.5009123703897358,0.4131993896161222,0.4539311033167935,0.4685484385600515,0.4131895380744441,0.3802931818803388,0.3936114369635137,0.3875475925037708,0.4066182656993139,0.4098064892546147,0.4282982740981207,0.4610980263686071,0.5307248999627405,0.4817665608091556,0.4548430325927228,0.4736074257686334,0.6047545304593493,0.5152194555891031,0.5283396505731686,0.647975890483793,0.5247366330018411,0.6699018933486802,0.513886997817663
27_PageBlocks,0.8562614968150308,0.8361018065562973,0.8858025881389018,0.9129037440457544,0.5829071981107068,0.80848414744841,0.8795439027720879,0.9144821714019488,0.656171932107542,0.8965330827128065,0.8193347310247326,0.9129808580539958,0.8704042862536248,0.8612261127310409,0.6417483994826935,0.5789832196704983,0.7548923215332836,0.7085500156637828,,,0.9052208593392294,0.912884465543694,0.8993051706549069,0.9034520567751884,0.8849165803150428,0.913149946582484,0.8972608461655864,0.9617723369560852,0.913088897992626,0.9013000939826976,0.9219795005261424,0.8718409362925833,0.9165325204231632,0.9104517595649484,0.9052309002257192,0.8682892739234163,0.899257777670675,0.1874035070808331,0.9098713963258388,0.8833963901004891,0.5373745893277426,0.8748479809785448,0.889465101894916,0.8880882955394366,0.894220465736479,0.8872320087395877,0.8972716903229951
