,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9900313301053832,0.9675306180575336,0.9649672457989176,0.9643976075192252,0.191683281116491,0.9606949587012248,0.9179720877242952,0.0048419253773853,0.9507262888066078,0.9823412133295356,0.1002563372258615,0.9840501281686128,0.8461976644830532,0.9578467673027627,0.1825690686414127,0.0190828823696952,0.9800626602107662,,,0.9817715750498434,0.9854742238678438,0.9760751922529194,0.9749359156935348,0.9515807462261464,0.9854742238678438,0.9906009683850756,0.9774992879521504,0.9851894047279978,0.9851894047279978,0.9849045855881516,0.9868983195670749,0.98575904300769,0.98575904300769,0.9806322984904584,0.97977784107092,0.9774992879521504,0.9678154371973796,0.9840501281686128,0.9800626602107662,0.0185132440900028,0.97977784107092,0.9800626602107662,0.9860438621475364,0.9800626602107662,0.991455425804614,0.97977784107092,0.9800626602107662
38_thyroid,0.086021505376344,0.8387096774193549,0.7526881720430108,0.7526881720430108,0.075268817204301,0.3010752688172043,0.5913978494623656,0.4086021505376344,0.7741935483870968,0.7526881720430108,0.7526881720430108,0.5268817204301075,0.7311827956989246,0.7419354838709677,0.4086021505376344,0.4086021505376344,0.5161290322580645,,,0.6129032258064516,0.7634408602150536,0.7849462365591398,0.7419354838709677,0.6881720430107527,0.7526881720430108,0.7741935483870968,0.3118279569892473,0.7526881720430108,0.4516129032258064,0.5591397849462365,0.2903225806451613,0.5376344086021505,0.6021505376344086,0.8172043010752688,0.8064516129032258,0.7634408602150536,0.0,0.3763440860215054,0.7741935483870968,0.4086021505376344,0.7634408602150536,0.4946236559139785,0.6451612903225806,0.4946236559139785,0.6129032258064516,0.7096774193548389,0.5161290322580645
26_optdigits,0.44,0.1266666666666666,0.0066666666666666,0.02,0.0733333333333333,0.0,0.0,0.4199999999999999,0.4066666666666667,0.2133333333333333,0.0066666666666666,0.5333333333333333,0.0,0.0066666666666666,0.0066666666666666,0.0,0.0,,,0.4666666666666667,0.28,0.0,0.02,0.0066666666666666,0.28,0.38,0.2733333333333333,0.28,0.2466666666666667,0.3066666666666666,0.2533333333333333,0.3,0.24,0.0466666666666666,0.02,0.1266666666666666,0.0333333333333333,0.3533333333333333,0.1466666666666666,0.0,0.12,0.1933333333333333,0.7133333333333335,0.12,0.5,0.1533333333333333,0.08666666666666667
36_speech,0.0491803278688524,0.0655737704918032,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0,0.0163934426229508,0.0,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0491803278688524,0.0163934426229508,0.0491803278688524,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.03278688524590164
40_vowels,0.4199999999999999,0.1,0.28,0.16,0.54,0.06,0.22,0.36,0.08,0.26,0.08,0.34,0.0,0.12,0.56,0.0,0.22,,,0.38,0.36,0.12,0.26,0.14,0.36,0.4000000000000001,0.34,0.36,0.36,0.36,0.36,0.36,0.32,0.4000000000000001,0.44,0.44,0.08,0.4000000000000001,0.38,0.0,0.36,0.46,0.34,0.36,0.28,0.4199999999999999,0.41999999999999993
16_http,0.0174418604651162,0.4011627906976744,0.994186046511628,0.9069767441860463,,0.0174418604651162,0.0174418604651162,0.0,0.0174418604651162,1.0,0.0,0.994186046511628,0.9127906976744186,0.9069767441860463,,,0.191860465116279,,,0.994186046511628,0.994186046511628,1.0,0.9883720930232558,0.2965116279069767,0.994186046511628,1.0,0.0174418604651162,0.994186046511628,0.994186046511628,0.9534883720930232,1.0,0.9593023255813954,0.8895348837209303,0.0697674418604651,0.9127906976744186,,0.0174418604651162,1.0,0.0988372093023255,,0.0174418604651162,0.2383720930232558,0.994186046511628,0.063953488372093,0.872093023255814,0.3081395348837209,
9_census,0.1222885884941842,0.1182018233259981,0.2030807922037095,0.2175416535680603,0.1062558943728387,0.0,0.0,0.0496699151210311,0.1150581578120088,0.2291732159698208,0.0169757937755422,0.1364350833071361,0.3370009430996541,0.205281358063502,0.177931468091795,0.187048098082364,0.2021376925495127,,,0.1568689091480666,0.1791889342973907,0.1785602011945929,0.2338887142408048,0.0015718327569946,0.159383841559258,0.1622131405218485,0.0704181075133605,0.1603269412134549,0.2027664256523106,0.1738447029236089,0.1886199308393586,0.1364350833071361,0.1609556743162527,0.205281358063502,0.2200565859792518,0.1883055642879597,0.1795033008487896,0.1766740018861993,0.1829613329141779,0.1867337315309651,0.1905061301477522,0.2024520591009116,0.2332599811380069,0.1637849732788431,0.2332599811380069,0.2037095253065073,0.16661427224143352
8_celeba,0.1213463241806908,0.1346324180690876,0.2719220549158547,0.3117803365810451,0.0106288751107174,0.224977856510186,0.220549158547387,0.0363153232949512,0.2214348981399468,0.1753764393268379,0.0752878653675819,0.0256864481842338,0.2772364924712134,0.266607617360496,0.078830823737821,0.0,0.0,0.2701505757307351,0.2657218777679362,0.1133746678476528,0.1355181576616475,0.0584588131089459,0.2028343666961913,0.0044286979627989,0.1381753764393268,0.1479185119574845,0.1284322409211691,0.1408325952170062,0.1222320637732506,0.1346324180690876,0.0806023029229406,0.1523472099202834,0.1328609388839681,0.1240035429583702,0.1762621789193977,0.1337466784765279,0.04162976085031,0.1647475642161204,0.2125775022143489,0.0,0.2178919397697077,0.1709477413640389,0.1275465013286094,0.1895482728077945,0.1036315323294951,0.237378210806023,0.21966341895482727
41_Waveform,0.33,0.11,0.13,0.27,0.12,0.09,0.07,0.3,0.08,0.27,0.06,0.28,0.09,0.09,0.13,0.05,0.16,0.11,,0.22,0.09,0.09,0.12,0.0,0.09,0.19,0.08,0.09,0.09,0.09,0.15,0.09,0.09,0.14,0.15,0.16,0.48,0.1,0.13,0.05,0.16,0.13,0.2,0.07,0.24,0.14,0.12
37_Stamps,0.7263157894736842,0.6736842105263158,0.7473684210526316,0.7684210526315788,0.2421052631578947,0.6947368421052632,0.5157894736842106,0.7578947368421053,0.5157894736842106,0.8315789473684211,0.5473684210526316,0.7263157894736842,0.2842105263157894,0.6842105263157895,0.2,0.5368421052631579,0.4000000000000001,0.7368421052631579,,0.7368421052631579,0.7263157894736842,0.7473684210526316,0.6631578947368421,0.6421052631578947,0.7263157894736842,0.7684210526315788,0.3684210526315789,0.7263157894736842,0.7789473684210526,0.7368421052631579,0.8315789473684211,0.7368421052631579,0.7368421052631579,0.6526315789473685,0.6631578947368421,0.6947368421052632,0.0842105263157894,0.7578947368421053,0.6736842105263158,0.5368421052631579,0.631578947368421,0.6631578947368421,0.8947368421052632,0.6736842105263158,0.8736842105263158,0.6842105263157895,0.6105263157894737
31_satimage-2,0.4929577464788732,0.9154929577464788,0.9154929577464788,0.9295774647887324,0.1690140845070422,0.8028169014084506,0.7887323943661971,0.8450704225352113,0.8309859154929577,0.9014084507042254,0.8873239436619719,0.8169014084507042,0.9577464788732394,0.8732394366197183,0.2816901408450704,0.3661971830985915,0.8028169014084506,0.8309859154929577,,0.8450704225352113,0.8732394366197183,0.943661971830986,0.943661971830986,0.7746478873239436,0.8732394366197183,0.7887323943661971,0.8591549295774648,0.8732394366197183,0.9154929577464788,0.8732394366197183,0.8309859154929577,0.9014084507042254,0.9295774647887324,0.8028169014084506,0.7605633802816902,0.7464788732394367,0.028169014084507,0.9154929577464788,0.8169014084507042,0.2957746478873239,0.704225352112676,0.7323943661971831,0.8732394366197183,0.7746478873239436,0.9014084507042254,0.8028169014084506,0.6901408450704225
43_WDBC,0.8275862068965517,0.5862068965517241,0.8275862068965517,0.7931034482758621,0.0,0.7931034482758621,0.4827586206896552,0.9310344827586208,0.7241379310344829,0.8275862068965517,0.7931034482758621,0.9310344827586208,0.6206896551724138,0.7931034482758621,0.2413793103448276,0.0,0.7931034482758621,,,0.8275862068965517,0.9310344827586208,0.6896551724137931,0.7931034482758621,0.6551724137931034,0.9310344827586208,0.8275862068965517,0.6551724137931034,0.9310344827586208,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.6896551724137931,0.6896551724137931,0.8275862068965517,0.0,0.8275862068965517,0.6896551724137931,0.0,0.6896551724137931,0.6896551724137931,0.896551724137931,0.6896551724137931,0.896551724137931,0.6896551724137931,0.7241379310344829
