,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9864429154958648,0.981097891479804,0.9766843145387318,0.968539377132285,0.1695313396996804,0.9805278710650962,0.9520492430925522,0.2398469837410494,0.9748719451240656,0.9785923096165582,0.1610465945090992,0.9974660268045326,0.9089539235813048,0.962713299734448,0.206467690442733,0.0704435203263125,0.979872182888326,0.9097628397737824,,,0.9806290820894414,0.9962470647624508,0.9845554254800836,0.9852278566164864,0.9569127558025756,0.9962257213090312,0.996260761247796,0.9825496361335748,0.9962309302617318,0.9966283949055608,0.9964542618515032,0.99599541314527,0.996351120483401,0.997680340705016,0.9551967445949678,0.9574475455200876,0.938895354611602,0.9807240367253472,0.995081095535694,0.9431506153955488,0.0705183319293823,0.941011317384432,0.9421828078408642,0.9977476257478444,0.9396358921551212,0.9995705876139112,0.9432434351890688,0.9401696966753885
38_thyroid,0.079228506708794,0.8454885572642581,0.7892005072030098,0.815653912172974,0.0737234960861273,0.3018648994809832,0.6403435593045241,0.3214785593660709,0.7694955412011536,0.8094229556780009,0.6949316154062178,0.6057457162590333,0.7985467258515182,0.813421052388476,0.3221177638561298,0.3855974920400135,0.5556073642599068,0.2599747715543678,,,0.6145554826923973,0.8122294087201872,0.7868344004034686,0.7907771571034428,0.7080883384741299,0.8093740665919513,0.8165947039357543,0.2503665402647603,0.8096769854942111,0.519359779621386,0.5781050774977806,0.2993197046009531,0.5595358897345164,0.6718041471615919,0.8526836185216103,0.8529851790247841,0.8418794796121812,0.0247908459284702,0.448185112517066,0.8002384985387085,0.3801972340465964,0.8096127090063446,0.5927728588901723,0.5878850554555439,0.5137189061638439,0.5094811317450606,0.7658182132736863,0.5990005298350815
26_optdigits,0.3469282218491934,0.1477445932398192,0.0692143858176951,0.149738203417564,0.0609134198643046,0.0559075661572866,0.0559075661572866,0.3787890443442057,0.4238072305633713,0.2911098729719137,0.0322152067170265,0.436265670730745,0.0683357039322967,0.0602197027858401,0.0473224534194382,0.0454750205001492,0.0457896729456746,0.0682261155306666,,,0.3940163784425555,0.2601386766311909,0.0604612248618669,0.115944520141022,0.0566459601606824,0.2596173197832775,0.3093963218896142,0.2145691510934888,0.2601306345299217,0.2285548715213031,0.2491712959274435,0.1790907858379374,0.2551849780876499,0.2247101124393055,0.1199517993389161,0.1174393232732358,0.1402333094609616,0.0847135411725266,0.2879457970505812,0.1664534104598206,0.0466170334046358,0.1518362075423916,0.2087137564505666,0.6542073701896757,0.1856024720892925,0.4361963963215222,0.2042265561093054,0.1750991163542757
36_speech,0.0318499254207968,0.0302518670231793,0.0278050022611379,0.0269508261467744,0.0222865936570541,0.0278815665531377,0.0286733211686461,0.0313337592141849,0.0320978842973562,0.0280310472646631,0.0266676159416719,0.0315237721469434,0.0268677412423377,0.0277092917113783,0.0346754988139074,0.0260828853296972,0.0343254226837458,0.0324151112784049,0.0269459301652776,0.0277072902184188,0.0273615013265686,0.0262617249708625,0.0257767367009027,0.0257212148488605,0.0325506937033084,0.0264846754576353,0.0281532745121138,0.026482161255683,0.0264719619105899,0.0293842200772665,0.0260733608423959,0.0299266354969443,0.0262697707981687,0.0264571950591759,0.0266802889262449,0.0249472172876866,0.0279805512646605,0.034538207829286,0.0291802303111541,0.0258566483403413,0.0261686652590415,0.0277929063594692,0.0277655761726521,0.0364218732589625,0.0263221968235091,0.0364218732589625,0.0247317249433984,0.02644114444941905
40_vowels,0.4738037436551478,0.1110201808226756,0.2742668687180272,0.1890500631636532,0.5322255570600649,0.0706370493752883,0.1771506028678248,0.3779819062836349,0.0787721123919029,0.302052045545569,0.1163101298380323,0.3309002392061522,0.0436299693660775,0.1050648365911076,0.5203329349435981,0.0452020378034546,0.1667181558512619,0.0455664050817504,,,0.4672835430982504,0.3858114964368097,0.0953813341839383,0.2114368913585838,0.2209537069870604,0.385697800972009,0.4382013923640728,0.2860310999906189,0.385697800972009,0.367628177173717,0.3987867508149514,0.3539550529234817,0.3926881509632658,0.3709565208396699,0.4097167369542402,0.3642122375788703,0.429503719896517,0.0792433214257822,0.3851011954296847,0.3564739301075644,0.0448239352470368,0.3217970056473272,0.4848630860152009,0.3461136230290599,0.3332103813199447,0.3024998590355105,0.3754022471619615,0.38204868233773054
16_http,0.2451507438939775,0.6090875441597834,0.9942196531791908,0.9015743602607622,,0.4501755417730386,0.2435931677208128,0.0727866692105361,0.4271571032326846,1.0,0.0100949843987245,0.9994713933926332,0.9071311015249716,0.9021297180112382,,,0.5357987950119252,0.459617416324578,,,0.990805364295088,0.990805364295088,0.9942196531791908,0.9696294347969006,0.5815949484580684,0.990805364295088,1.0,0.254826874440884,0.990805364295088,0.9883245050210832,0.9441453161643742,1.0,0.9530372708859596,0.8837239676719119,0.4979396385696228,0.9158526666755772,,0.3835103363002926,1.0,0.4275959205902481,,0.4763931798810983,0.5546350980707727,0.99989859154927,0.4952214562735083,0.8848320037446359,0.5726389184117606,
9_census,0.119732621467027,0.1471258721125923,0.205311964941655,0.2071164949121872,0.132173094887232,0.1196314403911244,0.1196314403911244,0.1262855714313585,0.1437889419249803,0.2232288046297819,0.084763827996754,0.1436429480190437,0.3084222754966768,0.2034192079338435,0.1703815559810153,0.1779234278387579,0.1543933456179442,0.152509510591329,,,0.1536002779954691,0.1605228100549181,0.1875003738723742,0.2132800657756082,0.1210152325313459,0.1483927751330654,0.1350084311793279,0.0809032234034936,0.1464081172935913,0.1815275584076537,0.1585096290789949,0.1747065379818212,0.1316778198930504,0.1489306250784987,0.1625524932346078,0.1584622499918984,0.1702851573711646,0.1743971113315488,0.154809514033278,0.1852708837386064,0.178793411455692,0.1926777085128059,0.2043103857270685,0.2142044884984363,0.1792888881759397,0.2142044884984363,0.1901010945762795,0.16828689966565785
8_celeba,0.0764140099603767,0.0969519178855458,0.2100023832361574,0.2174016956115405,0.0316986927293043,0.1681817363545081,0.1732698254463663,0.0415523593454458,0.1704497935731527,0.1202501986529714,0.0689245457043418,0.0380434141333283,0.221426208090407,0.2197167674872717,0.0694511803302031,0.0527059770772583,0.0264619195997206,0.0396903348285053,0.2085684939989008,0.2187371119510684,0.0821423139861602,0.1004070913967584,0.0430728702958976,0.133694823805146,0.0524154082391105,0.1020050079343493,0.0796427408167713,0.0924380783474268,0.1038836780285567,0.1045225689771492,0.0933087483872462,0.0483377525225077,0.126445512012045,0.1072458073818703,0.1304116614212176,0.1639555186995032,0.1219444625913345,0.0471769505593375,0.0964194425445225,0.1586729963137195,0.0652114633465945,0.1717421041213035,0.1477933982147952,0.0970508516227982,0.1527636341877482,0.0910280984136677,0.1773999070005953,0.16410565814055844
41_Waveform,0.2988616237846819,0.1009071789789867,0.1091086629614938,0.2483577240039646,0.0989121189678052,0.0988387421619707,0.0734766798258428,0.3179874136936951,0.0899663220836625,0.2700393950703784,0.0853197366828344,0.3066274875638964,0.0784723425296369,0.0840761220751343,0.0870277079367644,0.055058504201229,0.1149674258251199,0.0547341398128091,0.0989602070936876,,0.1569737254422317,0.0827634222152574,0.0823790286896363,0.1124970475656516,0.0564652738565782,0.0827894284465229,0.1366692820548627,0.0686512231005771,0.0827849682712104,0.0892978804745541,0.0743621632076182,0.1051220110734452,0.0762172514289421,0.0799409720701472,0.1140701527435372,0.1039219459270085,0.1200341124465628,0.5094184567779164,0.0923092877069546,0.1094019487327584,0.0550141006345042,0.1201103047437886,0.0999567230597284,0.1231335021809842,0.0772357182422112,0.1764951730369471,0.0978283723828717,0.1068109095732984
37_Stamps,0.6959899002369039,0.588146002664185,0.709480870788055,0.6811583982695739,0.2658975777028831,0.56497575301266,0.4966802497575829,0.7337839319087508,0.5002770496524934,0.7598841813512656,0.4806703397439431,0.6961459764690019,0.3919199840321474,0.6607847876185058,0.2076988778956457,0.476776478617163,0.5099631980285941,0.4029672109204829,0.6759666648463001,,0.6898572211244466,0.7068748792760469,0.7198256327316889,0.640734344812931,0.5290399445292955,0.7066317681188151,0.7332868816373596,0.3300292702404213,0.7065955931183371,0.7724743894704126,0.7395061190734329,0.7916892100773225,0.7514491587963459,0.717216435475768,0.5494667211769338,0.5728502130103453,0.6071541938717551,0.1385021383358139,0.7146888011613268,0.5726459977475749,0.4766498817762708,0.5539404716855921,0.5822219233694701,0.850977113441866,0.5993559294274761,0.8148216336828008,0.6092892488475019,0.5841515770472439
