,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9989005353907556,0.995318659484904,0.9961888117598652,0.9973192412192188,0.5278303962939748,0.994657576179748,0.9933072562977264,0.7750481114171789,0.9864057247834876,0.9991050683474092,0.594467228573314,0.999776898130004,0.9898240980334658,0.9935601234110476,0.6223369494771732,0.0277911529074663,0.99836566696394,0.981466093932735,,,0.9989527807653747,0.999833604542351,0.9969593279442914,0.9975838482343468,0.97569361732841,0.999833567054639,0.9998696927130998,0.9973013033490286,0.9998335920464472,0.9998285249573756,0.9998145670326088,0.9995519093785046,0.9998310116422712,0.9998605831990846,0.9982377776344636,0.9981635019810944,0.997259960650648,0.9840467792663412,0.9997448461362471,0.997604447732089,0.0232828869107067,0.9974449312695914,0.99759501332457,0.9995665045943752,0.9974962207075548,0.9999442807640688,0.997615406639896,0.9975014939790424
38_thyroid,0.5870768942915445,0.9920655802884926,0.985598765107264,0.9857507878872926,0.4162617598390897,0.938068258228233,0.9754775561753408,0.940062095458612,0.9864612020324276,0.9867798651674882,0.9663386482836044,0.9272278646061736,0.9847450987271016,0.9854584363872372,0.915621510053968,0.7699486046062901,0.8297344863676496,0.7485835569822308,,,0.8751015921462691,0.9805118490062972,0.9877709367526764,0.9848795804171272,0.9498266355604672,0.9808275886263572,0.9849205096271348,0.903757886181714,0.9807515772363428,0.9452659521596004,0.9581411122220468,0.8994427780408941,0.9502768568705526,0.971846550544651,0.989247311827957,0.9805060019762962,0.9903114712881592,0.0077180796014664,0.935852233857812,0.9895688984780182,0.7516415536728118,0.9855753769872592,0.9655434522034532,0.96389458974314,0.911926187093266,0.9483005607301772,0.984821110117116,0.9698644073742742
26_optdigits,0.9357678641926568,0.8094117647058824,0.6338228714304515,0.849001184366364,0.5126016581129096,0.5,0.5,0.9567995788919594,0.8992420055270429,0.9371891038294512,0.1868719568364258,0.9665008553757072,0.63418607711541,0.5817423345176996,0.4487116725884985,0.4335320436899592,0.444337412817476,0.6257849717068035,,,0.9545466508751153,0.9100960652717462,0.5631398868272142,0.7847795762600343,0.5023450454007107,0.9099592051585736,0.9218739307803658,0.8722029214370312,0.9101223845242796,0.8888459007764179,0.901134359784182,0.8210554020265824,0.9062166074483484,0.8859718383997894,0.7381708119489406,0.7622555599420977,0.8038399789445978,0.6931017239110409,0.9104961179102512,0.8423582050269772,0.4463718910382945,0.8239847348335307,0.8800947493091197,0.985105934991446,0.8503618897223318,0.9668482695091458,0.8764995394130807,0.8551585734965126
36_speech,0.3723291709240187,0.3997992639678822,0.36569222283508,0.3587568833470472,0.3095946398054126,0.3703308527664499,0.3596068467262847,0.3786225167958189,0.3665512283779263,0.36362156736864,0.4060473990216379,0.3752769162605228,0.3872216143878907,0.3637843263136003,0.436709375819446,0.3849022994222058,0.5330717133995823,0.4576148580832421,0.3639832539129963,0.3638204949680359,0.3714792075447813,0.3697883229499153,0.3812809128968379,0.3723743817420632,0.5,0.3702313889667519,0.378016691834022,0.3677086253198665,0.3700234192037471,0.3562522040273796,0.372600435832286,0.3640646333854764,0.3757651930954038,0.3762263434394582,0.3721483276518405,0.3792464260848335,0.3815521778051052,0.5037751033067193,0.3763348494027651,0.3616865443563336,0.3834239056721492,0.398144548027452,0.3778720172162795,0.5221035689419763,0.3603935149602597,0.5221035689419763,0.3619758935918186,0.3730525440127314
40_vowels,0.8939402560455191,0.614935988620199,0.7590896159317212,0.7431863442389758,0.92,0.5281934566145092,0.6147368421052631,0.8595448079658606,0.533058321479374,0.8221337126600284,0.5851209103840683,0.8630156472261735,0.2774110953058322,0.5229018492176387,0.901792318634424,0.3079943100995732,0.633172119487909,0.3121194879089616,,,0.8779231863442389,0.8243812233285918,0.4765860597439545,0.6391180654338549,0.7837126600284496,0.8244950213371266,0.86850640113798,0.8114082503556187,0.8244950213371266,0.8484495021337126,0.8505547652916075,0.8637837837837837,0.8438406827880511,0.8438122332859175,0.8694167852062589,0.8660028449502133,0.8827880512091039,0.5360597439544807,0.8633285917496444,0.8552489331436699,0.3018207681365576,0.8442674253200568,0.8988904694167852,0.8737980085348507,0.8492176386913228,0.8505832147937411,0.8695305832147937,0.8654907539118065
16_http,0.9785854035556734,0.9958408086608632,0.999979930962511,0.9993535903041346,,0.9920927992293488,0.9799477644959124,0.9166327515490496,0.9905232138089912,1.0,0.344219230431755,0.9999960328646824,0.9993979288753312,0.9993582575221552,,,0.994491515931082,0.9924868291107456,,,0.9999605620077252,0.9999605620077252,0.9999799309625113,0.9999204239327472,0.9961672805614104,0.9999605620077252,1.0,0.9796924676701808,0.9999605620077252,0.9999605620077252,0.9996837959790984,1.0,0.9997262676630866,0.999253711838492,0.993582341860652,0.9993979288753312,,0.9893989976682578,1.0,0.9938105688218636,,0.9930582132769284,0.9948284890721756,0.9999992999172967,0.9935886426049796,0.9991300305609436,0.9952459717241264,
9_census,0.4770442652250256,0.6333031348599201,0.7012817289271307,0.7103212344311909,0.5832010849157786,0.5,0.5,0.5730033960424032,0.6278663957331667,0.7264380967084121,0.3486967848597072,0.5994747007310066,0.7549141411620367,0.7061471922235097,0.652912226922344,0.5373531225392061,0.5137129297690836,0.5298295637481555,,,0.6168909017802409,0.5659617947881923,0.6873065114432634,0.6744323557888601,0.5007859163784973,0.5499147111687981,0.4870917540602053,0.2667762041186355,0.5456936059691317,0.6305990775761006,0.5879275817858312,0.5814767019925823,0.5144256765907738,0.5740025496068712,0.618072754295903,0.6033277221677061,0.6643329089807912,0.5979173111892724,0.5758056148157119,0.6856375713970566,0.5417956097970472,0.7098147818458762,0.709070630599373,0.7113540418287063,0.6722841172077864,0.7113540418287063,0.692960409112432,0.667019024715947
8_celeba,0.6051006239688348,0.6842688334753381,0.7987474587320929,0.8036105623947991,0.3668793202913751,0.7571061345124346,0.7626058397190137,0.4842790556388371,0.7649620846543758,0.72559890731597,0.642417121181392,0.4471545321067461,0.8597746629178151,0.8054143030179126,0.6446737181470408,0.5476287571208516,0.2344313096893241,0.4709538492879737,0.7744886335522942,0.8045682196199204,0.6810469489107506,0.7288435561311866,0.4761329337989855,0.7024990108606862,0.5597761672432945,0.7335814564154315,0.5398411541040083,0.7006984601325654,0.7358750815371596,0.7756934713905386,0.7129622651734333,0.4490861041468091,0.7989148375971898,0.7739010766439332,0.8293968760415867,0.8416514738855441,0.8017201871235902,0.5342647826711855,0.6758717973952695,0.8410498161913632,0.5967357949535499,0.8423409986872494,0.8206125214615592,0.7095159098731418,0.8289918681239412,0.721626763073993,0.8291520878497081,0.8280137121986116
41_Waveform,0.7246080191502093,0.7110712148414122,0.7043746259724716,0.7294075403949731,0.6666247755834829,0.7235667265110712,0.5943985637342908,0.7761460203470976,0.6928007181328546,0.7520586475164571,0.6503231597845601,0.7600478755236385,0.5839616995810892,0.6467564332734889,0.6127588270496708,0.4528366247755834,0.5984081388390186,0.4940813883901855,0.693542788749252,,0.6369778575703171,0.6041232794733693,0.6433093955715139,0.6873189706762418,0.497606223818073,0.6042669060442848,0.683476959904249,0.5665709156193897,0.6042010771992818,0.6201675643327349,0.5756134051466189,0.6484799521244763,0.585475763016158,0.5928306403351287,0.6459784560143627,0.651831238779174,0.6740275284260921,0.8320825852782765,0.6197247157390784,0.6595032914422502,0.4556672651107121,0.6808916816277678,0.637510472770796,0.6247935368043088,0.584590065828845,0.7174865350089767,0.6354637941352483,0.6448025134649911
37_Stamps,0.912187754153596,0.9347043104449868,0.9541071221099106,0.9504821656790984,0.5867317299872197,0.9294295341001512,0.8798652259788544,0.958057395143488,0.9077262693156732,0.9669803648193332,0.8849773440223074,0.9483211339607296,0.8393168351341931,0.94448704542814,0.5551295457186011,0.7719065876612061,0.761728825374695,0.8172185430463577,0.9511792726850238,,0.9469385383989776,0.9397118624375508,0.9578017892413152,0.9407691413965376,0.7930986406413384,0.9397118624375508,0.9242012315557104,0.7087022191239689,0.9397118624375508,0.9560125479261068,0.9436505170210294,0.9467874985476936,0.9441384919251772,0.9313117230161496,0.917532241199024,0.929568955501336,0.9337515975368886,0.2306959451609155,0.9431276867665854,0.9294295341001512,0.7732543278726618,0.922551411641687,0.9213895666318114,0.9852213314743812,0.9318461717206924,0.9790635529220404,0.9322876728244452,0.9245730219588707
