,diffusion_420_bins_7_bagging
36_speech.npz,
8_celeba.npz,
41_Waveform.npz,
37_Stamps.npz,
31_satimage-2.npz,
9_census.npz,
43_WDBC.npz,
46_WPBC.npz,
19_landsat.npz,
27_PageBlocks.npz,
45_wine.npz,
42_WBC.npz,
17_InternetAds.npz,
6_cardio.npz,
23_mammography.npz,
47_yeast.npz,
4_breastw.npz,
26_optdigits.npz,
22_magic.gamma.npz,
12_fault.npz,
38_thyroid.npz,
2_annthyroid.npz,
32_shuttle.npz,
25_musk.npz,
30_satellite.npz,
35_SpamBase.npz,
29_Pima.npz,
24_mnist.npz,
40_vowels.npz,
10_cover.npz,
34_smtp.npz,
3_backdoor.npz,
16_http.npz,
18_Ionosphere.npz,
44_Wilt.npz,
13_fraud.npz,
21_Lymphography.npz,
1_ALOI.npz,
11_donors.npz,
20_letter.npz,
15_Hepatitis.npz,
5_campaign.npz,
33_skin.npz,
28_pendigits.npz,
7_Cardiotocography.npz,
14_glass.npz,
39_vertebral.npz,
20news_0.npz,
20news_2.npz,
agnews_1.npz,
agnews_0.npz,
imdb.npz,
20news_1.npz,
agnews_2.npz,
yelp.npz,
20news_5.npz,
20news_4.npz,
amazon.npz,
20news_3.npz,
agnews_3.npz,
SVHN_7.npz,
MVTec-AD_tile.npz,
MVTec-AD_transistor.npz,
CIFAR10_9.npz,
FashionMNIST_3.npz,
CIFAR10_2.npz,
MVTec-AD_leather.npz,
SVHN_0.npz,
SVHN_1.npz,
FashionMNIST_4.npz,
MNIST-C_impulse_noise.npz,
MNIST-C_translate.npz,
FashionMNIST_8.npz,
SVHN_8.npz,
MVTec-AD_zipper.npz,
MVTec-AD_bottle.npz,
FashionMNIST_0.npz,
CIFAR10_6.npz,
MNIST-C_stripe.npz,
MNIST-C_spatter.npz,
FashionMNIST_1.npz,
MNIST-C_fog.npz,
MNIST-C_glass_blur.npz,
CIFAR10_3.npz,
MVTec-AD_pill.npz,
FashionMNIST_7.npz,
MVTec-AD_screw.npz,
CIFAR10_5.npz,
SVHN_6.npz,
SVHN_2.npz,
MNIST-C_motion_blur.npz,
CIFAR10_0.npz,
CIFAR10_8.npz,
FashionMNIST_6.npz,
MVTec-AD_toothbrush.npz,
MVTec-AD_metal_nut.npz,
MNIST-C_canny_edges.npz,
MNIST-C_brightness.npz,
MVTec-AD_cable.npz,
MNIST-C_dotted_line.npz,
FashionMNIST_9.npz,
MVTec-AD_hazelnut.npz,
MVTec-AD_capsule.npz,
MNIST-C_identity.npz,
SVHN_5.npz,
FashionMNIST_2.npz,
MVTec-AD_grid.npz,
MNIST-C_rotate.npz,
SVHN_4.npz,
CIFAR10_1.npz,
MVTec-AD_carpet.npz,
MNIST-C_zigzag.npz,
CIFAR10_7.npz,
MNIST-C_scale.npz,
MNIST-C_shot_noise.npz,
CIFAR10_4.npz,
FashionMNIST_5.npz,
MVTec-AD_wood.npz,
MNIST-C_shear.npz,
SVHN_9.npz,
SVHN_3.npz,
36_speech,0.01639344262295082
8_celeba,0.10710987996306556
41_Waveform,0.34
37_Stamps,0.6547619047619048
31_satimage-2,0.6901408450704225
9_census,0.22827496757457846
43_WDBC,0.8181818181818182
46_WPBC,0.44176706827309237
19_landsat,0.3885971492873218
27_PageBlocks,0.6666666666666666
45_wine,0.7530864197530863
42_WBC,0.9090909090909091
17_InternetAds,0.453804347826087
6_cardio,0.7386363636363636
23_mammography,0.3076923076923077
47_yeast,0.4635108481262328
4_breastw,0.9611111111111111
26_optdigits,0.08666666666666667
22_magic.gamma,0.7658492822966508
12_fault,0.5854383358098069
38_thyroid,0.7741935483870968
2_annthyroid,0.752808988764045
32_shuttle,0.9797778410709199
25_musk,1.0
30_satellite,0.7156188605108055
35_SpamBase,0.7915425848719476
29_Pima,0.6741573033707865
24_mnist,0.6785714285714286
40_vowels,0.26
10_cover,0.6433962264150943
34_smtp,0.6666666666666666
3_backdoor,0.4444444444444444
16_http,0.5097087378640777
18_Ionosphere,0.9016393442622952
44_Wilt,0.07392996108949416
13_fraud,0.6746987951807228
21_Lymphography,0.9565217391304348
1_ALOI,0.05305039787798409
11_donors,0.7566826593557231
20_letter,0.02
15_Hepatitis,0.5562130177514792
5_campaign,0.5183189655172413
33_skin,0.82052034428795
28_pendigits,0.1794871794871795
7_Cardiotocography,0.5343347639484979
14_glass,0.18918918918918917
39_vertebral,0.23484848484848486
20news_0,0.2077922077922078
20news_2,0.10483870967741936
agnews_1,0.138
agnews_0,0.17
imdb,0.066
20news_1,0.088
agnews_2,0.25
yelp,0.14
20news_5,0.14473684210526316
20news_4,0.12195121951219512
amazon,0.078
20news_3,0.3076923076923077
agnews_3,0.218
SVHN_7,0.23809523809523808
MVTec-AD_tile,0.696969696969697
MVTec-AD_transistor,0.425
CIFAR10_9,0.26996197718631176
FashionMNIST_3,0.5333333333333333
CIFAR10_2,0.1444866920152091
MVTec-AD_leather,0.9575471698113207
SVHN_0,0.17692307692307693
SVHN_1,0.184
FashionMNIST_4,0.5301587301587302
MNIST-C_impulse_noise,0.94
MNIST-C_translate,0.3
FashionMNIST_8,0.29523809523809524
SVHN_8,0.2037735849056604
MVTec-AD_zipper,0.8173374613003096
MVTec-AD_bottle,0.9
FashionMNIST_0,0.5079365079365079
CIFAR10_6,0.17870722433460076
MNIST-C_stripe,0.922
MNIST-C_spatter,0.556
FashionMNIST_1,0.7396825396825397
MNIST-C_fog,0.702
MNIST-C_glass_blur,0.738
CIFAR10_3,0.13307984790874525
MVTec-AD_pill,0.5982142857142857
FashionMNIST_7,0.8222222222222222
MVTec-AD_screw,0.4144144144144144
CIFAR10_5,0.21673003802281365
SVHN_6,0.17940199335548174
SVHN_2,0.216
MNIST-C_motion_blur,0.62
CIFAR10_0,0.2737642585551331
CIFAR10_8,0.21673003802281365
FashionMNIST_6,0.40317460317460313
MVTec-AD_toothbrush,0.8333333333333334
MVTec-AD_metal_nut,0.5454545454545454
MNIST-C_canny_edges,0.4000000000000001
MNIST-C_brightness,0.302
MVTec-AD_cable,0.5289256198347108
MNIST-C_dotted_line,0.418
FashionMNIST_9,0.7555555555555555
MVTec-AD_hazelnut,0.5196850393700787
MVTec-AD_capsule,0.5620915032679739
MNIST-C_identity,0.092
SVHN_5,0.22099447513812154
FashionMNIST_2,0.5301587301587302
MVTec-AD_grid,0.42953020134228187
MNIST-C_rotate,0.144
SVHN_4,0.16581632653061223
CIFAR10_1,0.2623574144486692
MVTec-AD_carpet,0.5502183406113537
MNIST-C_zigzag,0.534
CIFAR10_7,0.21292775665399238
MNIST-C_scale,0.374
MNIST-C_shot_noise,0.404
CIFAR10_4,0.33460076045627374
FashionMNIST_5,0.7841269841269841
MVTec-AD_wood,0.5824742268041238
MNIST-C_shear,0.274
SVHN_9,0.18775510204081633
SVHN_3,0.18344519015659955
