,diffusion_420_bins_7_bagging
36_speech.npz,
8_celeba.npz,
41_Waveform.npz,
37_Stamps.npz,
31_satimage-2.npz,
9_census.npz,
43_WDBC.npz,
46_WPBC.npz,
19_landsat.npz,
27_PageBlocks.npz,
45_wine.npz,
42_WBC.npz,
17_InternetAds.npz,
6_cardio.npz,
23_mammography.npz,
47_yeast.npz,
4_breastw.npz,
26_optdigits.npz,
22_magic.gamma.npz,
12_fault.npz,
38_thyroid.npz,
2_annthyroid.npz,
32_shuttle.npz,
25_musk.npz,
30_satellite.npz,
35_SpamBase.npz,
29_Pima.npz,
24_mnist.npz,
40_vowels.npz,
10_cover.npz,
34_smtp.npz,
3_backdoor.npz,
16_http.npz,
18_Ionosphere.npz,
44_Wilt.npz,
13_fraud.npz,
21_Lymphography.npz,
1_ALOI.npz,
11_donors.npz,
20_letter.npz,
15_Hepatitis.npz,
5_campaign.npz,
33_skin.npz,
28_pendigits.npz,
7_Cardiotocography.npz,
14_glass.npz,
39_vertebral.npz,
20news_0.npz,
20news_2.npz,
agnews_1.npz,
agnews_0.npz,
imdb.npz,
20news_1.npz,
agnews_2.npz,
yelp.npz,
20news_5.npz,
20news_4.npz,
amazon.npz,
20news_3.npz,
agnews_3.npz,
SVHN_7.npz,
MVTec-AD_tile.npz,
MVTec-AD_transistor.npz,
CIFAR10_9.npz,
FashionMNIST_3.npz,
CIFAR10_2.npz,
MVTec-AD_leather.npz,
SVHN_0.npz,
SVHN_1.npz,
FashionMNIST_4.npz,
MNIST-C_impulse_noise.npz,
MNIST-C_translate.npz,
FashionMNIST_8.npz,
SVHN_8.npz,
MVTec-AD_zipper.npz,
MVTec-AD_bottle.npz,
FashionMNIST_0.npz,
CIFAR10_6.npz,
MNIST-C_stripe.npz,
MNIST-C_spatter.npz,
FashionMNIST_1.npz,
MNIST-C_fog.npz,
MNIST-C_glass_blur.npz,
CIFAR10_3.npz,
MVTec-AD_pill.npz,
FashionMNIST_7.npz,
MVTec-AD_screw.npz,
CIFAR10_5.npz,
SVHN_6.npz,
SVHN_2.npz,
MNIST-C_motion_blur.npz,
CIFAR10_0.npz,
CIFAR10_8.npz,
FashionMNIST_6.npz,
MVTec-AD_toothbrush.npz,
MVTec-AD_metal_nut.npz,
MNIST-C_canny_edges.npz,
MNIST-C_brightness.npz,
MVTec-AD_cable.npz,
MNIST-C_dotted_line.npz,
FashionMNIST_9.npz,
MVTec-AD_hazelnut.npz,
MVTec-AD_capsule.npz,
MNIST-C_identity.npz,
SVHN_5.npz,
FashionMNIST_2.npz,
MVTec-AD_grid.npz,
MNIST-C_rotate.npz,
SVHN_4.npz,
CIFAR10_1.npz,
MVTec-AD_carpet.npz,
MNIST-C_zigzag.npz,
CIFAR10_7.npz,
MNIST-C_scale.npz,
MNIST-C_shot_noise.npz,
CIFAR10_4.npz,
FashionMNIST_5.npz,
MVTec-AD_wood.npz,
MNIST-C_shear.npz,
SVHN_9.npz,
SVHN_3.npz,
36_speech,0.025315786227321266
8_celeba,0.09845152492307474
41_Waveform,0.36674580913739097
37_Stamps,0.6164295748420254
31_satimage-2,0.7339660308324952
9_census,0.20153392412234844
43_WDBC,0.8522081782951347
46_WPBC,0.44907152883161044
19_landsat,0.36569156422615523
27_PageBlocks,0.7027266605676684
45_wine,0.846848904392955
42_WBC,0.9565675119927319
17_InternetAds,0.47229359900520407
6_cardio,0.8399136038693474
23_mammography,0.21701205853796562
47_yeast,0.4755176485313634
4_breastw,0.9751254237750584
26_optdigits,0.1460820675405074
22_magic.gamma,0.8583273225786234
12_fault,0.628393010875021
38_thyroid,0.834082539228947
2_annthyroid,0.8102110732570065
32_shuttle,0.9476903929947749
25_musk,0.9999999999999998
30_satellite,0.8572818350927038
35_SpamBase,0.812553309596892
29_Pima,0.6734230847686578
24_mnist,0.6445587045207544
40_vowels,0.293837787038176
10_cover,0.5710429496044485
34_smtp,0.517489287299055
3_backdoor,0.40009626594132497
16_http,0.645036040143317
18_Ionosphere,0.9684886480494994
44_Wilt,0.1508197893092706
13_fraud,0.6384205360789386
21_Lymphography,0.993659420289855
1_ALOI,0.06147020099124915
11_donors,0.6256588142193902
20_letter,0.08182950040253306
15_Hepatitis,0.7525093123279156
5_campaign,0.4872513248434623
33_skin,0.6878381525503643
28_pendigits,0.14131101004000934
7_Cardiotocography,0.6172517914252442
14_glass,0.25900810338941826
39_vertebral,0.216668484908773
20news_0,0.16765902045360204
20news_2,0.09426663180613923
agnews_1,0.15535853110854056
agnews_0,0.14039366858254804
imdb,0.09092652571146638
20news_1,0.09732803451827124
agnews_2,0.20135224675057076
yelp,0.13315550943754012
20news_5,0.17168658931186143
20news_4,0.11883804474236423
amazon,0.0965329715043803
20news_3,0.1914581751991227
agnews_3,0.16941544476637238
SVHN_7,0.18899820305524148
MVTec-AD_tile,0.8155519447614898
MVTec-AD_transistor,0.5678055072915803
CIFAR10_9,0.20303330057940458
FashionMNIST_3,0.5564107212946356
CIFAR10_2,0.13066811951763985
MVTec-AD_leather,0.9923751018872691
SVHN_0,0.13417546839901132
SVHN_1,0.14375909248570348
FashionMNIST_4,0.5400498313386325
MNIST-C_impulse_noise,0.9344330334314578
MNIST-C_translate,0.25838650686405784
FashionMNIST_8,0.2715738724477505
SVHN_8,0.16436411124950576
MVTec-AD_zipper,0.8503761289116432
MVTec-AD_bottle,0.9755451130246616
FashionMNIST_0,0.42417755883202823
CIFAR10_6,0.16096530961708658
MNIST-C_stripe,0.9504727795419303
MNIST-C_spatter,0.5174310780103978
FashionMNIST_1,0.7974251090885013
MNIST-C_fog,0.7615493242666812
MNIST-C_glass_blur,0.7805205905221558
CIFAR10_3,0.10769095263424527
MVTec-AD_pill,0.6432931037578989
FashionMNIST_7,0.8088996698833792
MVTec-AD_screw,0.5278604959011408
CIFAR10_5,0.1641812985949864
SVHN_6,0.12932930893204103
SVHN_2,0.16438879726651387
MNIST-C_motion_blur,0.6667814131160359
CIFAR10_0,0.2115202525014512
CIFAR10_8,0.1750391610147396
FashionMNIST_6,0.2881890589380884
MVTec-AD_toothbrush,0.882242803828576
MVTec-AD_metal_nut,0.614929874753312
MNIST-C_canny_edges,0.3755134370327851
MNIST-C_brightness,0.30493356566673185
MVTec-AD_cable,0.5820471571887311
MNIST-C_dotted_line,0.37168147757757747
FashionMNIST_9,0.7972946246150069
MVTec-AD_hazelnut,0.5831902577945628
MVTec-AD_capsule,0.6792129160502285
MNIST-C_identity,0.09255985652631299
SVHN_5,0.1799901973629621
FashionMNIST_2,0.4292580289206343
MVTec-AD_grid,0.48618651931009205
MNIST-C_rotate,0.13060409301113973
SVHN_4,0.1393680717117291
CIFAR10_1,0.20473266877456645
MVTec-AD_carpet,0.628544012796934
MNIST-C_zigzag,0.5162896827051539
CIFAR10_7,0.1966164226134985
MNIST-C_scale,0.3098917746676663
MNIST-C_shot_noise,0.38113987670837657
CIFAR10_4,0.275243842151501
FashionMNIST_5,0.8096305414020308
MVTec-AD_wood,0.7326810770155834
MNIST-C_shear,0.21664889064317003
SVHN_9,0.12513725634555012
SVHN_3,0.15124329424917055
