,diffusion_420_bins_7_bagging
36_speech.npz,
8_celeba.npz,
41_Waveform.npz,
37_Stamps.npz,
31_satimage-2.npz,
9_census.npz,
43_WDBC.npz,
46_WPBC.npz,
19_landsat.npz,
27_PageBlocks.npz,
45_wine.npz,
42_WBC.npz,
17_InternetAds.npz,
6_cardio.npz,
23_mammography.npz,
47_yeast.npz,
4_breastw.npz,
26_optdigits.npz,
22_magic.gamma.npz,
12_fault.npz,
38_thyroid.npz,
2_annthyroid.npz,
32_shuttle.npz,
25_musk.npz,
30_satellite.npz,
35_SpamBase.npz,
29_Pima.npz,
24_mnist.npz,
40_vowels.npz,
10_cover.npz,
34_smtp.npz,
3_backdoor.npz,
16_http.npz,
18_Ionosphere.npz,
44_Wilt.npz,
13_fraud.npz,
21_Lymphography.npz,
1_ALOI.npz,
11_donors.npz,
20_letter.npz,
15_Hepatitis.npz,
5_campaign.npz,
33_skin.npz,
28_pendigits.npz,
7_Cardiotocography.npz,
14_glass.npz,
39_vertebral.npz,
20news_0.npz,
20news_2.npz,
agnews_1.npz,
agnews_0.npz,
imdb.npz,
20news_1.npz,
agnews_2.npz,
yelp.npz,
20news_5.npz,
20news_4.npz,
amazon.npz,
20news_3.npz,
agnews_3.npz,
SVHN_7.npz,
MVTec-AD_tile.npz,
MVTec-AD_transistor.npz,
CIFAR10_9.npz,
FashionMNIST_3.npz,
CIFAR10_2.npz,
MVTec-AD_leather.npz,
SVHN_0.npz,
SVHN_1.npz,
FashionMNIST_4.npz,
MNIST-C_impulse_noise.npz,
MNIST-C_translate.npz,
FashionMNIST_8.npz,
SVHN_8.npz,
MVTec-AD_zipper.npz,
MVTec-AD_bottle.npz,
FashionMNIST_0.npz,
CIFAR10_6.npz,
MNIST-C_stripe.npz,
MNIST-C_spatter.npz,
FashionMNIST_1.npz,
MNIST-C_fog.npz,
MNIST-C_glass_blur.npz,
CIFAR10_3.npz,
MVTec-AD_pill.npz,
FashionMNIST_7.npz,
MVTec-AD_screw.npz,
CIFAR10_5.npz,
SVHN_6.npz,
SVHN_2.npz,
MNIST-C_motion_blur.npz,
CIFAR10_0.npz,
CIFAR10_8.npz,
FashionMNIST_6.npz,
MVTec-AD_toothbrush.npz,
MVTec-AD_metal_nut.npz,
MNIST-C_canny_edges.npz,
MNIST-C_brightness.npz,
MVTec-AD_cable.npz,
MNIST-C_dotted_line.npz,
FashionMNIST_9.npz,
MVTec-AD_hazelnut.npz,
MVTec-AD_capsule.npz,
MNIST-C_identity.npz,
SVHN_5.npz,
FashionMNIST_2.npz,
MVTec-AD_grid.npz,
MNIST-C_rotate.npz,
SVHN_4.npz,
CIFAR10_1.npz,
MVTec-AD_carpet.npz,
MNIST-C_zigzag.npz,
CIFAR10_7.npz,
MNIST-C_scale.npz,
MNIST-C_shot_noise.npz,
CIFAR10_4.npz,
FashionMNIST_5.npz,
MVTec-AD_wood.npz,
MNIST-C_shear.npz,
SVHN_9.npz,
SVHN_3.npz,
36_speech,0.3590191060917056
8_celeba,0.7597047381418853
41_Waveform,0.7434799521244763
37_Stamps,0.9435693491370347
31_satimage-2,0.9939750154801804
9_census,0.7079067907220334
43_WDBC,0.992094861660079
46_WPBC,0.5727657295850067
19_landsat,0.5194817912631824
27_PageBlocks,0.9235213790555141
45_wine,0.9738831060544931
42_WBC,0.9949125142639786
17_InternetAds,0.6466847145888882
6_cardio,0.9557134220072552
23_mammography,0.8483836434578056
47_yeast,0.4409030223093461
4_breastw,0.9850086805555556
26_optdigits,0.8181866035004606
22_magic.gamma,0.8319899957825521
12_fault,0.6163805831977913
38_thyroid,0.9883117870277792
2_annthyroid,0.9727495221432254
32_shuttle,0.9978196646866615
25_musk,1.0
30_satellite,0.8195040431844802
35_SpamBase,0.814050943901207
29_Pima,0.6883854421104054
24_mnist,0.8980436312456017
40_vowels,0.7563300142247511
10_cover,0.985573074590661
34_smtp,0.9584466938731961
3_backdoor,0.906012021380826
16_http,0.9960002199352594
18_Ionosphere,0.9568530106359139
44_Wilt,0.7102301707388219
13_fraud,0.9452241434989528
21_Lymphography,0.9993619542430043
1_ALOI,0.5265944308901643
11_donors,0.9691098338660395
20_letter,0.3126533333333334
15_Hepatitis,0.8608398089399016
5_campaign,0.7635555674540424
33_skin,0.918186521260058
28_pendigits,0.8331309242837392
7_Cardiotocography,0.6823812971373806
14_glass,0.7838961622745406
39_vertebral,0.4663978494623656
20news_0,0.6976914434339504
20news_2,0.48766543468217516
agnews_1,0.7175762105263157
agnews_0,0.6441745263157895
imdb,0.4974376842105263
20news_1,0.5230359832635982
agnews_2,0.7259894736842105
yelp,0.6218966315789474
20news_5,0.6087514459224986
20news_4,0.49691635416989494
amazon,0.5184692631578948
20news_3,0.7054213977290901
agnews_3,0.6741892631578947
SVHN_7,0.7102896932816745
MVTec-AD_tile,0.8360937763535166
MVTec-AD_transistor,0.7813068181818181
CIFAR10_9,0.6880015209125475
FashionMNIST_3,0.9028962962962962
CIFAR10_2,0.5843011406844107
MVTec-AD_leather,0.9952111866679436
SVHN_0,0.5810327405012126
SVHN_1,0.6174153684210526
FashionMNIST_4,0.866763492063492
MNIST-C_impulse_noise,0.9963058947368422
MNIST-C_translate,0.8241953684210526
FashionMNIST_8,0.8066957671957672
SVHN_8,0.6313261391425302
MVTec-AD_zipper,0.8731563421828908
MVTec-AD_bottle,0.9807566346696781
FashionMNIST_0,0.885337037037037
CIFAR10_6,0.6786068441064639
MNIST-C_stripe,0.9967747368421053
MNIST-C_spatter,0.9101117894736842
FashionMNIST_1,0.9703349206349206
MNIST-C_fog,0.977698947368421
MNIST-C_glass_blur,0.9741511578947368
CIFAR10_3,0.49015589353612166
MVTec-AD_pill,0.62529582616179
FashionMNIST_7,0.9495687830687831
MVTec-AD_screw,0.5911438430718636
CIFAR10_5,0.6306501901140684
SVHN_6,0.5538727004988611
SVHN_2,0.622158105263158
MNIST-C_motion_blur,0.953550947368421
CIFAR10_0,0.6636889733840304
CIFAR10_8,0.6573049429657795
FashionMNIST_6,0.7758804232804233
MVTec-AD_toothbrush,0.8942630305867665
MVTec-AD_metal_nut,0.6593276515151516
MNIST-C_canny_edges,0.8836877894736842
MNIST-C_brightness,0.8322936842105264
MVTec-AD_cable,0.6492509649141935
MNIST-C_dotted_line,0.8708787368421053
FashionMNIST_9,0.9537888888888889
MVTec-AD_hazelnut,0.739562875006757
MVTec-AD_capsule,0.6729671695767643
MNIST-C_identity,0.4912435789473685
SVHN_5,0.646173619707749
FashionMNIST_2,0.8365798941798943
MVTec-AD_grid,0.6133754441373864
MNIST-C_rotate,0.6063416842105263
SVHN_4,0.6092423695141773
CIFAR10_1,0.7025148288973384
MVTec-AD_carpet,0.6662394374184767
MNIST-C_zigzag,0.922072
CIFAR10_7,0.5997384030418251
MNIST-C_scale,0.8444275789473683
MNIST-C_shot_noise,0.8658797894736843
CIFAR10_4,0.7044752851711027
FashionMNIST_5,0.9430571428571429
MVTec-AD_wood,0.786191194904198
MNIST-C_shear,0.7125164210526316
SVHN_9,0.5539628990282244
SVHN_3,0.6075465578688604
