,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,diffusion_420_bins_7,ICL_bagging,ICL,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9894616918256908,0.9700939903161492,0.9649672457989176,0.9615494161207632,0.191683281116491,0.9606949587012248,0.9179720877242952,0.0096838507547707,0.9507262888066078,0.9823412133295356,0.3671318712617488,0.9840501281686128,0.8461976644830532,0.9578467673027627,0.1825690686414127,0.0,0.978353745371689,,,0.981201936770151,0.9863286812873824,0.9777841070919966,0.9780689262318428,0.949587012247223,0.9866135004272288,0.9897465109655368,0.9766448305326118,0.9860438621475364,0.98575904300769,0.9840501281686128,0.9868983195670749,0.9840501281686128,0.9843349473084592,0.9809171176303048,0.9803474793506124,0.9766448305326118,0.9649672457989176,0.9846197664483052,0.9800626602107662,0.0170891483907718,0.9800626602107662,0.97977784107092,0.97977784107092,0.5531187695813159,0.9863286812873824,0.97977784107092,0.9800626602107662
38_thyroid,0.021505376344086,0.7741935483870968,0.7526881720430108,0.7311827956989246,0.075268817204301,0.3010752688172043,0.5913978494623656,0.3010752688172043,0.7741935483870968,0.7526881720430108,0.6774193548387096,0.5268817204301075,0.7311827956989246,0.7419354838709677,0.4086021505376344,0.5053763440860215,0.4086021505376344,,,0.4408602150537634,0.7419354838709677,0.7204301075268817,0.7419354838709677,0.6129032258064516,0.7419354838709677,0.7849462365591398,0.3440860215053763,0.7419354838709677,0.5376344086021505,0.5161290322580645,0.2365591397849462,0.6236559139784946,0.3978494623655913,0.086021505376344,0.7311827956989246,0.7741935483870968,0.8064516129032258,0.4408602150537634,0.7634408602150536,0.4838709677419355,0.2043010752688172,0.4193548387096774,0.4838709677419355,0.5591397849462365,0.5591397849462365,0.7634408602150536,0.3870967741935484
26_optdigits,0.4199999999999999,0.06,0.0066666666666666,0.0133333333333333,0.0733333333333333,0.0,0.0,0.5133333333333333,0.4066666666666667,0.2133333333333333,0.0,0.5333333333333333,0.0,0.0066666666666666,0.0066666666666666,0.0733333333333333,0.0,,,0.3533333333333333,0.2533333333333333,0.04,0.0266666666666666,0.0,0.2533333333333333,0.2866666666666667,0.1933333333333333,0.2533333333333333,0.22,0.3266666666666666,0.2733333333333333,0.24,0.2333333333333333,0.0933333333333333,0.06,0.08,0.3733333333333333,0.1533333333333333,0.0466666666666666,0.0933333333333333,0.08,0.1266666666666666,0.08,0.06,0.6266666666666667,0.0333333333333333,0.06666666666666667
36_speech,0.0655737704918032,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0491803278688524,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0655737704918032,0.0163934426229508,0.0,0.0163934426229508,0.0,0.0327868852459016,0.0491803278688524,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0655737704918032,0.0491803278688524,0.0655737704918032,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0491803278688524,0.0491803278688524,0.0163934426229508,0.0327868852459016,0.0491803278688524,0.0163934426229508,0.0655737704918032,0.0655737704918032,0.0163934426229508,0.03278688524590164
40_vowels,0.4000000000000001,0.08,0.28,0.2,0.54,0.06,0.22,0.34,0.08,0.26,0.24,0.34,0.0,0.12,0.56,0.0,0.08,,,0.38,0.36,0.08,0.22,0.26,0.36,0.5,0.28,0.36,0.4000000000000001,0.46,0.44,0.46,0.4000000000000001,0.5,0.46,0.46,0.04,0.4000000000000001,0.52,0.0,0.46,0.4000000000000001,0.5,0.4000000000000001,0.3,0.54,0.44
16_http,0.0282485875706214,0.192090395480226,0.9943502824858758,0.9152542372881356,,0.0225988700564971,0.0282485875706214,0.0,0.0282485875706214,1.0,0.0056497175141242,0.9774011299435028,0.9322033898305084,0.9322033898305084,,,0.3615819209039548,,,0.0,0.0225988700564971,0.9943502824858758,0.9943502824858758,0.2033898305084746,0.0225988700564971,0.0282485875706214,0.0338983050847457,0.0225988700564971,0.0225988700564971,0.0225988700564971,0.9943502824858758,0.0225988700564971,0.0225988700564971,0.9717514124293786,0.4406779661016949,,0.0112994350282485,0.0225988700564971,0.1807909604519774,,0.4689265536723164,0.3615819209039548,0.192090395480226,0.0056497175141242,0.9830508474576272,0.8983050847457628,
9_census,0.1936211340206185,0.0956829896907216,0.2052190721649484,0.2197164948453608,0.096971649484536,0.0,0.0,0.0222293814432989,0.0934278350515464,0.2168170103092783,0.2342139175257732,0.1146907216494845,0.3121778350515464,0.2087628865979381,0.1768685567010309,0.159471649484536,0.2274484536082474,,,0.1739690721649484,0.1755798969072164,0.1858891752577319,0.242590206185567,0.0,0.1836340206185567,0.1449742268041237,0.064110824742268,0.1836340206185567,0.1588273195876288,0.1939432989690721,0.1881443298969072,0.1794458762886598,0.1784793814432989,0.2197164948453608,0.2300257731958762,0.1997422680412371,0.1588273195876288,0.1939432989690721,0.1829896907216494,0.1852448453608247,0.1958762886597938,0.1771907216494845,0.1903994845360824,0.2239046391752577,0.2403350515463917,0.2164948453608247,0.22454896907216496
8_celeba,0.1118067978533094,0.2137745974955277,0.2790697674418604,0.1958855098389982,0.0125223613595706,0.2450805008944543,0.2450805008944543,0.0161001788908765,0.2432915921288014,0.1779964221824687,0.1261180679785331,0.01520572450805,0.1967799642218247,0.2772808586762075,0.0778175313059034,0.0,0.0805008944543828,0.2817531305903399,0.276386404293381,0.092128801431127,0.1028622540250447,0.0384615384615384,0.1860465116279069,0.0,0.1028622540250447,0.1073345259391771,0.0983899821109123,0.1055456171735241,0.1180679785330948,0.1198568872987477,0.0635062611806797,0.1305903398926654,0.1010733452593917,0.1717352415026833,0.1386404293381037,0.1189624329159212,0.0849731663685152,0.1440071556350626,0.1744186046511628,0.0,0.165474060822898,0.1592128801431127,0.1887298747763864,0.0626118067978533,0.1216457960644007,0.2334525939177102,0.2567084078711986
41_Waveform,0.29,0.08,0.13,0.25,0.12,0.09,0.07,0.32,0.08,0.27,0.06,0.28,0.09,0.09,0.13,0.09,0.1,0.13,,0.18,0.09,0.08,0.14,0.0,0.09,0.15,0.05,0.09,0.12,0.1,0.12,0.1,0.09,0.15,0.15,0.1,0.47,0.11,0.15,0.09,0.16,0.17,0.17,0.1,0.25,0.12,0.17
37_Stamps,0.3243243243243243,0.7477477477477479,0.6576576576576577,0.7747747747747747,0.1081081081081081,0.7477477477477479,0.5765765765765766,0.6036036036036037,0.6756756756756757,0.8468468468468469,0.7207207207207207,0.5765765765765766,0.3963963963963964,0.6936936936936937,0.1621621621621621,0.6126126126126126,0.4234234234234234,0.7207207207207207,,0.5855855855855856,0.4684684684684684,0.6576576576576577,0.6306306306306306,0.2792792792792792,0.4684684684684684,0.4414414414414414,0.3693693693693693,0.4684684684684684,0.6486486486486487,0.5225225225225225,0.6036036036036037,0.4954954954954955,0.5315315315315315,0.6486486486486487,0.5405405405405406,0.5675675675675675,0.4684684684684684,0.6216216216216216,0.4954954954954955,0.6126126126126126,0.6396396396396397,0.7207207207207207,0.7297297297297297,0.3693693693693693,0.6846846846846847,0.5945945945945946,0.6576576576576577
31_satimage-2,0.704225352112676,0.9014084507042254,0.9154929577464788,0.9295774647887324,0.1690140845070422,0.8028169014084506,0.7887323943661971,0.8591549295774648,0.8309859154929577,0.9014084507042254,0.9154929577464788,0.8169014084507042,0.9577464788732394,0.8732394366197183,0.2816901408450704,0.2676056338028169,0.676056338028169,0.8169014084507042,,0.8450704225352113,0.9014084507042254,0.9295774647887324,0.943661971830986,0.8873239436619719,0.9014084507042254,0.8309859154929577,0.8732394366197183,0.9014084507042254,0.9154929577464788,0.9154929577464788,0.8309859154929577,0.9295774647887324,0.9154929577464788,0.676056338028169,0.7605633802816902,0.6056338028169014,0.0140845070422535,0.9154929577464788,0.6901408450704225,0.2816901408450704,0.6338028169014085,0.704225352112676,0.676056338028169,0.9154929577464788,0.9014084507042254,0.7183098591549296,0.704225352112676
43_WDBC,0.75,0.8611111111111112,0.8888888888888888,0.9722222222222222,0.0555555555555555,0.8888888888888888,0.5833333333333334,1.0,0.7777777777777778,0.8888888888888888,0.8333333333333334,1.0,0.6666666666666666,0.8888888888888888,0.1944444444444444,0.0,0.8333333333333334,,,0.8888888888888888,0.9722222222222222,0.75,0.8611111111111112,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9444444444444444,0.75,0.9444444444444444,0.8611111111111112,0.8611111111111112,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8611111111111112,0.8888888888888888,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.5277777777777778,0.8611111111111112,0.9444444444444444,0.8333333333333334
