,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,diffusion_420_bins_7,ICL_bagging,ICL,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9851639492267068,0.9862799902047064,0.9766843145387318,0.9663845646683678,0.1695313396996804,0.9805278710650962,0.9520492430925522,0.2652616772854523,0.9748719451240656,0.9785923096165582,0.3337712451403144,0.9974660268045326,0.9089539235813048,0.962713299734448,0.206467690442733,0.1120059101430639,0.9775334352031344,0.975336348763829,,,0.9602798195023652,0.9962689818124978,0.9762722251092798,0.9857958755239764,0.9534253709213666,0.9962491146685482,0.996168532143092,0.9816504011576734,0.9962455231284246,0.9965228388682092,0.9963377710377416,0.9971176813095975,0.9961379242713112,0.99642811650011,0.961005400505364,0.9562728756056798,0.935722124417414,0.9740424141082008,0.9977960617164277,0.9442181027618052,0.0705761633957072,0.9410302034256864,0.9426790445562584,0.9396600055809106,0.4975337705343042,0.9964218337057305,0.9442352283160876,0.939925724641285
38_thyroid,0.0303880124916513,0.7727040598541395,0.7892005072030098,0.8149773587211876,0.0737234960861273,0.3018648994809832,0.6403435593045241,0.2729974961485474,0.7694955412011536,0.8094229556780009,0.6164462236362238,0.6057457162590333,0.8013754698895461,0.813421052388476,0.3221177638561298,0.5248472987826335,0.3976193872431546,0.1065489633129464,,,0.5038525039300797,0.8099419700201764,0.765657868403566,0.7931105230162229,0.6920415573784257,0.8147513056781446,0.814754736576012,0.2620900785900856,0.8146792856916043,0.6185582557339535,0.5287666837402034,0.2173370384054514,0.66213253681158,0.3796052995167692,0.0466199542415743,0.7140705335977772,0.8427834045420795,0.8528841318992538,0.544872047029324,0.8350120257041465,0.5123270148508903,0.2347989987303078,0.2837447449199289,0.5659433680860669,0.5213755347486426,0.4974509863314732,0.82796481395917,0.4246907112782133
26_optdigits,0.3237928121115234,0.106567840200742,0.0692143858176951,0.1467817799675298,0.0609134198643046,0.0559075661572866,0.0559075661572866,0.430934489420424,0.4238072305633713,0.2911098729719137,0.055472671865167,0.436265670730745,0.0748896603883892,0.0602197027858401,0.0473224534194382,0.0673536190187066,0.0482533747085051,0.1938368441539698,,,0.3175299495128047,0.2343535427574465,0.1206448422759375,0.1318996061255326,0.0559075661572866,0.2342758422010451,0.2206907374354884,0.1801365084739383,0.2342380087162442,0.2101833171616138,0.2544920750046585,0.208179845038,0.2407498545055377,0.2321654344560716,0.170149514990549,0.1356712908085553,0.1020165725144591,0.2955412757092751,0.1597256551709697,0.1100506987423081,0.0736916960463134,0.1068092585427042,0.1535430822826745,0.1130361264169879,0.1003231352560574,0.5284723555911328,0.1074423711454434,0.14326069518332732
36_speech,0.0440628391611698,0.0416012717228223,0.0278050022611379,0.0271770583340489,0.0222865936570541,0.0278815665531377,0.0286733211686461,0.0297846464150622,0.0320978842973562,0.0280310472646631,0.030113385329418,0.0315237721469434,0.0290318361200833,0.0277092917113783,0.0346754988139074,0.0415895864371407,0.0459766814263906,0.0356422370667487,0.0265940772286935,0.0277138484784927,0.0299916424060391,0.0259329493129907,0.0236757738641314,0.0245818339690618,0.0325506937033084,0.0247356031215652,0.0328056696508001,0.0257097766578342,0.0247544828060183,0.0262737368589803,0.025379540894639,0.0283794463284989,0.0300944687618713,0.0301009086531788,0.0259230196016854,0.0333436621063068,0.0283795816616563,0.0273346347103019,0.0302995882152289,0.0359689640679331,0.0415566232344427,0.0320185505975276,0.0328479790837379,0.0277069336066638,0.0405327728703548,0.0405327728703548,0.0414868753056826,0.035613463322084704
40_vowels,0.4233719703417717,0.1047896259466077,0.2742668687180272,0.2020924241251114,0.5322255570600649,0.0706370493752883,0.1771506028678248,0.3174542178959446,0.0787721123919029,0.302052045545569,0.2044113138515946,0.3309002392061522,0.0438285681833289,0.1050648365911076,0.5203329349435981,0.0628200340373616,0.0760312278737391,0.0954211089568342,,,0.4405468139423946,0.4023019386690445,0.0798843305568947,0.1764986989908682,0.116736786188579,0.4023792311493106,0.5101477964187672,0.2609875269166639,0.4023792311493106,0.3534173350241511,0.4372341884625986,0.3633621530764228,0.4436561261074259,0.3907227127608693,0.4286278326122529,0.4015955909273946,0.4395549057577224,0.0633362898551299,0.4192933176956325,0.4957457850310427,0.0641637112764023,0.4431075401674409,0.3727849376591274,0.4640652600165076,0.3850253919799395,0.2728889342569796,0.507635456213902,0.39930331391269697
16_http,0.0316656377179563,0.550362995035241,0.999936340705976,0.8998714928249931,,0.4682912241725623,0.2575657718901729,0.0801967999652161,0.3997661213927869,1.0,0.0142097191067717,0.998222860066352,0.9210342381091032,0.9151785956834432,,,0.5525793689062344,0.3279014340185803,,,0.0068212349280294,0.0239516963183489,0.995945178817614,0.9997266265718971,0.5401432643723052,0.0791649277158176,0.4472862577640989,0.3715451356440181,0.0283680125395979,0.2424829291739765,0.0520357527885034,0.99927639086026,0.0605497426321945,0.2524871551495045,0.9974278526017618,0.6137357124695906,,0.0052179641770031,0.1881010764224911,0.5296606432658467,,0.6524860149504442,0.5872989744834878,0.5331646798357168,0.0490686351212828,0.9790023824398624,0.883846351351557,
9_census,0.1515468498397468,0.135178377726904,0.1945615448877196,0.1977408020375429,0.1248871526521708,0.1169026815305815,0.1169026815305815,0.1145738215697466,0.1369754384822584,0.2030569130764643,0.2254731028010233,0.1294002801316084,0.342760030012503,0.1949747024583206,0.1665172043403942,0.1337362071592854,0.1840353020349544,0.1341124604821016,,,0.1537699193434434,0.1454534598903523,0.1824291228841502,0.2194957765720624,0.1169026815305815,0.1496592814788144,0.1254654452650457,0.0749667467682838,0.1509857731811596,0.1422222379946918,0.1609951727255197,0.1712546413084196,0.1708809431948791,0.159584433480208,0.1568888423322584,0.1571686579800467,0.1812007617376431,0.1485784868305597,0.1598149435262142,0.1747576427653182,0.1488076707549038,0.1845122236727539,0.1922640939082017,0.1836932461466618,0.2056749184422784,0.2074019665409455,0.1828406239806048,0.1995477758525743
8_celeba,0.0594446637850155,0.1516149614773981,0.2139757365752695,0.1474768590618656,0.0315618998913463,0.1798835370082649,0.1846927633713621,0.0336153786864172,0.1857547490674567,0.1302889563687793,0.0809809922700309,0.0366975576562372,0.1622930879777198,0.2218499948547375,0.0621673963767997,0.0675350367797026,0.0491221228954479,0.1205776123565071,0.2104401866361779,0.2208142371120782,0.0770951825916225,0.082661788548745,0.0432246337684814,0.1268510075355998,0.043741930435463,0.0832646948065082,0.0594171728889229,0.0742082747313027,0.0796985854888908,0.0821907264959792,0.0959580435751767,0.0431860875657894,0.1070383420527071,0.0847433574566125,0.1369434059444174,0.1317054962057309,0.1163123464567559,0.0783968824663713,0.095669093509926,0.1437925209090734,0.0990622382825669,0.137081399796435,0.1398266899139977,0.1536460864010728,0.0494396150697964,0.0989633286992639,0.1656381598658331,0.18846865188391274
41_Waveform,0.2150628383327849,0.089051587527139,0.1091086629614938,0.2411641245452357,0.0989121189678052,0.0988387421619707,0.0734766798258428,0.3566514959100882,0.0899663220836625,0.2700393950703784,0.0905919366391383,0.3066274875638964,0.0782405921287559,0.0840761220751343,0.0870277079367644,0.0564284064016091,0.0766162788960961,0.0583439388435131,0.1001685416287958,,0.1221228375143914,0.078272093343914,0.0833403134036162,0.101436080283359,0.0564652738565782,0.0782927746712105,0.1134820952830574,0.066195961237505,0.0782958082640429,0.0911751562794147,0.0824243404439702,0.093823686494838,0.0779341990942891,0.0762125335393705,0.1151735327798993,0.126390797494137,0.1000053810784305,0.4783502226918275,0.0875619719685737,0.1242275426008883,0.0571559233849356,0.1276256615910045,0.1392739502780919,0.1161730442510275,0.0868441543956144,0.1708066880293586,0.0994022969493791,0.12337958591854778
37_Stamps,0.4194888594941443,0.7054482723890874,0.7201425305860539,0.7546321324047585,0.1682942634991421,0.6546585049310681,0.5359691426307339,0.6630125793760823,0.6196197231099085,0.7753169690434598,0.6877351621242024,0.6440550398732527,0.4955051921388458,0.6740304924611958,0.2165883759720012,0.5546077465588478,0.4730717172202059,0.4402818956109278,0.6656346326680361,,0.6217901142019142,0.5677036155553661,0.6634530773251355,0.6554213966018788,0.3406048600327139,0.5659149524145546,0.5021429337629018,0.3672123502975998,0.566233962486583,0.6934960954318017,0.58308716913281,0.6693418870619131,0.5421521759836061,0.6066733463277001,0.6482699529658218,0.6097133869572084,0.6039853199339177,0.4148522937077895,0.6856785480838573,0.5710448211204884,0.5570486886295319,0.6623172487949459,0.7090344520746646,0.7226739555627929,0.3822044120628934,0.790819651607464,0.6315331558661941,0.6631806337788199
