,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,diffusion_420_bins_7,ICL_bagging,ICL,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.999082375785747,0.9963186192106056,0.9961888117598652,0.9968843212805384,0.5278303962939748,0.994657576179748,0.9933072562977264,0.7998217034433825,0.9864057247834876,0.9991050683474092,0.6502814833582736,0.999776898130004,0.9898240980334658,0.9935601234110476,0.6223369494771732,0.2615219638692682,0.9978068188973508,0.9858327938330912,,,0.9981732050505494,0.9998386403916626,0.9962945146117916,0.9979374698216108,0.97456735525304,0.9998356413747028,0.9998711547338676,0.9967966750098902,0.9998350415713108,0.9998358663009748,0.9998277689551835,0.9995653549712074,0.9998299307465752,0.9998284499819516,0.998499266921544,0.998190930490372,0.997185360103775,0.9810829382763696,0.9998717295454516,0.997604022871353,0.0235796771265838,0.9974323104065526,0.9976114516862804,0.9974971828921628,0.9295553283827976,0.9991685600356274,0.9976311264871266,0.9974951960434268
38_thyroid,0.2169248130412157,0.988352716237787,0.985598765107264,0.9853414957872147,0.4162617598390897,0.938068258228233,0.9754775561753408,0.9220240079051846,0.9864612020324276,0.9867798651674882,0.962888900582949,0.9272278646061736,0.984978979927146,0.9854584363872372,0.915621510053968,0.8747858525262093,0.7580674396440328,0.5720032509486805,,,0.8894268156489913,0.9812251866664328,0.9827658790717256,0.9850082150771516,0.9208926075999696,0.9813859799914632,0.983394434796845,0.899758517660954,0.9813830564764628,0.963742566963111,0.9460026779397406,0.7696211709262282,0.9673618785337988,0.8875733071386389,0.2290340121735164,0.9747408303952008,0.990457647038187,0.978626181830939,0.9531185134510928,0.9886567617978448,0.851283715436744,0.8365462763189437,0.8989633215808029,0.9469557438299216,0.9534401001011537,0.9608716752325656,0.9881188350377426,0.9449969887795494
26_optdigits,0.9222581918673508,0.7540255296749573,0.6338228714304515,0.8456691669956573,0.5126016581129096,0.5,0.5,0.9656770627714174,0.8992420055270429,0.9371891038294512,0.5432556915383603,0.9665008553757072,0.669277536517963,0.5817423345176996,0.4487116725884985,0.5454401894986183,0.4735438873535992,0.8515436241610738,,,0.9306908803789972,0.8963574154494012,0.7952546387682591,0.8181944992762205,0.4994078168180024,0.8963363600473747,0.8624003158310304,0.8483037241742335,0.8963074088695882,0.8752204237399658,0.9003921568627451,0.8309435452033164,0.8946282405579682,0.8835399394657192,0.8472614817739176,0.7971022502960916,0.7233320173707067,0.9145440189498618,0.8174496644295302,0.756362679299908,0.574659823661008,0.7305540202658244,0.8263613633372813,0.7525016449532833,0.7435767864192657,0.976338991972628,0.7512962231872615,0.8061692327937886
36_speech,0.3902236127060483,0.3566681435533894,0.36569222283508,0.3616865443563336,0.3095946398054126,0.3703308527664499,0.3596068467262847,0.375846572567884,0.3665512283779263,0.36362156736864,0.3827095747470455,0.3752769162605228,0.3941388695487056,0.3637843263136003,0.436709375819446,0.3967520548316801,0.6316312967366832,0.4495492481440959,0.3613700686300217,0.3638024106408181,0.3739658025372311,0.361532827574982,0.3510529599522574,0.3515141102963117,0.5,0.3504652193176784,0.385413181666109,0.3572920528424041,0.3506731890806832,0.3593898347996708,0.3452478909153382,0.3564873002812113,0.3625093812447442,0.3558453066649787,0.3581510583852504,0.4008662392737334,0.3874657528053313,0.4273688208114438,0.3826643639290009,0.3790927093034821,0.3942473755120124,0.3778177642346261,0.3697069434774352,0.3757561509317949,0.5069127340790105,0.5069127340790105,0.3652401146546345,0.4007215646559909
40_vowels,0.8801422475106685,0.5868847795163584,0.7590896159317212,0.7566714082503556,0.92,0.5281934566145092,0.6147368421052631,0.8585775248933143,0.533058321479374,0.8221337126600284,0.6388335704125178,0.8630156472261735,0.2811095305832147,0.5229018492176387,0.901792318634424,0.4996870554765292,0.5437553342816501,0.5718349928876245,,,0.8747937411095306,0.8346799431009957,0.5260881934566145,0.6323755334281651,0.6036842105263158,0.834452347083926,0.8962446657183499,0.8091891891891891,0.834452347083926,0.8458605974395448,0.860796586059744,0.8676529160739687,0.8591180654338549,0.8442674253200568,0.8826742532005691,0.8730014224751066,0.8728022759601707,0.4621337126600284,0.8574110953058321,0.8816500711237553,0.5088477951635847,0.88574679943101,0.8625035561877668,0.8867994310099574,0.7986344238975819,0.8681081081081081,0.891778093883357,0.8677951635846374
16_http,0.0282476803862428,0.9944044867525,0.9999995464078106,0.9993690532646504,,0.9921585250270624,0.981050959494898,0.9230061278036816,0.989470310917034,1.0,0.4703542350882135,0.9999863922343204,0.999518285094938,0.9994933375245252,,,0.9899064398070692,0.9865918148835844,,,0.0276185480196505,0.1556163671484042,0.999897941757402,0.999997958835148,0.995572826834151,0.8940678533091931,0.9915280318839022,0.991429375582724,0.4229799328547483,0.9777826009747242,0.8242405109080984,0.9999941033015388,0.8595973416776153,0.9790449480376128,0.9999800419436696,0.996006574365192,,0.0183988331794521,0.9673477126593272,0.9942355236619768,,0.9962934714249394,0.9955080765491252,0.9943269224881256,0.8680389191170285,0.9998732209830838,0.9992427278399236,
9_census,0.555402932063755,0.6117324112337192,0.7018064154681383,0.7091761722363501,0.569997754408087,0.5,0.5,0.5414175823801384,0.6204683875506934,0.7188605140635828,0.6668424229793849,0.5706358259403568,0.7578595579558364,0.706459519880798,0.6536458676822062,0.5105545773912531,0.6270205037490283,0.5363408807974303,,,0.6178611432250174,0.5347859554108763,0.6856586393625552,0.6898661770660764,0.5,0.5615324059907072,0.4966685646479861,0.2382416251402533,0.5676548658778188,0.5432899806591115,0.577933216503199,0.6267528642013739,0.6285134362898205,0.6048225721337321,0.6015936544276962,0.6035427468700207,0.6869117137240729,0.5764706071473794,0.5822629674964035,0.6678587099508629,0.5333812994733685,0.7033509743648592,0.7059588781888944,0.6955444235896409,0.6930383710434495,0.7065975130426791,0.6656144782532615,0.7114040607402385
8_celeba,0.5042160966070752,0.7290059029378111,0.8022648312511038,0.7797317610317688,0.368723348161492,0.7611430952081384,0.7681072575269612,0.4091004191833146,0.773870250427465,0.7318268688226527,0.6522568056446985,0.4356360455930564,0.81897919044065,0.8116284046887693,0.6178068078075499,0.6326596874266012,0.4523783827857806,0.7406675701603782,0.7770106303237345,0.8100522678138636,0.6708741082080105,0.6916788551218118,0.5080439778345414,0.6920699250262707,0.4997749682909864,0.6913664676330917,0.488396832238623,0.6567738716410934,0.6741612033622789,0.6955352267030699,0.7297168626078397,0.3878615466152325,0.767472510010782,0.701767057011961,0.8205340098703614,0.8278428377665935,0.7997866096288686,0.6777237235681063,0.6884528577782765,0.8305651029652731,0.7124047732339841,0.8191393914987419,0.818789309643412,0.8393030963031048,0.5012537585492104,0.7357496264049112,0.8355319579061519,0.8524111293093171
41_Waveform,0.6964991023339319,0.6656732495511669,0.7043746259724716,0.7174027528426092,0.6666247755834829,0.7235667265110712,0.5943985637342908,0.7843746259724715,0.6928007181328546,0.7520586475164571,0.6925733093955717,0.7600478755236385,0.5837701974865349,0.6467564332734889,0.6127588270496708,0.4152603231597845,0.5442130460801915,0.4874446439257929,0.6999461400359066,,0.6068461998803112,0.5798952722920407,0.6199222022740873,0.6658946738479952,0.5,0.5799820466786355,0.6545481747456614,0.5373847995212447,0.5799820466786356,0.6237582286056254,0.5915170556552962,0.6289766606822262,0.56918013165769,0.5736983842010772,0.678102932375823,0.6958707360861759,0.6364512268102932,0.8464213046080192,0.6206343506882106,0.6683722321962896,0.4195780969479354,0.6747636146020347,0.7057151406343506,0.6484739676840214,0.6250748055056852,0.7138539796529024,0.645278276481149,0.6845362058647516
37_Stamps,0.6688936127138375,0.94904342544792,0.9376657556432836,0.9359044437696123,0.3714343557040186,0.938232614637109,0.8691770422107501,0.9223200728818706,0.9263488207308432,0.96566454094544,0.9445692883895132,0.9223808077740664,0.851037554408341,0.9376050207510882,0.5426055268751898,0.7512096366028951,0.6888551472821136,0.8116408543374836,0.9233525660491954,,0.9013867800384654,0.854377973479097,0.9332321085130072,0.9304585484360766,0.6157910719708473,0.854377973479097,0.781981981981982,0.7176637311468772,0.8539730741977932,0.92547828727604,0.8610993015487398,0.913999392651078,0.8302054863852617,0.8847251746128151,0.9215102743192632,0.9049498937139386,0.9030266221277458,0.7162668286263792,0.9243445692883896,0.866261767385363,0.7523433545905456,0.9205587610081992,0.9424840570907989,0.9426865067314506,0.7035125012653103,0.9530114384046968,0.9125620002024496,0.9234537908695212
