,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,0.058181201818884254,0.0652039189672353,0.06402528551146792,,0.0571825286598036,0.0605612609556603,0.06854168763432797,0.0641556084304313,0.0601543769403696,0.05997950972090045,0.0653746136765728,0.05610666078656797,0.065374510404453,,,0.06278275129232128,0.058100687685739505,0.05843123751709722,,0.057470391816942225,0.05637430041369593,0.054584982333064996,0.056353427395130745,0.05563001370679847,
amazon,0.11057766960398015,0.1106450176579113,0.11452735556573902,,0.1115262712126806,0.1039879788065422,0.1106397556385524,0.1109563497651311,0.1169214706902595,0.10085819408480268,0.1104402627701113,0.11686837201041281,0.107215740801954,,,0.10267248641590147,,0.1131530061974154,,0.11189348948024093,0.10530947262516148,0.10124903537043732,0.11474166076788023,0.10178176187618815,
annthyroid,0.5771298447015891,0.6010920442931359,0.6481586786254567,0.1382609068085007,0.296088944008305,0.4001766350549628,0.5083900573507443,0.3903493803417567,0.6807398342318777,0.4790543911908718,0.5353206370357855,0.5970916597903051,0.5656808247682636,0.3664831111631416,0.39856853011427856,0.25127417329592094,0.3126145317445871,0.8143908018114543,0.3876452352573805,0.81860790038378,0.8139764644461774,0.4595541092708224,0.829324238004851,0.5208137358487559,0.8279443678535887
backdoor,0.09841882212565937,0.0764736982431625,0.09413744094685658,,0.04853253941028697,0.04853253941028697,0.49375279730655214,0.0857728434926899,0.46717568226072975,0.0667511325320406,0.535823305985516,0.2004505034839293,0.07880349190302113,,,0.7178082677294739,0.05185507244793705,0.5083141606494374,,0.6291619333712555,0.5410681489592589,0.8926526401346041,0.6222150116200684,0.8926526401346041,0.6170647014327961
breastw,0.9948125742736839,0.9937782435953104,0.9907115942280079,0.4011068440838626,0.9946494957426472,0.9921982990521911,0.5407153809088077,0.9910660088756833,0.9896261483678036,0.9681322509555572,0.8328798215282611,0.9806784881403258,0.992158920643371,0.8939723173467636,0.3198072946139704,0.96225264591326,0.8631684815690691,0.931813616035622,0.31992841343865974,0.8853739907446591,0.9049598273825171,0.9635529112908415,0.8547478051354761,0.9724877027697918,0.8591728445910942
campaign,0.45011987981851737,0.4943211379772424,0.4839644690750965,,0.5104971409996778,0.4951149783738828,0.31410982970910106,0.4969469125586042,0.490401815136511,0.2786335821467071,0.4024154564653717,0.4791962227331279,0.4884305541416397,,,0.31296945879725663,0.3316018067910299,0.4911053905735979,,0.5095792910023877,0.5051350947940442,0.4859696647343755,0.48909951885187564,0.4681883947306928,
cardio,0.7820559312115446,0.8359468459874632,0.8036050646445321,0.2641185325312063,0.748809572727359,0.7855478323833374,0.7056986373862185,0.5887270423759969,0.7721500992771263,0.7258807589158142,0.7015451376898001,0.6684778267693252,0.8628404059553183,0.4043093133060786,0.5383085069008205,0.37085641490363574,0.5354629701489311,0.6293592069348978,0.538613901120501,0.6983555255500561,0.6350654050599551,0.482524877626375,0.678921591410611,0.5579076015601045,0.687609177936314
cardiotocography,0.6139490982455167,0.6618926229389422,0.625665549341052,,0.5606633117310698,0.6897821607158027,0.5750711379767888,0.5070169413486736,0.5742685773039862,0.5809661084446104,0.57320053037476,0.5294134992095693,0.69688201306812,,,0.4618526638786065,0.5256816608335252,0.5257487009810263,,0.5393659349614562,0.5327588555492861,0.4834750139933773,0.5289142531805401,0.4852428701776557,
celeba,0.11667599225243983,0.20020847808595926,0.1951829899744486,0.03127034394939307,0.16246890803067565,0.1669037303101799,0.0378964748161043,0.16539113920578585,0.11728197220448866,0.09682826546132588,0.03591793096866947,0.1923143577314705,0.20732791197562717,0.0675550167158345,0.07656184541100694,0.0567527924316299,0.05446124321033687,0.14990754221273228,0.09391099160718118,0.15669636200914722,0.1345683020045833,0.09519193272950853,0.1501898928088874,0.0953725680888876,0.14771687932697092
census,0.14462548896218036,0.2019988186552563,0.20203838894867404,0.1255130994630417,0.11649337006364074,0.11649337006364074,0.12021012503224619,0.13983284479324595,0.21618035983710532,0.13660849407950004,0.1371925686135494,0.2922445202874352,0.19906277745714998,0.1689072599459243,0.15378475479323744,0.17012931611022064,0.12586317349644865,0.18154041212989086,0.15493328550306662,0.1744099205906191,0.1956024776024802,0.21013953559104018,0.19292705915243868,0.21013953559104018,0.17945756966700946
cover,0.09051949798270832,0.222424606523661,0.16170665200783738,0.02163771303238355,0.12001896818794541,0.18779800973185606,0.7606438182440479,0.05161071849012708,0.5561027779694974,0.21581370165937264,0.8338129436636524,0.03186716567443385,0.16164167206338767,0.02594106139601585,0.049949337754768425,0.022173372169468575,0.13869979097242655,0.607664481199155,0.060899308585176025,0.6039423533455357,0.751917999615151,0.36839889068547593,0.6471730788029098,0.5873494262962484,0.6472423857595474
donors,0.39276303947633867,0.4275175998823275,0.46267447126508704,,0.3350879182341293,0.41305225330929307,0.6335824345526736,0.36080599726821694,0.8918697355559443,0.2907102425892048,0.6400756345607236,0.2581007946677312,0.3550262956409062,,,0.2852995557800695,0.4135131253980398,0.7577614861664456,,0.6737405546270567,0.7611583458675285,0.9828090860236101,0.7609870439235056,0.9795697301457298,
fault,0.5843376450160316,0.611212853206228,0.6071411627317349,0.5720225504353909,0.531885666005811,0.5171400144998644,0.5055901679135815,0.5389079706906275,0.619765467713196,0.5419991167739348,0.5043841658027888,0.6271963270640464,0.6035061137937449,0.6328691069746086,0.5436863322185406,0.554618958948896,0.560273994870926,0.6258920193340505,0.543891065361993,0.6346243656470972,0.6403025183996568,0.6329990178937523,0.6325189163080799,0.620308653152158,0.6349389815085079
fraud,0.17788140978308842,0.30169188361898913,0.2778414838930435,,0.3703458779128593,0.3192023377657043,0.6563125345308134,0.30935596048907044,0.4084898047622515,0.35136603971123737,0.5855407634057591,0.5870774058973645,0.26732573989590713,,,0.45076806806532854,0.05320091784188593,0.42816998037912446,,0.5455823952984836,0.7245432075312992,0.5366861318355363,0.708325621202675,0.5488788138800754,
glass,0.22600498922277545,0.29469022816857876,0.3283775178459275,,0.21262737401273105,0.2784498762508922,0.3847115265310785,0.3020199972520202,0.4439289477401599,0.16265135767104427,0.4104710168629265,0.21157701484207922,0.22751904753173047,,,0.6122771754407238,0.22453253744577883,0.3666156690467306,,0.4019761725780626,0.4839915408575813,0.93168932367344,0.477389437316303,0.9336321920432449,
hepatitis,0.5546376812237198,0.7783129358547033,0.64197167218564,,0.564191811081165,0.4681324359669599,0.4501972239994023,0.6313977954509535,0.9004238970713777,0.5279484154258245,0.4474120271436681,0.5829476272465064,0.6551312227435161,,,0.9856934609229865,0.3877161077673391,0.9195457491786554,,0.9477945031535576,0.986995215509778,0.9978862906554626,0.9846156966583186,0.9960579033570056,
http,0.5697228865405788,0.9985412071544468,0.9009296828118311,,0.46108942076879333,0.25294779849426513,0.0856959653675573,0.35770665383358174,1.0,0.0915344392514897,0.9643126728996029,0.9154677691206538,0.9124115066890328,,,0.37074046791633614,0.4629536751402012,0.5457654133265918,,0.5460560616633771,0.5900995970757206,0.8642294922318747,0.5433191812498178,0.9558868838101618,
imdb,0.08946842782759293,0.0884969764226059,0.08953174487264251,,0.092982649446712,0.0848090108734379,0.09034809031101823,0.0901152296955164,0.0892443979272536,0.08767047884611177,0.0903149699994761,0.0947118648245336,0.0871119679934713,,,0.09373360569562955,,0.094184178622165,,0.09189672681870692,0.0938506393733708,0.10242719016809732,0.09192205640569434,0.10203812794673872,
internetads,0.28915569920783935,0.4814722493540307,0.47053005498474665,0.2432213884765376,0.6174147411587243,0.6186543520792999,0.51803642609917,0.3079412590545833,0.4922298366456591,0.39837112777208405,0.5043250772079997,0.3435429461274852,0.4696880817228111,0.3540028978374328,0.33605743770306246,0.5027238201106888,0.36298606422805146,0.4972960913934213,0.3440712009118283,0.5455343543816259,0.5939559664151778,0.6046243931077371,0.5417823895987568,0.6046243931077371,0.5979499793921453
ionosphere,0.9215660210271768,0.9740324690318565,0.9714701603173761,,0.7879494432826158,0.7564671454543412,0.9486597132155883,0.661496062901144,0.9786778298984382,0.8414535763029095,0.9449074905327477,0.9650681403753938,0.9110138845528528,,,0.9825466333497925,0.7608986832951159,0.969019663273028,,0.9720327359224719,0.9734593754174643,0.989675177894712,0.9706429310567263,0.9895431675664478,
landsat,0.4788861584137446,0.3700923816368814,0.36881708970772387,0.3793244540319852,0.3382256472806171,0.3109210286186628,0.6139124051254287,0.6011954419175513,0.548471358455096,0.3632195198821647,0.6136872080638885,0.38855300512157565,0.3272128030043703,0.3669282937509192,0.3538101202389832,0.5051126247605143,0.37214440196420423,0.3437402917743784,0.38254786870313434,0.3596850905354335,0.3412757400367858,0.5284966015467067,0.3581371403186667,0.5979091820487447,0.3330477768377366
