,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,12,4,6,21,15,8,1,5,9,10,2,18,3,21,21,7,13,11,21,14,16,20,17,19,21
amazon,11,9,4,20,7,15,10,8,1,19,12,2,13,20,20,16,20,5,20,6,14,18,3,17,20
annthyroid,10,8,7,25,23,17,14,19,6,15,12,9,11,21,18,24,22,4,20,3,5,16,1,13,2
backdoor,12,16,13,20,19,19,9,14,10,17,7,11,15,20,20,2,18,8,20,3,6,1,4,1,5
breastw,1,3,7,23,2,4,22,6,8,11,21,9,5,16,25,13,18,14,24,17,15,12,20,10,19
campaign,15,6,12,21,1,5,18,4,8,20,16,13,10,21,21,19,17,7,21,2,3,11,9,14,21
cardio,5,2,3,25,7,4,9,17,6,8,10,14,1,23,20,24,21,16,19,11,15,22,13,18,12
cardiotocography,5,3,4,21,10,2,7,17,8,6,9,13,1,21,21,20,16,15,21,11,12,19,14,18,21
celeba,14,2,3,25,7,5,23,6,13,15,24,4,1,20,19,21,22,10,18,8,12,17,9,16,11
census,16,5,4,21,23,23,22,17,2,19,18,1,6,13,15,12,20,9,14,11,7,3,8,3,10
cover,18,11,14,25,17,13,2,20,9,12,1,22,15,23,21,24,16,6,19,7,3,10,5,8,4
donors,14,11,10,21,17,13,9,15,3,18,8,20,16,21,21,19,12,6,21,7,4,1,5,2,21
fault,14,11,12,15,22,23,24,21,10,20,25,7,13,5,19,17,16,8,18,3,1,4,6,9,2
fraud,19,16,17,21,12,14,3,15,11,13,5,4,18,21,21,9,20,10,21,7,1,8,2,6,21
glass,16,13,11,21,18,14,9,12,6,20,7,19,15,21,21,3,17,10,21,8,4,2,5,1,21
hepatitis,15,9,11,21,14,17,18,12,8,16,19,13,10,21,21,4,20,7,21,6,3,1,5,2,21
http,10,2,7,21,15,18,20,17,1,19,3,5,6,21,21,16,14,12,21,11,9,8,13,4,21
imdb,14,16,13,20,7,19,10,12,15,17,11,3,18,20,20,6,20,4,20,9,5,1,8,2,20
internetads,23,13,14,24,2,1,8,22,12,16,9,20,15,18,21,10,17,11,19,6,5,3,7,3,4
ionosphere,14,5,8,21,17,19,12,20,4,16,13,11,15,21,21,3,18,10,21,7,6,1,9,2,21
landsat,8,13,14,11,22,25,1,3,5,16,2,9,24,15,19,7,12,20,10,17,21,6,18,4,23
letter,17,16,15,21,12,5,3,13,14,18,4,19,20,21,21,9,6,11,21,10,7,2,8,1,21
lymphography,9,1,4,19,8,7,15,5,2,18,12,10,3,19,19,6,16,14,19,17,13,1,11,1,19
magic.gamma,12,13,11,23,19,22,6,15,8,17,7,14,18,16,25,21,20,5,24,3,2,10,4,9,1
mammography,12,11,10,24,2,1,17,21,9,5,14,25,7,23,18,20,8,16,15,13,3,22,4,19,6
mnist,13,6,5,21,23,23,3,22,1,20,2,9,7,17,19,16,15,8,18,14,12,4,10,4,11
musk,10,1,1,11,3,2,1,1,1,5,1,8,1,12,6,1,9,1,7,1,1,4,1,4,1
optdigits,10,16,13,18,20,20,4,3,6,23,2,15,19,21,24,14,17,11,22,12,7,1,8,5,9
pageblocks,20,11,3,24,21,15,4,25,6,17,1,12,14,19,22,16,18,7,23,8,13,5,10,2,9
pendigits,6,8,9,21,17,14,2,13,1,16,4,19,15,21,21,20,18,11,21,12,7,5,10,3,21
pima,5,7,6,23,13,18,10,3,4,21,16,11,8,22,25,20,19,15,24,17,9,2,12,1,14
satellite,12,14,18,25,19,23,6,3,4,16,5,15,17,24,20,13,22,11,21,10,7,2,8,1,9
satimage-2,7,2,3,25,14,16,10,12,4,8,11,1,9,22,21,17,23,15,24,20,13,6,18,5,19
shuttle,4,8,10,23,5,12,20,9,7,21,2,18,11,22,24,6,19,14,25,16,13,3,17,1,15
skin,8,7,4,21,20,19,15,14,1,13,10,9,17,21,21,16,12,2,21,3,6,18,5,11,21
smtp,18,1,8,22,20,2,21,19,4,15,9,17,10,22,22,13,14,12,22,3,7,16,6,11,5
spambase,2,10,11,25,17,19,20,15,9,13,18,14,12,21,24,16,22,7,23,6,4,3,5,1,8
speech,2,16,20,24,15,12,9,5,14,8,7,13,17,1,23,4,3,21,22,18,19,6,11,6,10
stamps,12,6,7,25,15,19,4,17,3,16,5,21,9,24,22,20,18,13,23,14,10,2,11,1,8
thyroid,4,7,2,25,23,12,21,8,5,13,14,6,3,22,19,10,17,1,20,9,24,16,11,15,18
vertebral,14,13,11,21,20,16,8,18,10,19,7,15,17,21,21,12,9,6,21,3,5,2,4,1,21
vowels,17,13,14,1,21,15,9,20,11,19,10,23,18,2,24,16,22,5,25,7,3,12,6,8,4
waveform,14,11,4,15,16,22,2,17,3,21,1,20,19,18,25,7,23,12,24,10,9,5,13,6,8
wbc,4,2,11,23,6,7,22,9,8,12,21,10,5,16,25,13,19,15,24,20,14,3,17,1,18
wdbc,16,5,12,23,7,18,4,10,9,19,3,20,8,21,25,6,22,17,24,14,15,1,13,2,11
wilt,12,17,13,21,19,15,8,14,11,16,9,7,20,21,21,18,10,4,21,1,5,2,3,6,21
wine,17,11,12,22,19,21,10,15,8,18,9,14,16,23,25,13,20,5,24,1,2,7,4,6,3
wpbc,16,15,11,24,19,23,14,12,9,18,13,10,17,25,20,3,22,8,21,4,6,1,7,2,5
yeast,20,18,2,25,21,8,6,5,14,17,11,24,22,23,15,19,1,7,16,4,12,10,13,3,9
yelp,10,8,6,20,9,14,2,11,3,15,1,4,12,20,20,19,20,13,20,16,5,18,7,17,20
MNIST-C,14,11,10,19,18,18,1,17,8,13,2,16,12,19,19,15,19,3,19,7,6,5,9,4,19
FashionMNIST,14,7,6,19,18,18,1,17,5,13,2,16,8,19,19,15,19,11,19,9,12,3,10,4,19
CIFAR10,14,7,4,20,19,18,1,16,6,12,2,15,9,20,20,17,20,10,20,8,5,13,3,11,20
SVHN,13,11,10,19,18,18,2,17,9,15,3,14,12,19,19,16,19,1,19,6,4,8,5,7,19
MVTec-AD,15,13,12,19,18,18,11,16,9,17,10,8,14,19,19,6,19,5,19,3,7,2,4,1,19
