,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,0.0011259984265070994,0.0,0.00015880056211099185,,0.0,0.0,0.0016637543847743456,0.0,0.0,0.005521697701984941,0.0,0.0011638982487499848,0.0,,,0.004503741860805747,0.0042811372613660945,0.000517891196703046,,0.00010461733418436789,0.0004831964990996967,0.0009930671766164452,0.0005642858714545528,0.001039380538911774,
amazon,0.002160180081627041,0.0,0.0008186153990854681,,0.0,0.0,0.0002493015073860376,0.0,0.0,0.00869841058038226,0.0,0.00044201748148847524,0.0,,,0.005281629744732921,,0.005414778298923055,,0.008600571169103953,0.006721603946359482,0.0008166499371705478,0.007510881758920508,0.0008573725484117068,
annthyroid,0.052204411081866284,0.0,0.040185632759426715,0.0,0.0,0.0,0.07068714669589399,0.0,0.0,0.07236096651370061,0.0,0.0005314776962541679,0.0,0.0,0.024081180813732252,0.04833754489882793,0.07043455673504885,0.006794100028149611,0.025822539122694242,0.0034410621290636013,0.0019310133491291788,0.024735892577345354,0.0032401990570233756,0.012680329433092614,0.0044935269404367244
backdoor,0.012074349792760957,0.0006500490424577362,0.013099941556834905,,0.001089681298636579,0.001089681298636579,0.11051655612434509,0.00301089743228285,0.015684473036872145,0.040286078275519346,0.030007449734545163,0.14892277063349596,0.0013750160226760294,,,0.2055165001121919,0.013515933475961955,0.05158365409108866,,0.015795342260812275,0.030809956218683484,0.011857424659572098,0.03813954213700654,0.011857424659572098,0.03697453051896107
breastw,0.0013544741358097073,0.002340029051037014,0.002712522451495718,0.016863261088708975,0.0012531433167051113,0.0017539933077329107,0.11819481408827412,0.0030798708763253835,0.003566716565980054,0.007097268532997909,0.08025346992676423,0.013210840446426382,0.0015631061501938707,0.012030349459058233,0.01264782450718383,0.01373551861216711,0.02678015076329164,0.035121718248514074,0.012678375044193195,0.04519184574680125,0.021968714562774903,0.01491956264673245,0.0435799760974806,0.004602231981445679,0.008612094675207656
campaign,0.010832500668339231,0.0,0.005333198411175803,,0.0,0.0,0.06201058042396395,0.0,0.0,0.04606439427265323,0.0,0.013199089171537217,0.0,,,0.07944523927707264,0.06216960175909808,0.015720600427429048,,0.012572014270613966,0.03485876287800005,0.008175590943204478,0.026320455635145297,0.015337173678587437,
cardio,0.029061513866397156,0.0,0.02985587362831163,0.0,0.0,0.0,0.025841232837935654,0.0,0.0,0.06765792139065557,0.0,0.004297660662052283,0.0,0.0,0.1825073248830256,0.03340244131758927,0.1405900515831066,0.11683375204398168,0.18342371672220564,0.0034633623792418664,0.025016712030687335,0.13220131490615813,0.02359390202865536,0.059080709987380554,0.007986445813043936
cardiotocography,0.011948409553672188,0.0,0.0016468979663435016,,0.0,0.0,0.021716683389049207,0.0,0.0,0.05197656059192814,0.0,0.007535473984519788,0.0,,,0.05791594955292761,0.10324652371860756,0.039913071067225296,,0.006107222350234222,0.01850284647558268,0.04358300526310341,0.019559490394143324,0.013623417760847346,
celeba,0.01556213295319022,0.008097829439356583,0.04384111046932969,0.0010239212794816714,0.007346794901982328,0.007262761229476307,0.0025225381468252355,0.006698180235009659,0.002871326663868793,0.07787801267008407,0.001645390776327897,0.04258927837044283,0.010765892686800371,0.0030065524626057363,0.025001660057715792,0.030284711268561935,0.013103414576785152,0.023911686016659134,0.02238094986993267,0.02843940004413739,0.014965295593213926,0.0055417498704961685,0.005646922727319606,0.002921970671909175,0.01132488250015524
census,0.004848671287772151,0.006941701123747541,0.006193737701326243,0.004762015665932322,0.0025260288231356426,0.0025260288231356426,0.004254506911761458,0.0036897415626194357,0.007120766336541078,0.044880042893543165,0.004793225563315057,0.01583871117391168,0.005983665301220027,0.0018324937163095249,0.022546525335932956,0.015653329638821302,0.019258695906353655,0.008042808521906388,0.022105614564193077,0.012755598186004887,0.00979607624731137,0.005292806280363677,0.01035507423801706,0.005292806280363677,0.011113231893762765
