,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,0.5060184022778996,0.5428912925260091,0.5372448911680356,,0.4951461691672094,0.5173413748808255,0.4916276561513265,0.522294510897667,0.5103956455505257,0.4961816141864359,0.4876347648118542,0.4854218968041294,0.5404308519445866,,,0.5127654073263366,0.494349987920999,0.5064114841474573,,0.5034325012225362,0.49203567798322323,0.47152058632917776,0.49328274715475173,0.4832660029365172,
amazon,0.5632663157894737,0.5647612631578947,0.5814017894736843,,0.5677713684210527,0.5379052631578947,0.5794622105263159,0.5631755789473685,0.6057743157894736,0.5177616842105263,0.5788345263157895,0.6032361052631579,0.5490096842105263,,,0.5171878421052631,,0.5671402105263158,,0.5569408421052632,0.5376721052631579,0.5407885263157894,0.5799910526315789,0.5427386315789473,
annthyroid,0.8981253462424894,0.8845053044630306,0.9043589752233651,0.5037189112169643,0.7677245252615148,0.7844666489120822,0.8946870810676573,0.6602317535124299,0.9281377575959844,0.7555637586230534,0.8863279586385605,0.9019435651430311,0.851893616327925,0.7735930896460432,0.7198840670583913,0.5433971767963313,0.6444483633756635,0.9722402015482448,0.7002841435828977,0.9724427498929668,0.9717757590365778,0.8107543198140038,0.9749941286263457,0.8615687411437774,0.9742786076360443
backdoor,0.7590855641047778,0.6247178542193607,0.7107798322325116,,0.5,0.5,0.947045208431114,0.7083505972366826,0.9369571703354413,0.5283877827753574,0.9528229798480747,0.8362235253345996,0.6450960138290343,,,0.8972784495933064,0.44021743396590096,0.9209548746835696,,0.9355775247053759,0.9052516077730914,0.9347886013535677,0.9227040345406305,0.9347886013535677,0.9298338062202107
breastw,0.9950444036053845,0.9942316472796228,0.9911357072312849,0.3476988773417108,0.994784171028516,0.9919325832300863,0.6200616964040883,0.9922811685510179,0.9906366433008016,0.982507437224345,0.9148082840090458,0.9855637186268938,0.9923738147252532,0.918951426247229,0.016585115390247776,0.9716821612974216,0.8510696248156874,0.9592263065935441,0.017920195062980752,0.9303617668884281,0.9394325271319198,0.9813026917852621,0.9065979779597403,0.9843987668342451,0.9242280617495372
campaign,0.734158949095757,0.7767320868541324,0.7694367209111872,,0.7815273867526125,0.7685653821332739,0.6810047406363101,0.7705634807603039,0.7847841985315485,0.5710441753735287,0.7054715008698998,0.7783300739603658,0.770662954338744,,,0.5541553938986237,0.6022181475801308,0.7867840603099183,,0.7891473184885818,0.7919933867672366,0.8073229277133896,0.7897551649130289,0.7805072680754265,
cardio,0.9298068731449927,0.9561050346268,0.9313922172144663,0.5913350555128065,0.9316326811036606,0.9495369352533802,0.9213219330548532,0.807003682532703,0.9199873584698252,0.9182062080905793,0.9220622183137296,0.8250556502143565,0.965510607892712,0.6914917005606245,0.7488122801473013,0.641648689128284,0.8051100294052984,0.8712676569198636,0.749352465098384,0.8728341073980433,0.8736808838078487,0.7991422309552599,0.8789023854017808,0.7929726145982192,0.8709146902825108
cardiotocography,0.7309393099712488,0.7522071232134673,0.6859999374973957,,0.6634768636193173,0.7929640297512396,0.6439395912329681,0.6123783803491812,0.621105306471103,0.7020292512188008,0.644903173048877,0.5733103462644277,0.7889482374265595,,,0.48269068502854284,0.6504151214633943,0.6217967415308971,,0.6185622317596566,0.6018037209883745,0.5445669611233801,0.5978543376807368,0.5027663913079712,
celeba,0.7114632436032567,0.7948128722398635,0.7949084970461152,0.37429727604662444,0.7546727719567008,0.7606675412226455,0.46393921625145895,0.7638466900929208,0.7284515065940804,0.6275708703411469,0.4368305283381353,0.8390694090563433,0.8024798597258421,0.6399734707892036,0.6525600350236493,0.4948133339262799,0.5498314917547106,0.8363093227527065,0.6976994694669576,0.8372160873042798,0.8194506600249017,0.7212180950331781,0.8240797186656799,0.7372361899276262,0.825827513029007
census,0.6358626984212312,0.700057703539605,0.7080501865501057,0.5730246464688441,0.5,0.5,0.5623327516487587,0.6268067058371554,0.7231546818953615,0.5113633900868706,0.5883505155519313,0.7394556846257981,0.7049458335509774,0.655350296959528,0.5222986330719168,0.5541108020779435,0.5031416898861389,0.6813941564180691,0.5281400792258365,0.6800033953083869,0.7129459330791655,0.7064876612998368,0.700340800507408,0.7064876612998368,0.6761815307552919
