,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,0.007004828969036026,0.0,0.0014094788227513335,,0.0,0.0,0.005705168144950282,0.0,0.0,0.029787989175204733,0.0,0.0021441121255939806,0.0,,,0.028628278316035715,0.017873880612628734,0.00243123046847349,,0.0007909727560455106,0.0032339041864740824,0.006893309334689666,0.0028456352668913003,0.009633804995885896,
amazon,0.010829653898803327,0.0,0.0011647841675483483,,0.0,0.0,0.0004893685153946865,0.0,0.0,0.030668226430123815,0.0,0.0009736584159694332,0.0,,,0.02435002772553937,,0.01753715379601275,,0.02933524604223163,0.02803918144048189,0.0024848439602770498,0.022034275560069202,0.0018639409951071802,
annthyroid,0.01278611835801814,0.0,0.009934498764587543,0.0,0.0,0.0,0.012878418129472375,0.0,0.0,0.0733054096443357,0.0,0.00023373123829236668,0.0,0.0,0.014679768469938313,0.043299034188026865,0.13842453953870973,0.0011972176676272608,0.01757471370044764,0.0009789618720956097,0.0013506821115841208,0.012321926573445158,0.001092107244727348,0.009688248060615823,0.0011661820003124232
backdoor,0.01620199388821346,0.007307443235497097,0.047818424537063496,,0.0,0.0,0.00798720068124019,0.010220917489275385,0.005942787549079384,0.22389867719066728,0.0026791692490342155,0.09474202047038328,0.007710581112130439,,,0.04264878297416538,0.1626740150961677,0.015582936677674478,,0.01080273486820489,0.01572923842523253,0.007202174523534926,0.011746835085642466,0.007202174523534926,0.011730057894208168
breastw,0.000970047398512395,0.0016784188263188145,0.0026287756782381274,0.029360348834530415,0.000895797972583356,0.001989344762248229,0.16132050971108827,0.0019244553298387883,0.0029498180031639625,0.00249207613020962,0.042056894470665435,0.0071265953316496065,0.0017684205308395016,0.014354947877156372,0.006401984955928932,0.009196147999751802,0.032349757215399504,0.021203362424714257,0.00737385733681083,0.04066696808568346,0.01361521340942176,0.003461931236101624,0.030928334135466726,0.001607773852460146,0.0010093299901336244
campaign,0.016056697672212704,0.0,0.002391093055124183,,0.0,0.0,0.03599253463709531,0.0,0.0,0.024208188292218807,0.0,0.010324263512082217,0.0,,,0.08221488192791504,0.04530473185011584,0.011339337910061413,,0.016980335168174876,0.020356796152924888,0.007641053818278326,0.008405469569495496,0.014486835562128429,
cardio,0.014043378372905596,0.0,0.014467790993699358,0.0,0.0,0.0,0.006442767824199223,0.0,0.0,0.031400071415207384,0.0,0.0053624389889326595,0.0,0.0,0.11993720260235402,0.037792970505775576,0.04955680874089814,0.011790857236825828,0.1193587852798756,0.005972935545172781,0.004291220566691795,0.02432632818152796,0.007338949622683407,0.012641826861671993,0.00785188544315588
cardiotocography,0.015408126910085987,0.0,0.0017815190241733015,,0.0,0.0,0.01968607569637531,0.0,0.0,0.05758254960209027,0.0,0.015178779589882,0.0,,,0.0982291529518743,0.060762016604735326,0.02216192634459885,,0.012399141743258119,0.026603988388851335,0.019724586327459766,0.03904245762222889,0.015747949053214617,
celeba,0.026082493206286077,0.004137617377890115,0.013917171013666848,0.01470452027319841,0.0022402913413911226,0.0022473003426158743,0.014340034836590004,0.0011347822509818663,0.0033317108092836482,0.15255241362885114,0.008570308224176204,0.028523930098501054,0.0032589347268081634,0.03596158539361049,0.08993285924538894,0.21435713891628128,0.06112035044049569,0.021892264169134933,0.07093129605422839,0.02152578836410789,0.022991823061573238,0.009142905158917662,0.011631880986345482,0.010550567170834808,0.004778467774905415
census,0.005762887161237881,0.0023205402492806546,0.00308131038915667,0.006839595033621639,0.0,0.0,0.008655498500880866,0.0026361261041244668,0.0030830016588582823,0.12921663510294154,0.007798856079632374,0.021901653844157154,0.002384307286936477,0.0016938898104669916,0.034660915753572115,0.03485710277939925,0.028163977076670673,0.01649492970287481,0.027749403250429096,0.021854367064065454,0.004939932067709007,0.0033708979046659085,0.01963864649018135,0.0033708979046659085,0.03319471756751751
cover,0.01807024159467744,0.001288879948741172,0.0016519645792512205,0.015876651703696638,0.0017479031308855484,0.0018484569882219071,0.006153255351490297,0.008687716426301294,0.0015391377726289661,0.034064021266678825,0.0009206674940259023,0.006233728064145188,0.0015808789728311357,0.033179327558500143,0.01593744470143264,0.10286784464663708,0.05516212822855926,0.010688882687360202,0.008206713320200091,0.006017780598528479,0.003373665781090902,0.04425176097881773,0.010649222761613014,0.0032500381874457055,0.006733182736887448
donors,0.01993299096687587,0.0025312042501003202,0.0023759604809059456,,0.002322704989227983,0.003468447623371047,0.018334190691772615,0.006982074113036436,0.0006865807736606952,0.30405920665025277,0.0018739612936452359,0.10444916546939405,0.00540426947048794,,,0.2318082145063954,0.08080573141757631,0.0003826083776655593,,0.012161623523440631,0.002392773163606071,0.0005297986709240939,0.0017368283148875572,0.0005957856878460641,
fault,0.00809720174100628,0.0,0.013300929265611359,0.0,0.0,0.0,0.003976902440763535,0.0,0.0,0.018201401754500354,0.0,0.03759370888644065,0.0,0.0,0.03368438999962117,0.019510378039511736,0.06122797501050482,0.02631895560738346,0.034090851880576076,0.024056510773165878,0.020925882691862543,0.004079384573058382,0.015558236851199758,0.015047561665533305,0.013466693288159417
fraud,0.014240141627508909,0.007296895372812972,0.010791514770890867,,0.016242948790541813,0.014652974928501252,0.017533157078063476,0.007416378976663724,0.01201313252089289,0.08509130983837827,0.014731202729267298,0.020330787825237676,0.00698986859150344,,,0.07329539909365455,0.12134771532415488,0.028237951260587996,,0.015450965143578745,0.012214295988217575,0.013715756942815517,0.01271305967312174,0.014305571061786902,
glass,0.009695317290967322,0.06799606687967796,0.01655468776598543,,0.017164604655192216,0.00673942275908993,0.01718279666099566,0.01807926247800964,0.011616191889230253,0.06146691697331458,0.02095521289383827,0.010567017257440523,0.015909132889618562,,,0.03289595042211827,0.04963423173535017,0.031198058974318224,,0.024876950063301716,0.012922714322798894,0.006213589686885357,0.003650537037538641,0.003633824655007977,
hepatitis,0.03172824809843524,0.020405645662914623,0.026433630554529575,,0.009869453068243154,0.019277626481611434,0.07399181611194182,0.009025567734059981,0.016900209532918983,0.04281608940746959,0.07877997117340443,0.04501233399768823,0.025105341307546634,,,0.0025804792056156605,0.09587096103416376,0.01814296531845782,,0.010277044158631527,0.0026633943452641497,0.0014543380623083708,0.0028596737828585944,0.0022456690667997936,
http,0.002769399900791679,9.966067472646959e-06,0.00012834920967218298,,0.0006732429206205367,0.0008529314717514102,0.004984163809722329,0.010849364052401951,0.0,0.4299483417898025,0.0003002021473391666,5.660053143832546e-05,4.983273930104048e-05,,,0.5566932796723588,0.016102885871635345,0.0006288023956590427,,0.0016275221284497647,0.0008363953439382744,0.004637028150666468,0.0009513589438022267,0.00036654507010664105,
imdb,0.008701723698870656,0.0,0.00010314777966878049,,0.0,0.0,0.0011855724129908839,0.0,0.0,0.02587754291298341,0.0,0.0006712316761488227,0.0,,,0.009682895314962236,,0.05675052677292624,,0.022598347188028094,0.04286037269563221,0.002629397462128996,0.04523692193026442,0.004261050544344565,
