,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,0.0424403183023872,0.0729442970822281,0.067473474801061,,0.0457559681697612,0.0444297082228116,0.0893567639257294,0.0742705570291777,0.0590185676392572,0.06598143236074265,0.0815649867374005,0.0344827586206896,0.0762599469496021,,,0.0512267904509283,0.0424403183023872,,0.0399535809018567,0.0475795755968169,0.0482427055702917,0.0437665782493368,0.04973474801061,
amazon,0.11399999999999999,0.12,0.11399999999999999,,0.114,0.1,0.1,0.106,0.114,0.108,0.1,0.111,0.11,,,0.1115,0.1225,,0.1275,0.1095,0.0895,0.11499999999999999,0.093,
annthyroid,0.5346441947565543,0.5355805243445693,0.576310861423221,0.1385767790262172,0.3164794007490636,0.3838951310861423,0.5215355805243446,0.3595505617977528,0.6198501872659176,0.46722846441947563,0.49625468164794,0.5037453183520599,0.5,0.4119850187265917,0.4232209737827715,0.21722846441947563,0.7588951310861423,0.39700374531835203,0.7734082397003745,0.7687265917602997,0.499063670411985,0.7808988764044944,0.5374531835205992,0.7780898876404494
backdoor,0.04159066132588822,0.07635009262564918,0.07862242934267615,,0.0,0.0,0.5949825937545528,0.07063881172176475,0.523380108001575,0.053735516785459125,0.7203803254932653,0.16704166569258927,0.08076529956749193,,,0.7051055848989308,0.6506502018377266,,0.8282724492023128,0.6912547350886171,0.872666123046518,0.8235335592915566,0.872666123046518,0.8213918203901089
breastw,0.9703084790849644,0.9697163987515047,0.9579857179761105,0.3912423566946832,0.964394167233542,0.9472364162980075,0.6341614801380588,0.9687529485125039,0.9579284835438762,0.9572911768331378,0.8776766548954439,0.9602072556995698,0.9594571208289011,0.857334082445736,0.08773127751627954,0.9203648384747782,0.9101464354956773,0.08848428956447232,0.8944254661693383,0.8901038504149222,0.960284059694633,0.8739178483543877,0.9653129617751034,0.8756908792806695
campaign,0.43297413793103445,0.4959051724137931,0.49251077586206893,,0.4926724137931034,0.4838362068965517,0.3536099137931034,0.4790948275862069,0.5036637931034482,0.28582974137931033,0.4224137931034483,0.4673491379310345,0.4883620689655172,,,0.3213900862068965,0.5051185344827587,,0.5168103448275863,0.5198275862068965,0.5081896551724138,0.5115301724137931,0.4954202586206896,
cardio,0.6647727272727273,0.7045454545454546,0.6903409090909091,0.2954545454545454,0.7045454545454546,0.7386363636363636,0.6193181818181818,0.5625,0.6193181818181818,0.6377840909090909,0.625,0.5909090909090909,0.7613636363636364,0.4375,0.5056818181818182,0.37642045454545453,0.5838068181818182,0.5056818181818182,0.5809659090909092,0.5852272727272727,0.5326704545454545,0.5866477272727273,0.5582386363636364,0.5809659090909092
cardiotocography,0.5509656652360515,0.5793991416309013,0.5295064377682404,,0.482832618025751,0.628755364806867,0.4887339055793991,0.4141630901287553,0.463519313304721,0.5268240343347639,0.482832618025751,0.36748927038626605,0.6158798283261803,,,0.3696351931330472,0.40879828326180256,,0.40075107296137336,0.3937768240343348,0.3953862660944206,0.3868025751072961,0.3471030042918455,
celeba,0.1724758018055457,0.27044915339356035,0.2689924108426821,0.01212971116088965,0.22502173888217772,0.22556457216161918,0.025629583664374497,0.22324299380464807,0.16895783419047142,0.13175748771668838,0.020458135021784375,0.24882852983668127,0.2698170026432749,0.07855167128669352,0.0,0.06836999396412452,0.18817820865849413,0.000227066303360575,0.19245257481322392,0.151521608254317,0.11969589658861318,0.19437974649803813,0.11016783692425917,0.18242182469158164
census,0.10964882650200138,0.20565316539096928,0.21409601937595235,0.09819376544297172,0.0,0.0,0.0321875664383851,0.1091154394910195,0.22361949961974706,0.14554520739307955,0.13041220275069076,0.2959966601126669,0.20726905953475003,0.1799547441339387,0.1702581449381639,0.22369592289458504,0.19109068388288505,0.17255756936504524,0.17880127077418229,0.183166253825213,0.23826256759146328,0.20197161936830554,0.23826256759146328,0.19226064433262843
